timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (0.979458,1.2472) (0,0) 0.141355 (0.900002,5.82137) 1.56353 0 (0.499455,2.32997) (0,0) 0.176794 (0.861521,2.30127) (0,0) 0.209302 (1.22997,2.32062) (0,0) 0.151131 (1.5913,2.27039) (0,0) 0.185084 (0,1.2472) (0,0) 0.3 (2.1,1.2472) (0,0) 0.3
0.25 (0.975129,1.49715) (-0.0173134,0.999814) 0.141355 (0.900002,5.82137) 1.56353 1.58811 (0.481065,2.38183) (-0.0735596,0.207415) 0.176794 (0.866635,2.24648) (0.020453,-0.219151) 0.209302 (1.23639,2.36165) (0.025701,0.164127) 0.151131 (1.60812,2.3446) (0.067277,0.296813) 0.185084 (0,1.49715) (0,0) 0.3 (2.1,1.49715) (0,0) 0.3
0.5 (0.977694,1.60092) (0.0102592,0.415074) 0.141355 (0.900002,5.82137) 1.56353 1.54608 (0.462681,2.43368) (-0.0735343,0.207424) 0.176794 (0.848768,2.25215) (-0.0714665,0.022666) 0.209302 (1.25707,2.39767) (0.0827176,0.144069) 0.151131 (1.62493,2.4188) (0.0672655,0.296815) 0.185084 (0,1.60092) (0,0) 0.3 (2.1,1.60092) (0,0) 0.3
0.75 (0.988749,1.70518) (0.0442196,0.417032) 0.141355 (0.900002,5.82137) 1.56353 1.46516 (0.444295,2.48554) (-0.0735444,0.207421) 0.176794 (0.831623,2.28172) (-0.0685805,0.118292) 0.209302 (1.2779,2.4336) (0.0833249,0.143719) 0.151131 (1.64175,2.49301) (0.0672617,0.296816) 0.185084 (0,1.70518) (0,0) 0.3 (2.1,1.70518) (0,0) 0.3
1 (1.00448,1.82182) (0.0629193,0.466556) 0.141355 (0.900002,5.82137) 1.56353 1.43675 (0.425904,2.53739) (-0.0735653,0.207413) 0.176794 (0.820346,2.32684) (-0.045106,0.180462) 0.209302 (1.29873,2.46953) (0.0833166,0.143724) 0.151131 (1.65856,2.56721) (0.0672587,0.296817) 0.185084 (0,1.82182) (0,0) 0.3 (2.1,1.82182) (0,0) 0.3
1.25 (1.02289,1.94555) (0.0736349,0.494935) 0.141355 (0.900002,5.82137) 1.56353 1.4231 (0.407518,2.58925) (-0.0735427,0.207421) 0.176794 (0.819718,2.40015) (-0.00251218,0.293267) 0.209302 (1.31956,2.50546) (0.0833243,0.143719) 0.151131 (1.67538,2.64141) (0.0672735,0.296813) 0.185084 (0,1.94555) (0,0) 0.3 (2.1,1.94555) (0,0) 0.3
1.5 (1.04287,2.07344) (0.0799146,0.511566) 0.141355 (0.900002,5.82137) 1.56353 1.41583 (0.38913,2.6411) (-0.073552,0.207418) 0.176794 (0.80578,2.49885) (-0.0557542,0.394785) 0.209302 (1.34039,2.54139) (0.083324,0.143719) 0.151131 (1.6922,2.71562) (0.0672534,0.296818) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.06426,2.24711) (0.0855591,0.694657) 0.141355 (0.900002,5.82137) 1.56353 1.44825 (0.370743,2.69296) (-0.0735488,0.207419) 0.176794 (0.785725,2.59649) (-0.0802171,0.39055) 0.209302 (1.36122,2.57732) (0.08332,0.143722) 0.151131 (1.70901,2.78982) (0.06724,0.296821) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.08706,2.4776) (0.0912208,0.921961) 0.141355 (0.900002,5.82137) 1.56353 1.47218 (0.352353,2.74481) (-0.0735606,0.207415) 0.176794 (0.761853,2.69326) (-0.09549,0.387099) 0.209302 (1.38205,2.61325) (0.0833192,0.143722) 0.151131 (1.72582,2.86403) (0.0672627,0.296816) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.09746,2.72399) (0.0416078,0.985577) 0.141355 (0.900002,5.82137) 1.56353 1.5286 (0.333966,2.79667) (-0.0735492,0.207419) 0.176794 (0.735477,2.78938) (-0.105503,0.38449) 0.209302 (1.40288,2.64918) (0.0833047,0.143731) 0.151131 (1.74263,2.93823) (0.0672473,0.296819) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.08155,2.97348) (-0.0636498,0.99793) 0.141355 (0.900002,5.82137) 1.56353 1.63449 (0.31558,2.84852) (-0.073544,0.207421) 0.176794 (0.707331,2.885) (-0.112584,0.382477) 0.209302 (1.42371,2.68512) (0.0833118,0.143726) 0.151131 (1.75945,3.01244) (0.0672617,0.296816) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.06564,3.22297) (-0.0636384,0.997974) 0.141355 (0.900002,5.82137) 1.56353 1.63448 (0.297196,2.90038) (-0.0735364,0.207424) 0.176794 (0.677748,2.98019) (-0.118334,0.380737) 0.209302 (1.44453,2.72105) (0.0833122,0.143726) 0.151131 (1.77626,3.08664) (0.0672343,0.296822) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.04974,3.47246) (-0.0636174,0.997974) 0.141355 (0.900002,5.82137) 1.56353 1.63446 (0.27881,2.95223) (-0.0735424,0.207421) 0.176794 (0.646621,3.07488) (-0.124507,0.378763) 0.209302 (1.46536,2.75698) (0.083307,0.143729) 0.151131 (1.79307,3.16085) (0.0672557,0.296817) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (1.03384,3.72196) (-0.0636057,0.997977) 0.141355 (0.900002,5.82137) 1.56353 1.63444 (0.260421,3.00409) (-0.0735544,0.207417) 0.176794 (0.612866,3.16867) (-0.135021,0.375144) 0.209302 (1.48619,2.79291) (0.0833158,0.143724) 0.151131 (1.80988,3.23505) (0.0672403,0.296821) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (1.01793,3.97144) (-0.0636361,0.997945) 0.141355 (0.900002,5.82137) 1.56353 1.63448 (0.242032,3.05594) (-0.0735562,0.207417) 0.176794 (0.574744,3.26076) (-0.152486,0.368391) 0.209302 (1.50702,2.82884) (0.0833016,0.143732) 0.151131 (1.8267,3.30926) (0.0672543,0.296818) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (1.00202,4.22093) (-0.0636336,0.997951) 0.141355 (0.900002,5.82137) 1.56353 1.63447 (0.22363,3.10779) (-0.0736101,0.207397) 0.176794 (0.531359,3.3505) (-0.173541,0.358953) 0.209302 (1.52784,2.86478) (0.0833112,0.143727) 0.151131 (1.84351,3.38346) (0.0672582,0.296817) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.986111,4.47044) (-0.0636279,0.998023) 0.141355 (0.900002,5.82137) 1.56353 1.63446 (0.205245,3.15965) (-0.073541,0.207422) 0.176794 (0.482501,3.43738) (-0.195433,0.347519) 0.209302 (1.54867,2.90071) (0.0833254,0.143719) 0.151131 (1.86033,3.45766) (0.0672671,0.296815) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.970216,4.71992) (-0.0635816,0.997934) 0.141355 (0.900002,5.82137) 1.56353 1.63442 (0.188047,3.20814) (-0.0687907,0.193984) 0.176794 (0.428249,3.521) (-0.217005,0.334474) 0.209302 (1.56951,2.93663) (0.0833267,0.143718) 0.151131 (1.87505,3.52267) (0.0589004,0.260016) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.5 (0.95429,4.96942) (-0.0637021,0.997983) 0.141355 (0.900002,5.82137) 1.56353 1.63454 (0.175155,3.24452) (-0.0515693,0.145514) 0.176794 (0.366773,3.59946) (-0.245905,0.313838) 0.209302 (1.59034,2.97257) (0.0833154,0.143724) 0.151131 (1.88609,3.57141) (0.0441639,0.194981) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.75 (0.940712,5.18241) (-0.0543139,0.851979) 0.141355 (0.900002,5.82137) 1.56353 1.63446 (0.165463,3.2718) (-0.0387672,0.109115) 0.176794 (0.311419,3.66059) (-0.221415,0.244515) 0.209302 (1.61117,3.00849) (0.0833357,0.143713) 0.151131 (1.89437,3.60796) (0.0331201,0.146173) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
5 (0.930536,5.34217) (-0.0407016,0.639058) 0.141355 (0.900002,5.82137) 1.56353 1.6344 (0.158218,3.29224) (-0.0289803,0.0817441) 0.176794 (0.263003,3.7045) (-0.193664,0.17567) 0.209302 (1.632,3.04442) (0.083325,0.143719) 0.151131 (1.90071,3.63768) (0.0253463,0.118904) 0.185084 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
