timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.17575,1.10832) (0,0) 0.202972 (0.900002,5.82137) 1.55021 0 (0.647048,2.29404) (0,0) 0.182083 (0.997156,2.39573) (0,0) 0.149068 (1.46657,2.31583) (0,0) 0.12968 (0,1.10832) (0,0) 0.3 (2.1,1.10832) (0,0) 0.3
0.25 (1.16115,1.35789) (-0.0583999,0.998258) 0.202972 (0.900002,5.82137) 1.55021 1.62923 (0.628974,2.33629) (-0.0722978,0.168994) 0.182083 (0.980708,2.44936) (-0.0657883,0.214536) 0.149068 (1.50799,2.40671) (0.165683,0.363519) 0.12968 (0,1.35789) (0,0) 0.3 (2.1,1.35789) (0,0) 0.3
0.5 (1.14654,1.60746) (-0.0584224,0.998277) 0.202972 (0.900002,5.82137) 1.55021 1.62925 (0.6109,2.37854) (-0.0722974,0.168994) 0.182083 (0.959625,2.50135) (-0.0843325,0.207946) 0.149068 (1.54941,2.49759) (0.165671,0.363525) 0.12968 (0,1.60746) (0,0) 0.3 (2.1,1.60746) (0,0) 0.3
0.75 (1.1471,1.85411) (0.00222494,0.986633) 0.202972 (0.900002,5.82137) 1.55021 1.56854 (0.592827,2.42079) (-0.0722881,0.168998) 0.182083 (0.929384,2.5486) (-0.120964,0.189001) 0.149068 (1.59083,2.58847) (0.165662,0.363529) 0.12968 (0,1.85411) (0,0) 0.3 (2.1,1.85411) (0,0) 0.3
1 (1.1523,2.09941) (0.0208146,0.981175) 0.202972 (0.900002,5.82137) 1.55021 1.54959 (0.572212,2.46186) (-0.0824605,0.164275) 0.182083 (0.898069,2.59514) (-0.125261,0.186181) 0.149068 (1.63225,2.67935) (0.165712,0.363506) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.16019,2.34353) (0.0315547,0.976503) 0.202972 (0.900002,5.82137) 1.55021 1.53849 (0.549655,2.50189) (-0.0902305,0.160139) 0.182083 (0.866392,2.64144) (-0.126707,0.1852) 0.149068 (1.67368,2.77023) (0.165694,0.363515) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.17027,2.58637) (0.040315,0.971366) 0.202972 (0.900002,5.82137) 1.55021 1.52932 (0.525855,2.5412) (-0.0951994,0.157236) 0.182083 (0.834222,2.6874) (-0.128681,0.183834) 0.149068 (1.7151,2.86111) (0.165698,0.363513) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.15846,2.8378) (-0.0472179,1.00568) 0.202972 (0.900002,5.82137) 1.55021 1.61771 (0.501089,2.57991) (-0.0990629,0.154831) 0.182083 (0.809586,2.7378) (-0.098546,0.2016) 0.149068 (1.75652,2.95199) (0.165661,0.36353) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.13689,3.08686) (-0.0862998,0.996268) 0.202972 (0.900002,5.82137) 1.55021 1.6572 (0.480012,2.62074) (-0.0843082,0.163334) 0.182083 (0.784949,2.7882) (-0.098544,0.201601) 0.149068 (1.79793,3.04287) (0.165669,0.363526) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.11531,3.33594) (-0.0862983,0.996326) 0.202972 (0.900002,5.82137) 1.55021 1.6572 (0.461107,2.66263) (-0.0756221,0.167533) 0.182083 (0.760314,2.8386) (-0.0985433,0.201601) 0.149068 (1.83934,3.13376) (0.165618,0.363549) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.09374,3.58499) (-0.0863095,0.996176) 0.202972 (0.900002,5.82137) 1.55021 1.65722 (0.44345,2.70505) (-0.0706248,0.1697) 0.182083 (0.735675,2.889) (-0.0985561,0.201595) 0.149068 (1.87191,3.20524) (0.130278,0.285915) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.07217,3.83406) (-0.0862638,0.996305) 0.202972 (0.900002,5.82137) 1.55021 1.65716 (0.426505,2.74777) (-0.0677833,0.170855) 0.182083 (0.711041,2.9394) (-0.0985348,0.201605) 0.149068 (1.89635,3.25884) (0.097769,0.214415) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.05059,4.08311) (-0.0863082,0.996172) 0.202972 (0.900002,5.82137) 1.55021 1.65722 (0.409967,2.79064) (-0.0661495,0.171494) 0.182083 (0.686406,2.9898) (-0.0985381,0.201603) 0.149068 (1.91468,3.29905) (0.0733329,0.160817) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (1.02902,4.33217) (-0.0862794,0.996256) 0.202972 (0.900002,5.82137) 1.55021 1.65718 (0.393495,2.83354) (-0.0658891,0.171594) 0.182083 (0.66177,3.0402) (-0.0985458,0.2016) 0.149068 (1.92841,3.3292) (0.0549246,0.120636) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (1.00745,4.58123) (-0.0862754,0.996233) 0.202972 (0.900002,5.82137) 1.55021 1.65718 (0.377025,2.87644) (-0.0658802,0.171598) 0.182083 (0.637132,3.0906) (-0.0985508,0.201597) 0.149068 (1.93873,3.35182) (0.0412663,0.0904556) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.98588,4.83031) (-0.0862986,0.996317) 0.202972 (0.900002,5.82137) 1.55021 1.6572 (0.360547,2.91933) (-0.0659103,0.171586) 0.182083 (0.6125,3.141) (-0.0985307,0.201607) 0.149068 (1.94647,3.36879) (0.0309731,0.0678756) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.964406,5.07808) (-0.0858981,0.991078) 0.202972 (0.900002,5.82137) 1.55021 1.65725 (0.344077,2.96223) (-0.065881,0.171597) 0.182083 (0.587861,3.1914) (-0.098554,0.201596) 0.149068 (1.95227,3.3815) (0.0231917,0.0508623) 0.12968 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
