timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.07764,1.43394) (0,0) 0.154707 (0.900002,5.82137) 1.64275 0 (0.744132,2.34091) (0,0) 0.166486 (1.6347,2.33445) (0,0) 0.165393 (0,1.43394) (0,0) 0.3 (2.1,1.43394) (0,0) 0.3
0.25 (1.10602,1.46156) (0.113531,0.110485) 0.154707 (0.900002,5.82137) 1.64275 0.771804 (0.707904,2.42354) (-0.144912,0.330528) 0.166486 (1.64509,2.36943) (0.0415605,0.139935) 0.165393 (0,1.46156) (0,0) 0.3 (2.1,1.46156) (0,0) 0.3
0.5 (1.09422,1.71129) (-0.0472013,0.998898) 0.154707 (0.900002,5.82137) 1.64275 1.61801 (0.671685,2.50618) (-0.144876,0.330544) 0.166486 (1.65548,2.40442) (0.0415593,0.139935) 0.165393 (0,1.71129) (0,0) 0.3 (2.1,1.71129) (0,0) 0.3
0.75 (1.08244,1.96099) (-0.0471329,0.998827) 0.154707 (0.900002,5.82137) 1.64275 1.61795 (0.635458,2.58881) (-0.144908,0.33053) 0.166486 (1.66587,2.4394) (0.0415629,0.139934) 0.165393 (0,1.96099) (0,0) 0.3 (2.1,1.96099) (0,0) 0.3
1 (1.07063,2.21071) (-0.0472104,0.998857) 0.154707 (0.900002,5.82137) 1.64275 1.61803 (0.599234,2.67144) (-0.144897,0.330535) 0.166486 (1.67626,2.47438) (0.0415573,0.139936) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.05883,2.46042) (-0.0472305,0.998856) 0.154707 (0.900002,5.82137) 1.64275 1.61805 (0.563001,2.75407) (-0.144933,0.330519) 0.166486 (1.68665,2.50937) (0.0415704,0.139932) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.04703,2.71014) (-0.0471909,0.998864) 0.154707 (0.900002,5.82137) 1.64275 1.61801 (0.526772,2.8367) (-0.144915,0.330527) 0.166486 (1.69704,2.54435) (0.0415682,0.139932) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.03524,2.95987) (-0.04717,0.998945) 0.154707 (0.900002,5.82137) 1.64275 1.61798 (0.490562,2.91934) (-0.14484,0.33056) 0.166486 (1.70744,2.57933) (0.0415735,0.139931) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.02344,3.2096) (-0.0471886,0.998896) 0.154707 (0.900002,5.82137) 1.64275 1.618 (0.454335,3.00198) (-0.144908,0.33053) 0.166486 (1.71783,2.61432) (0.0415694,0.139932) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.01165,3.45934) (-0.0471671,0.998963) 0.154707 (0.900002,5.82137) 1.64275 1.61798 (0.41811,3.08461) (-0.144898,0.330534) 0.166486 (1.72822,2.6493) (0.041554,0.139937) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.999846,3.70905) (-0.0472056,0.998854) 0.154707 (0.900002,5.82137) 1.64275 1.61802 (0.388654,3.15186) (-0.117827,0.268981) 0.166486 (1.73861,2.68428) (0.0415636,0.139934) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.988037,3.95875) (-0.0472367,0.998802) 0.154707 (0.900002,5.82137) 1.64275 1.61805 (0.366532,3.20229) (-0.0884866,0.20174) 0.166486 (1.749,2.71927) (0.0415777,0.13993) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.976231,4.20847) (-0.0472242,0.998888) 0.154707 (0.900002,5.82137) 1.64275 1.61804 (0.349933,3.24011) (-0.066396,0.151259) 0.166486 (1.7594,2.75425) (0.0415767,0.13993) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.964439,4.45818) (-0.0471693,0.99883) 0.154707 (0.900002,5.82137) 1.64275 1.61799 (0.337477,3.26847) (-0.0498223,0.113465) 0.166486 (1.76979,2.78923) (0.0415684,0.139932) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.952629,4.7079) (-0.047238,0.998865) 0.154707 (0.900002,5.82137) 1.64275 1.61805 (0.328155,3.28976) (-0.0372901,0.0851692) 0.166486 (1.78018,2.82422) (0.0415626,0.139934) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.940824,4.95762) (-0.0472193,0.998888) 0.154707 (0.900002,5.82137) 1.64275 1.61803 (0.321181,3.30571) (-0.0278961,0.063777) 0.166486 (1.79057,2.8592) (0.0415772,0.13993) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.930601,5.17354) (-0.0408944,0.863686) 0.154707 (0.900002,5.82137) 1.64275 1.61811 (0.315931,3.31768) (-0.0209978,0.0479054) 0.166486 (1.80096,2.89418) (0.0415585,0.139935) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.922953,5.33551) (-0.0305894,0.647877) 0.154707 (0.900002,5.82137) 1.64275 1.61798 (0.311981,3.32668) (-0.0158015,0.0359747) 0.166486 (1.81136,2.92916) (0.0415783,0.139929) 0.165393 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
