timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3
0 (0,-1.83711) (0,0) 0.579017 (0,4.51121) 1.82521 0 (0,-1.25677) (0,0) 0.474092 (1.5,-2.33711) (0,0) 1 (-1.5,-0.837107) (0,0) 1
0.25 (-0.0787397,-2.07349) (-0.314959,-0.945547) 0.579017 (0,4.51121) 1.82521 -1.89233 (0.0639676,-1.02038) (0.25587,0.945547) 0.474092 (1.5385,-2.26763) (0.153996,0.27789) 1 (-1.5,-0.828959) (1.5017e-06,0.0325916) 1
0.5 (-0.0957002,-2.1814) (-0.0678422,-0.431626) 0.579017 (0,4.51121) 1.82521 -1.7267 (0.064601,-0.769554) (0.00253381,1.00332) 0.474092 (1.53804,-2.18821) (-0.0018218,0.317702) 1 (-1.5,-0.820811) (1.11959e-06,0.0325916) 1
0.75 (-0.0964865,-2.22598) (-0.00314517,-0.178306) 0.579017 (0,4.51121) 1.82521 -1.58843 (0.0615353,-0.519585) (-0.0122628,0.999876) 0.474092 (1.5376,-2.10878) (-0.00178207,0.317702) 1 (-1.5,-0.812663) (-2.69431e-07,0.0325916) 1
1 (-0.0894063,-2.23021) (0.0283208,-0.0169445) 0.579017 (0,4.51121) 1.82521 -0.539174 (0.0584975,-0.269619) (-0.0121516,0.999865) 0.474092 (1.53715,-2.02936) (-0.00180525,0.317702) 1 (-1.5,-0.804515) (-5.7884e-07,0.0325916) 1
1.25 (-0.0796894,-2.20802) (0.038868,0.0887833) 0.579017 (0,4.51121) 1.82521 1.15815 (0.055423,-0.0196308) (-0.012298,0.999953) 0.474092 (1.5367,-1.94993) (-0.00179985,0.317702) 1 (-1.5,-0.796367) (-4.35991e-07,0.0325916) 1
1.5 (-0.0698927,-2.16862) (0.0391865,0.157606) 0.579017 (0,4.51121) 1.82521 1.3271 (0.0523619,0.230351) (-0.012244,0.999927) 0.474092 (1.53625,-1.87051) (-0.00177802,0.317702) 1 (-1.5,-0.78822) (3.1803e-09,0.0325916) 1
1.75 (-0.0609131,-2.11828) (0.0359186,0.201343) 0.579017 (0,4.51121) 1.82521 1.39426 (0.0493198,0.480328) (-0.0121686,0.999909) 0.474092 (1.5358,-1.79108) (-0.00180866,0.317702) 1 (-1.5,-0.780072) (1.84995e-06,0.0325916) 1
2 (-0.052846,-2.06122) (0.0322681,0.228239) 0.579017 (0,4.51121) 1.82521 1.43035 (0.046248,0.730309) (-0.0122872,0.999923) 0.474092 (1.53535,-1.71166) (-0.00178348,0.317702) 1 (-1.5,-0.771924) (-4.45704e-07,0.0325916) 1
2.25 (-0.0455088,-2.00013) (0.0293489,0.244366) 0.579017 (0,4.51121) 1.82521 1.45127 (0.0431932,0.980285) (-0.0122192,0.999904) 0.474092 (1.53491,-1.63223) (-0.00178836,0.317702) 1 (-1.5,-0.763776) (-3.95539e-07,0.0325916) 1
2.5 (-0.0387093,-1.93662) (0.0271982,0.254033) 0.579017 (0,4.51121) 1.82521 1.46414 (0.0401389,1.23027) (-0.0122171,0.999937) 0.474092 (1.53445,-1.55281) (-0.00182099,0.317702) 1 (-1.5,-0.755628) (-4.20587e-07,0.0325916) 1
2.75 (-0.0321993,-1.87182) (0.0260399,0.259184) 0.579017 (0,4.51121) 1.82521 1.47066 (0.0370847,1.48026) (-0.012217,0.99995) 0.474092 (1.534,-1.47338) (-0.00180149,0.317702) 1 (-1.5,-0.74748) (-6.27923e-07,0.0325916) 1
3 (-0.0258423,-1.80634) (0.0254278,0.261937) 0.579017 (0,4.51121) 1.82521 1.47402 (0.0340201,1.73025) (-0.0122583,0.999962) 0.474092 (1.53355,-1.39395) (-0.00181342,0.317702) 1 (-1.5,-0.739332) (7.201e-07,0.0325916) 1
3.25 (-0.0195683,-1.74051) (0.025096,0.263339) 0.579017 (0,4.51121) 1.82521 1.47578 (0.0309685,1.98024) (-0.0122066,0.999972) 0.474092 (1.5331,-1.31453) (-0.0017764,0.317702) 1 (-1.5,-0.731184) (-2.53214e-09,0.0325916) 1
3.5 (-0.0133391,-1.67449) (0.024917,0.264077) 0.579017 (0,4.51121) 1.82521 1.47672 (0.0279105,2.23022) (-0.0122318,0.999904) 0.474092 (1.53265,-1.2351) (-0.00180627,0.317702) 1 (-1.5,-0.723036) (3.09125e-07,0.0325916) 1
