[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.33395,1.06083) (0,0) 0.146868 (5.98029,1.15206) 1.50292 0 (2.37846,0.544996) (0,0) 0.189337 (2.3676,0.808861) (0,0) 0.143636 (2.26944,1.20667) (0,0) 0.141915 (2.34342,1.63706) (0,0) 0.171435 (1.33395,1.8) (0,0) 0.001 (1.33395,0.3) (0,0) 0.001
0.25 (1.35539,1.03014) (0.085738,-0.122793) 0.146868 (5.98029,1.15206) 1.50292 -0.961259 (2.39894,0.511368) (0.0819131,-0.13451) 0.189337 (2.41043,0.834023) (0.171318,0.100647) 0.143636 (2.28455,1.20721) (0.0604533,0.00212482) 0.141915 (2.39337,1.62581) (0.199791,-0.0450064) 0.171435 (1.35539,1.8) (0,0) 0.001 (1.35539,0.3) (0,0) 0.001
0.5 (1.40517,1.00097) (0.199126,-0.116654) 0.146868 (5.98029,1.15206) 1.50292 -0.529934 (2.437,0.501264) (0.152215,-0.0404162) 0.189337 (2.46145,0.833376) (0.204081,-0.0025897) 0.143636 (2.29414,1.18335) (0.038365,-0.0954375) 0.141915 (2.44442,1.62202) (0.204235,-0.0151632) 0.171435 (1.40517,1.8) (0,0) 0.001 (1.40517,0.3) (0,0) 0.001
0.75 (1.62892,0.920757) (0.894983,-0.320864) 0.146868 (5.98029,1.15206) 1.50292 -0.34424 (2.47532,0.492253) (0.153309,-0.0360431) 0.189337 (2.51971,0.835746) (0.233036,0.00948249) 0.143636 (2.31563,1.15566) (0.0859391,-0.110733) 0.141915 (2.49435,1.61065) (0.199681,-0.0454907) 0.171435 (1.62892,1.8) (0,0) 0.001 (1.62892,0.3) (0,0) 0.001
1 (1.81513,0.865986) (0.744851,-0.219081) 0.146868 (5.98029,1.15206) 1.50292 -0.286061 (2.49691,0.459327) (0.0863552,-0.131703) 0.189337 (2.57797,0.83812) (0.233036,0.00949565) 0.143636 (2.3337,1.11005) (0.0722981,-0.182432) 0.141915 (2.54427,1.59928) (0.199683,-0.0454834) 0.171435 (1.81513,1.8) (0,0) 0.001 (1.81513,0.3) (0,0) 0.001
1.25 (2.00836,0.810436) (0.772936,-0.222201) 0.146868 (5.98029,1.15206) 1.50292 -0.279929 (2.51464,0.424169) (0.0708895,-0.140632) 0.189337 (2.6362,0.841036) (0.232937,0.011665) 0.143636 (2.36893,1.07078) (0.140927,-0.157087) 0.141915 (2.59419,1.58791) (0.199681,-0.0454925) 0.171435 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.19223,0.757459) (0.735457,-0.211909) 0.146868 (5.98029,1.15206) 1.50292 -0.280534 (2.52907,0.38754) (0.0577559,-0.146516) 0.189337 (2.69431,0.845876) (0.232424,0.0193601) 0.143636 (2.41369,1.02904) (0.179016,-0.166987) 0.141915 (2.64411,1.57653) (0.199682,-0.0454881) 0.171435 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.37615,0.70447) (0.735689,-0.211956) 0.146868 (5.98029,1.15206) 1.50292 -0.28051 (2.54335,0.350846) (0.0570936,-0.146776) 0.189337 (2.7524,0.8508) (0.232396,0.0196955) 0.143636 (2.46447,0.986889) (0.203111,-0.168589) 0.141915 (2.69403,1.56516) (0.199683,-0.0454839) 0.171435 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.56026,0.651437) (0.736453,-0.21213) 0.146868 (5.98029,1.15206) 1.50292 -0.280451 (2.55745,0.314088) (0.0564243,-0.147034) 0.189337 (2.8105,0.855798) (0.232371,0.0199922) 0.143636 (2.51931,0.944535) (0.219389,-0.169415) 0.141915 (2.74395,1.55379) (0.199685,-0.0454728) 0.171435 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.74307,0.598894) (0.731228,-0.210174) 0.146868 (5.98029,1.15206) 1.50292 -0.279882 (2.57076,0.277032) (0.0532297,-0.148221) 0.189337 (2.86858,0.860916) (0.232329,0.020471) 0.143636 (2.57224,0.892845) (0.211713,-0.206761) 0.141915 (2.79387,1.54242) (0.199683,-0.045483) 0.171435 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
