timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 0.10000000149011612 (1.938581943511963, 0.9574024677276611) (1.3858193159103394, 0.5740251541137695) 0.2199999988079071 1.5 0.3926990807533504 (1.938581943511963, 1.8) (0, 0) 0.3 (1.938581943511963, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
0.20000000298023224 (2.0885820388793945, 0.9574024677276611) (1.5, 0.0) 0.2199999988079071 1.5 0.0 (2.0, 1.8) (0, 0) 0.3 (2.0, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
0.30000000447034836 (1.9500000476837158, 1.0148049592971802) (-1.3858193159103394, 0.5740251541137695) 0.2199999988079071 1.5 2.748893572836443 (1.9500000476837158, 1.8) (0, 0) 0.3 (1.9500000476837158, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
0.4000000059604645 (2.0250000953674316, 1.0148049592971802) (0.75, 0.0) 0.2199999988079071 1.5 0.0 (2.0, 1.8) (0, 0) 0.3 (2.0, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
0.5000000074505806 (1.9675976037979126, 0.8762230277061462) (-0.5740251541137695, -1.3858193159103394) 0.2199999988079071 1.5 -1.9634954075482471 (1.9675976037979126, 1.8) (0, 0) 0.3 (1.9675976037979126, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
0.6000000089406967 (1.8615316152572632, 0.9822890758514404) (-1.0606601238250732, 1.0606601238250732) 0.2199999988079071 1.5 2.356194490192345 (1.8615316152572632, 1.8) (0, 0) 0.3 (1.8615316152572632, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
0.7000000104308128 (1.7229496240615845, 1.0396915674209595) (-1.3858193159103394, 0.5740251541137695) 0.2199999988079071 1.5 2.748893572836443 (1.7229496240615845, 1.8) (0, 0) 0.3 (1.7229496240615845, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
0.800000011920929 (1.6942483186721802, 1.1089825630187988) (-0.28701257705688477, 0.6929096579551697) 0.2199999988079071 1.5 1.9634954075482471 (1.6942483186721802, 1.8) (0, 0) 0.3 (1.6942483186721802, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
0.9000000134110451 (1.6249573230743408, 1.1376838684082031) (-0.6929096579551697, 0.28701257705688477) 0.2199999988079071 1.5 2.748893572836443 (1.6249573230743408, 1.8) (0, 0) 0.3 (1.6249573230743408, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
1.0000000149011612 (1.6942483186721802, 1.1663851737976074) (0.6929096579551697, 0.28701257705688477) 0.2199999988079071 1.5 0.3926990807533504 (1.6942483186721802, 1.8) (0, 0) 0.3 (1.6942483186721802, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
1.1000000163912773 (1.6942483186721802, 1.2413852214813232) (4.5924253663221344e-17, 0.75) 0.2199999988079071 1.5 1.5707963267948966 (1.6942483186721802, 1.8) (0, 0) 0.3 (1.6942483186721802, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
