timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 position7 velocity7 radius7 
0.10000000149011612 (1.6501045227050781,0.8944000005722046) (-1.4989542961120605,-0.0559999942779541) 0.2199999988079071 (1.6501045227050781,0.8944000005722046) 1.5 -3.1042506460787673 (1.6501045227050781,1.8) (0,0) 0.05 (1.6501045227050781,0.3) (0,0) 0.05 (2.2,0.8944000005722046) (0,0) 0.05 (2.2,0.8944000005722046) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.20000000298023224 (1.5110726356506348,0.9507038593292236) (-1.3903191089630127,0.5630387663841248) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 2.756808385695123 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.30000001192092896 (1.5110726356506348,0.9507038593292236) (-2.9802322387695312e-08,1.4901161193847656e-08) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 2.677945044588987 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.4000000059604645 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.5 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.6000000238418579 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.7000000476837158 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.8000000715255737 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.9000000953674316 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.0000001192092896 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.1000001430511475 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
