[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.13675,1.01043) (0,0) 0.158459 (5.99563,1.71825) 1.57094 0 (2.39171,0.416709) (0,0) 0.209508 (2.22669,0.883488) (0,0) 0.182524 (2.32979,1.25675) (0,0) 0.15164 (2.35343,1.63104) (0,0) 0.163234 (1.13675,1.8) (0,0) 0.001 (1.13675,0.3) (0,0) 0.001
0.25 (1.38417,1.04199) (0.989653,0.126222) 0.158459 (5.99563,1.71825) 1.57094 0.126857 (2.42006,0.412774) (0.113415,-0.0157416) 0.209508 (2.23322,0.883062) (0.0261013,-0.00170342) 0.182524 (2.37416,1.24796) (0.177484,-0.0351664) 0.15164 (2.42493,1.63062) (0.285976,-0.00166186) 0.163234 (1.38417,1.8) (0,0) 0.001 (1.38417,0.3) (0,0) 0.001
0.5 (1.63019,1.08427) (0.984092,0.169129) 0.158459 (5.99563,1.71825) 1.57094 0.1702 (2.44841,0.408838) (0.113415,-0.0157433) 0.209508 (2.24565,0.872924) (0.0497321,-0.0405552) 0.182524 (2.41524,1.22902) (0.164314,-0.0757498) 0.15164 (2.49642,1.6302) (0.285976,-0.00167027) 0.163234 (1.63019,1.8) (0,0) 0.001 (1.63019,0.3) (0,0) 0.001
0.75 (1.8574,1.15091) (0.908848,0.266556) 0.158459 (5.99563,1.71825) 1.57094 0.28529 (2.47677,0.404902) (0.113415,-0.0157429) 0.209508 (2.26613,0.864592) (0.0819409,-0.0333271) 0.182524 (2.44008,1.19122) (0.0993519,-0.151217) 0.15164 (2.56791,1.62979) (0.285976,-0.00166384) 0.163234 (1.8574,1.8) (0,0) 0.001 (1.8574,0.3) (0,0) 0.001
1 (2.01011,1.18473) (0.61082,0.135279) 0.158459 (5.99563,1.71825) 1.57094 0.217953 (2.50092,0.389533) (0.0966009,-0.0614743) 0.209508 (2.28355,0.84861) (0.0696583,-0.0639282) 0.182524 (2.46668,1.15463) (0.106415,-0.146332) 0.15164 (2.63753,1.64606) (0.278478,0.0650755) 0.163234 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.25 (2.13651,1.21299) (0.505608,0.113054) 0.158459 (5.99563,1.71825) 1.57094 0.219981 (2.52475,0.373678) (0.0953332,-0.0634224) 0.209508 (2.30149,0.827414) (0.0717621,-0.084783) 0.182524 (2.49509,1.11943) (0.113605,-0.140823) 0.15164 (2.70715,1.66232) (0.278478,0.0650755) 0.163234 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.24469,1.2374) (0.432713,0.0976557) 0.158459 (5.99563,1.71825) 1.57094 0.221964 (2.54863,0.357887) (0.0955063,-0.0631615) 0.209508 (2.32068,0.804134) (0.0767628,-0.0931204) 0.182524 (2.52546,1.08591) (0.121486,-0.134083) 0.15164 (2.77677,1.67859) (0.278478,0.0650755) 0.163234 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.33698,1.25846) (0.369161,0.0842311) 0.158459 (5.99563,1.71825) 1.57094 0.224329 (2.57289,0.342695) (0.097045,-0.0607708) 0.209508 (2.34147,0.780915) (0.0831632,-0.0928756) 0.182524 (2.5591,1.05567) (0.134579,-0.120938) 0.15164 (2.84639,1.69486) (0.278478,0.0650755) 0.163234 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.42414,1.28096) (0.348654,0.0899844) 0.158459 (5.99563,1.71825) 1.57094 0.252579 (2.59814,0.329219) (0.101022,-0.0539011) 0.209508 (2.36485,0.759863) (0.0935293,-0.0842073) 0.182524 (2.58888,1.02162) (0.119101,-0.136207) 0.15164 (2.91615,1.71051) (0.279045,0.0626005) 0.163234 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.52639,1.29616) (0.409001,0.0607904) 0.158459 (5.99563,1.71825) 1.57094 0.147551 (2.62252,0.314209) (0.0974966,-0.0600436) 0.209508 (2.38735,0.738064) (0.0899925,-0.0871963) 0.182524 (2.62455,0.993813) (0.142708,-0.111228) 0.15164 (2.98595,1.72602) (0.279169,0.062045) 0.163234 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
