[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.27619,1.15237) (0,0) 0.136294 (5.99563,1.71825) 1.67526 0 (2.34767,0.414628) (0,0) 0.202933 (2.30864,0.799373) (0,0) 0.152722 (2.30092,1.20549) (0,0) 0.219055 (2.25687,1.66269) (0,0) 0.158027 (1.27619,1.8) (0,0) 0.001 (1.27619,0.3) (0,0) 0.001
0.25 (1.52442,1.17794) (0.992925,0.102267) 0.136294 (5.99563,1.71825) 1.67526 0.102634 (2.38533,0.409589) (0.150619,-0.0201581) 0.202933 (2.32854,0.800611) (0.0796077,0.00495511) 0.152722 (2.34803,1.20552) (0.18847,0.000140697) 0.219055 (2.35636,1.6702) (0.397967,0.0300761) 0.158027 (1.52442,1.8) (0,0) 0.001 (1.52442,0.3) (0,0) 0.001
0.5 (1.67089,1.18912) (0.585869,0.0447194) 0.136294 (5.99563,1.71825) 1.67526 0.0761823 (2.42298,0.40455) (0.150619,-0.0201535) 0.202933 (2.35575,0.804353) (0.108854,0.0149678) 0.152722 (2.3893,1.18278) (0.165065,-0.0909632) 0.219055 (2.45614,1.6698) (0.399098,-0.00163038) 0.158027 (1.67089,1.8) (0,0) 0.001 (1.67089,0.3) (0,0) 0.001
0.75 (1.7826,1.19256) (0.446839,0.0137568) 0.136294 (5.99563,1.71825) 1.67526 0.0307773 (2.46064,0.399511) (0.150619,-0.0201564) 0.202933 (2.3788,0.798263) (0.092201,-0.0243599) 0.152722 (2.43051,1.15994) (0.164833,-0.0913829) 0.219055 (2.55591,1.66987) (0.399102,0.000278709) 0.158027 (1.7826,1.8) (0,0) 0.001 (1.7826,0.3) (0,0) 0.001
1 (1.8986,1.20599) (0.463998,0.0537264) 0.136294 (5.99563,1.71825) 1.67526 0.115277 (2.49824,0.394085) (0.150403,-0.0217052) 0.202933 (2.39774,0.782878) (0.0757466,-0.0615417) 0.152722 (2.47279,1.13915) (0.169141,-0.0831388) 0.219055 (2.65567,1.66813) (0.399041,-0.00695337) 0.158027 (1.8986,1.8) (0,0) 0.001 (1.8986,0.3) (0,0) 0.001
1.25 (2.01663,1.22595) (0.472114,0.0798372) 0.136294 (5.99563,1.71825) 1.67526 0.167521 (2.53589,0.389056) (0.150624,-0.0201151) 0.202933 (2.41638,0.763752) (0.0745548,-0.0765034) 0.152722 (2.51483,1.11787) (0.168149,-0.0851289) 0.219055 (2.75543,1.66639) (0.399041,-0.00693426) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.13649,1.25438) (0.479436,0.113717) 0.136294 (5.99563,1.71825) 1.67526 0.232886 (2.57351,0.38371) (0.15045,-0.0213829) 0.202933 (2.43608,0.744617) (0.0788324,-0.0765421) 0.152722 (2.55613,1.09519) (0.165205,-0.0907096) 0.219055 (2.8552,1.66466) (0.399041,-0.00695403) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.29338,1.33988) (0.627575,0.342013) 0.136294 (5.99563,1.71825) 1.67526 0.498977 (2.61091,0.377061) (0.149616,-0.0265973) 0.202933 (2.45689,0.72668) (0.0832212,-0.0717458) 0.152722 (2.59809,1.07375) (0.167822,-0.085771) 0.219055 (2.95496,1.66293) (0.399042,-0.00691261) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.46417,1.43164) (0.683137,0.367026) 0.136294 (5.99563,1.71825) 1.67526 0.493014 (2.64825,0.370077) (0.149372,-0.0279361) 0.202933 (2.4799,0.711683) (0.0920583,-0.0599875) 0.152722 (2.6402,1.05262) (0.168461,-0.0845091) 0.219055 (3.05472,1.66119) (0.399041,-0.00693671) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.63635,1.51899) (0.688738,0.349425) 0.136294 (5.99563,1.71825) 1.67526 0.469503 (2.68554,0.362777) (0.14913,-0.0292) 0.202933 (2.50437,0.699188) (0.0978529,-0.0499804) 0.152722 (2.68247,1.03179) (0.169052,-0.0833215) 0.219055 (3.15448,1.65946) (0.399041,-0.00693659) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.5 (2.80845,1.60252) (0.688407,0.334111) 0.136294 (5.99563,1.71825) 1.67526 0.45185 (2.72276,0.355181) (0.148893,-0.0303826) 0.202933 (2.52977,0.688737) (0.101615,-0.0418038) 0.152722 (2.72486,1.01124) (0.169593,-0.0822129) 0.219055 (3.25424,1.65772) (0.399041,-0.00694464) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.75 (2.97957,1.68249) (0.684475,0.319881) 0.136294 (5.99563,1.71825) 1.67526 0.437178 (2.75993,0.347309) (0.148663,-0.0314879) 0.202933 (2.55581,0.679986) (0.104153,-0.0350064) 0.152722 (2.76739,0.990946) (0.170091,-0.0811788) 0.219055 (3.354,1.65599) (0.399042,-0.00692562) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3 (3.14911,1.75894) (0.678148,0.305786) 0.136294 (5.99563,1.71825) 1.67526 0.423613 (2.79704,0.339179) (0.148441,-0.0325195) 0.202933 (2.5823,0.672712) (0.105957,-0.0290929) 0.152722 (2.81002,0.970892) (0.170547,-0.0802152) 0.219055 (3.45376,1.65427) (0.399042,-0.00690375) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.25 (3.31688,1.83189) (0.671088,0.291803) 0.136294 (5.99563,1.71825) 1.67526 0.410159 (2.83409,0.330809) (0.148227,-0.0334808) 0.202933 (2.60913,0.666812) (0.107314,-0.0236014) 0.152722 (2.85276,0.951062) (0.170966,-0.0793183) 0.219055 (3.55352,1.65254) (0.399042,-0.00691841) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.5 (3.48505,1.9022) (0.672675,0.281243) 0.136294 (5.99563,1.71825) 1.67526 0.396009 (2.8711,0.322215) (0.148022,-0.0343752) 0.202933 (2.63622,0.662296) (0.108383,-0.0180647) 0.152722 (2.8956,0.931441) (0.171351,-0.0784846) 0.219055 (3.65328,1.65081) (0.399042,-0.00691747) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.75 (3.70309,1.96783) (0.872153,0.262536) 0.136294 (5.99563,1.71825) 1.67526 0.292393 (2.90806,0.313414) (0.147827,-0.035206) 0.202933 (2.66353,0.659318) (0.109231,-0.0119121) 0.152722 (2.93853,0.912013) (0.171703,-0.0777108) 0.219055 (3.75304,1.64907) (0.399042,-0.00693026) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4 (3.9604,1.97289) (1.02924,0.0202492) 0.136294 (5.99563,1.71825) 1.67526 0.0196715 (2.94497,0.30442) (0.147641,-0.0359762) 0.202933 (2.69098,0.658244) (0.109794,-0.00429347) 0.152722 (2.98153,0.892765) (0.172026,-0.0769939) 0.219055 (3.8528,1.64734) (0.399042,-0.00693194) 0.158027 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
