[[(7.0, 6.0), (0, 6.0), (0, 5.0), (7.0, 5.0)], [(7.0, 1.0), (0, 1.0), (0, 0), (7.0, 0)]]
timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.0 (6.0,2.5409443378448486) (0.0,0.0) 0.5 -0.34920403306957437 (10.0,3.4389659946909985) 3.0 0.0 (7.318092346191406,1.5) (0.0,0.0) 0.5 0.28258185764149457 (8.240147590637207,2.5) (0.0,0.0) 0.5 -0.35977302978096476 (7.0923638343811035,3.5) (0.0,0.0) 0.5 0.3332515738817433 (8.470873832702637,4.5) (0.0,0.0) 0.5 0.1565021324574567 (6.0,5.0) (0,0) 1e-07 -0.34920403306957437 (6.0,1.0) (0,0) 1e-07 -0.34920403306957437 
1.0 (6.363937854766846,2.470202684402466) (0.3639376759529114,-0.07074160873889923) 0.5 -0.34920403306957437 (10.0,3.4389659946909985) 3.0 -0.19198433992913075 (7.937480926513672,1.173874855041504) (0.6193885803222656,-0.32612520456314087) 0.5 0.28258185764149457 (8.86136245727539,2.177366256713867) (0.6212145686149597,-0.32263368368148804) 0.5 -0.35977302978096476 (7.486690521240234,3.5550496578216553) (0.39432668685913086,0.05504973232746124) 0.5 0.3332515738817433 (9.138757705688477,4.709596633911133) (0.6678842306137085,0.2095964103937149) 0.5 0.1565021324574567 (6.363937854766846,5.0) (0,0) 1e-07 -0.34920403306957437 (6.363937854766846,1.0) (0,0) 1e-07 -0.34920403306957437 
2.0 (6.885454177856445,2.493293523788452) (0.5215163826942444,0.023090872913599014) 0.5 -0.34920403306957437 (10.0,3.4389659946909985) 3.0 0.04424751030616423 (8.607958793640137,0.972728431224823) (0.6704775094985962,-0.20114640891551971) 0.5 0.28258185764149457 (9.482577323913574,1.8547325134277344) (0.6212145090103149,-0.32263368368148804) 0.5 -0.35977302978096476 (8.175048828125,3.6821818351745605) (0.6883584260940552,0.12713214755058289) 0.5 0.3332515738817433 (9.806641578674316,4.919192790985107) (0.6678842306137085,0.20959630608558655) 0.5 0.1565021324574567 (6.885454177856445,5.0) (0,0) 1e-07 -0.34920403306957437 (6.885454177856445,1.0) (0,0) 1e-07 -0.34920403306957437 
3.0 (7.303157806396484,2.494194984436035) (0.41770368814468384,0.0009013637900352478) 0.5 -0.34920403306957437 (10.0,3.4389659946909985) 3.0 0.0021578990479185515 (9.278436660766602,0.7715820074081421) (0.670477569103241,-0.2011464536190033) 0.5 0.28258185764149457 (10.103792190551758,1.5320987701416016) (0.6212144494056702,-0.3226337432861328) 0.5 -0.35977302978096476 (8.863407135009766,3.809314012527466) (0.6883584856987,0.1271321177482605) 0.5 0.3332515738817433 (10.474525451660156,5.128788948059082) (0.6678842902183533,0.20959635078907013) 0.5 0.1565021324574567 (7.0,5.0) (0,0) 1e-07 -0.34920403306957437 (7.0,1.0) (0,0) 1e-07 -0.34920403306957437 
4.0 (7.727194786071777,2.5038657188415527) (0.4240369200706482,0.009670712053775787) 0.5 -0.34920403306957437 (10.0,3.4389659946909985) 3.0 0.022802344447836062 (9.948914527893066,0.5704354643821716) (0.6704775094985962,-0.20114654302597046) 0.5 0.28258185764149457 (10.725007057189941,1.2094649076461792) (0.6212144494056702,-0.3226338326931) 0.5 -0.35977302978096476 (9.551765441894531,3.936446189880371) (0.6883586049079895,0.12713207304477692) 0.5 0.3332515738817433 (11.142409324645996,5.338385105133057) (0.6678842306137085,0.20959638059139252) 0.5 0.1565021324574567 (7.0,5.0) (0,0) 1e-07 -0.34920403306957437 (7.0,1.0) (0,0) 1e-07 -0.34920403306957437 
5.0 (8.159509658813477,2.517202377319336) (0.43231481313705444,0.01333668828010559) 0.5 -0.34920403306957437 (10.0,3.4389659946909985) 3.0 0.03083970173817477 (10.183694839477539,0.5) (0.23478063941001892,-0.07043546438217163) 0.5 0.28258185764149457 (11.263320922851562,1.0961278676986694) (0.5383139848709106,-0.11333706974983215) 0.5 -0.35977302978096476 (9.895879745483398,4.0) (0.34411385655403137,0.0635538101196289) 0.5 0.3332515738817433 (11.65739917755127,5.5) (0.5149896740913391,0.16161489486694336) 0.5 0.1565021324574567 (7.0,5.0) (0,0) 1e-07 -0.34920403306957437 (7.0,1.0) (0,0) 1e-07 -0.34920403306957437 
6.0 (8.576156616210938,2.524557113647461) (0.41664713621139526,0.007354650646448135) 0.5 -0.34920403306957437 (10.0,3.4389659946909985) 3.0 0.017650155887097077 (10.183694839477539,0.5) (3.3486600159449154e-07,0.0) 0.5 0.28258185764149457 (11.475503921508789,1.1388640403747559) (0.2121829241514206,0.04273611307144165) 0.5 -0.35977302978096476 (9.895879745483398,4.0) (-4.529630928118422e-07,0.0) 0.5 0.3332515738817433 (11.65739917755127,5.5) (-1.6833955385209265e-07,0.0) 0.5 0.1565021324574567 (7.0,5.0) (0,0) 1e-07 -0.34920403306957437 (7.0,1.0) (0,0) 1e-07 -0.34920403306957437 
7.0 (9.179911613464355,2.562565326690674) (0.6037546992301941,0.03800812363624573) 0.5 -0.34920403306957437 (10.0,3.4389659946909985) 3.0 0.06286995879644143 (10.183694839477539,0.5) (3.3486600159449154e-07,0.0) 0.5 0.28258185764149457 (11.364072799682617,1.1068415641784668) (-0.11143124848604202,-0.03202248364686966) 0.5 -0.35977302978096476 (9.895879745483398,4.0) (-4.529630928118422e-07,0.0) 0.5 0.3332515738817433 (11.65739917755127,5.5) (-1.6833955385209265e-07,0.0) 0.5 0.1565021324574567 (7.0,5.0) (0,0) 1e-07 -0.34920403306957437 (7.0,1.0) (0,0) 1e-07 -0.34920403306957437 
8.0 (9.888716697692871,2.6356358528137207) (0.7088052034378052,0.07307043671607971) 0.5 -0.34920403306957437 (10.0,3.4389659946909985) 3.0 0.10272670596624324 (10.183694839477539,0.5) (3.3486600159449154e-07,0.0) 0.5 0.28258185764149457 (11.161858558654785,1.0180350542068481) (-0.2022140920162201,-0.08880652487277985) 0.5 -0.35977302978096476 (9.895879745483398,4.0) (-4.529630928118422e-07,0.0) 0.5 0.3332515738817433 (11.65739917755127,5.5) (-1.6833955385209265e-07,0.0) 0.5 0.1565021324574567 (7.0,5.0) (0,0) 1e-07 -0.34920403306957437 (7.0,1.0) (0,0) 1e-07 -0.34920403306957437 
9.0 (10.575221061706543,2.709836006164551) (0.6865040063858032,0.0742001011967659) 0.5 -0.34920403306957437 (10.0,3.4389659946909985) 3.0 0.10766604429380076 (10.134147644042969,0.47259220480918884) (-0.049546826630830765,-0.02740779146552086) 0.5 0.28258185764149457 (11.128320693969727,1.0) (-0.03353821113705635,-0.018035054206848145) 0.5 -0.35977302978096476 (9.895879745483398,4.0) (-4.529630928118422e-07,0.0) 0.5 0.3332515738817433 (11.65739917755127,5.5) (-1.6833955385209265e-07,0.0) 0.5 0.1565021324574567 (7.0,5.0) (0,0) 1e-07 -0.34920403306957437 (7.0,1.0) (0,0) 1e-07 -0.34920403306957437 
