[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.15808,1.15486) (0,0) 0.137729 (5.98029,1.15206) 1.79398 0 (2.3254,0.410978) (0,0) 0.182097 (2.35963,0.838208) (0,0) 0.206094 (2.33047,1.2496) (0,0) 0.188497 (2.26855,1.55209) (0,0) 0.179851 (1.15808,1.8) (0,0) 0.001 (1.15808,0.3) (0,0) 0.001
0.1 (1.25807,1.1548) (0.999983,-0.000583857) 0.137729 (5.98029,1.15206) 1.79398 -0.000583866 (2.3379,0.409086) (0.125,-0.0189223) 0.182097 (2.37207,0.839061) (0.124421,0.00852404) 0.206094 (2.35017,1.23714) (0.197008,-0.124539) 0.188497 (2.28421,1.57454) (0.156664,0.224441) 0.179851 (1.25807,1.8) (0,0) 0.001 (1.25807,0.3) (0,0) 0.001
0.2 (1.35808,1.15473) (1.00005,-0.000639999) 0.137729 (5.98029,1.15206) 1.79398 -0.000639966 (2.3504,0.407193) (0.125,-0.0189271) 0.182097 (2.36412,0.837316) (-0.0795269,-0.0174528) 0.206094 (2.37256,1.23065) (0.223852,-0.0649145) 0.188497 (2.3048,1.59258) (0.20582,0.180432) 0.179851 (1.35808,1.8) (0,0) 0.001 (1.35808,0.3) (0,0) 0.001
0.3 (1.45808,1.15467) (1.00002,-0.000661617) 0.137729 (5.98029,1.15206) 1.79398 -0.000661607 (2.3629,0.405301) (0.125001,-0.0189211) 0.182097 (2.36085,0.833057) (-0.0327245,-0.0425863) 0.206094 (2.39543,1.22616) (0.228701,-0.0449351) 0.188497 (2.33132,1.59933) (0.265247,0.0675401) 0.179851 (1.45808,1.8) (0,0) 0.001 (1.45808,0.3) (0,0) 0.001
0.4 (1.5181,1.15279) (0.600165,-0.0187435) 0.137729 (5.98029,1.15206) 1.79398 -0.0312204 (2.3754,0.403409) (0.125,-0.0189241) 0.182097 (2.36408,0.829336) (0.0323602,-0.0372118) 0.206094 (2.41821,1.2311) (0.227782,0.0493846) 0.188497 (2.35868,1.6003) (0.273542,0.00961059) 0.179851 (1.5181,1.8) (0,0) 0.001 (1.5181,0.3) (0,0) 0.001
0.5 (1.57251,1.15055) (0.544087,-0.0224661) 0.137729 (5.98029,1.15206) 1.79398 -0.0412679 (2.3879,0.401516) (0.124999,-0.0189284) 0.182097 (2.37072,0.825934) (0.0663998,-0.0340223) 0.206094 (2.44099,1.23602) (0.227823,0.0491964) 0.188497 (2.38589,1.60322) (0.272148,0.0292028) 0.179851 (1.57251,1.8) (0,0) 0.001 (1.57251,0.3) (0,0) 0.001
0.6 (1.6236,1.14822) (0.510976,-0.0232671) 0.137729 (5.98029,1.15206) 1.79398 -0.0455032 (2.4004,0.399624) (0.125001,-0.018917) 0.182097 (2.37884,0.822567) (0.0811305,-0.0336659) 0.206094 (2.46377,1.24091) (0.227869,0.0489788) 0.188497 (2.41297,1.60718) (0.270821,0.0396691) 0.179851 (1.6236,1.8) (0,0) 0.001 (1.6236,0.3) (0,0) 0.001
0.7 (1.67296,1.14585) (0.493539,-0.0236889) 0.137729 (5.98029,1.15206) 1.79398 -0.0479613 (2.4129,0.397732) (0.125,-0.0189225) 0.182097 (2.3877,0.819218) (0.0886254,-0.0334846) 0.206094 (2.48657,1.24579) (0.227913,0.0487739) 0.188497 (2.43997,1.61172) (0.269927,0.0453524) 0.179851 (1.67296,1.8) (0,0) 0.001 (1.67296,0.3) (0,0) 0.001
0.8 (1.72138,1.14346) (0.48421,-0.0239146) 0.137729 (5.98029,1.15206) 1.79398 -0.0493488 (2.4254,0.39584) (0.125,-0.0189223) 0.182097 (2.39694,0.815879) (0.0924509,-0.0333921) 0.206094 (2.50936,1.25065) (0.227956,0.0485766) 0.188497 (2.4669,1.61657) (0.269369,0.0485552) 0.179851 (1.72138,1.8) (0,0) 0.001 (1.72138,0.3) (0,0) 0.001
0.9 (1.76929,1.14106) (0.479081,-0.0240387) 0.137729 (5.98029,1.15206) 1.79398 -0.0501346 (2.4379,0.393947) (0.125,-0.018924) 0.182097 (2.40638,0.812545) (0.0944011,-0.0333449) 0.206094 (2.53216,1.25548) (0.228017,0.0482879) 0.188497 (2.4938,1.62164) (0.268983,0.050653) 0.179851 (1.76929,1.8) (0,0) 0.001 (1.76929,0.3) (0,0) 0.001
1 (1.81688,1.13864) (0.475985,-0.0241136) 0.137729 (5.98029,1.15206) 1.79398 -0.0506171 (2.4504,0.392055) (0.125,-0.0189241) 0.182097 (2.41592,0.809213) (0.0953975,-0.0333208) 0.206094 (2.55497,1.26026) (0.228106,0.0478667) 0.188497 (2.52067,1.62688) (0.26865,0.0523865) 0.179851 (1.81688,1.8) (0,0) 0.001 (1.81688,0.3) (0,0) 0.001
1.1 (1.86426,1.13623) (0.473738,-0.0241679) 0.137729 (5.98029,1.15206) 1.79398 -0.0509712 (2.4629,0.390162) (0.125,-0.0189265) 0.182097 (2.42552,0.805882) (0.0959059,-0.0333085) 0.206094 (2.57778,1.26508) (0.228051,0.048128) 0.188497 (2.54753,1.63213) (0.268614,0.0525743) 0.179851 (1.86426,1.8) (0,0) 0.001 (1.86426,0.3) (0,0) 0.001
1.2 (1.91156,1.13381) (0.472968,-0.0241865) 0.137729 (5.98029,1.15206) 1.79398 -0.0510933 (2.4754,0.388269) (0.124999,-0.0189328) 0.182097 (2.43513,0.802552) (0.0961677,-0.0333022) 0.206094 (2.60058,1.26992) (0.227995,0.0483913) 0.188497 (2.5744,1.63735) (0.268698,0.0521441) 0.179851 (1.91156,1.8) (0,0) 0.001 (1.91156,0.3) (0,0) 0.001
1.3 (1.95885,1.13139) (0.472968,-0.0241866) 0.137729 (5.98029,1.15206) 1.79398 -0.0510933 (2.4879,0.386376) (0.124999,-0.0189303) 0.182097 (2.44476,0.799222) (0.0963077,-0.0332988) 0.206094 (2.62338,1.27476) (0.227995,0.0483913) 0.188497 (2.60128,1.6425) (0.268816,0.0515295) 0.179851 (1.95885,1.8) (0,0) 0.001 (1.95885,0.3) (0,0) 0.001
1.4 (2.00615,1.12897) (0.472968,-0.0241866) 0.137729 (5.98029,1.15206) 1.79398 -0.0510933 (2.5004,0.384484) (0.125,-0.0189228) 0.182097 (2.4544,0.795892) (0.0963768,-0.0332971) 0.206094 (2.64618,1.27959) (0.227995,0.0483913) 0.188497 (2.62817,1.64758) (0.268952,0.0508158) 0.179851 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.05345,1.12655) (0.472968,-0.0241866) 0.137729 (5.98029,1.15206) 1.79398 -0.0510933 (2.5129,0.382591) (0.125,-0.018925) 0.182097 (2.46404,0.792562) (0.0964047,-0.0332964) 0.206094 (2.66898,1.28443) (0.227995,0.0483913) 0.188497 (2.65508,1.6526) (0.269072,0.0501774) 0.179851 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
