[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.16949,1.01191) (0,0) 0.12847 (5.99563,1.71825) 1.5556 0 (2.28116,0.573367) (0,0) 0.155723 (2.30556,0.883618) (0,0) 0.189285 (2.26284,1.30142) (0,0) 0.168466 (2.30661,1.58459) (0,0) 0.209092 (1.16949,1.8) (0,0) 0.001 (1.16949,0.3) (0,0) 0.001
0.25 (1.41684,1.04489) (0.989382,0.131924) 0.12847 (5.99563,1.71825) 1.5556 0.132558 (2.37504,0.549031) (0.375543,-0.097346) 0.155723 (2.3543,0.893454) (0.194941,0.0393444) 0.189285 (2.23434,1.27842) (-0.114012,-0.0920089) 0.168466 (2.3524,1.62356) (0.183139,0.155911) 0.209092 (1.41684,1.8) (0,0) 0.001 (1.41684,0.3) (0,0) 0.001
0.5 (1.49053,1.05269) (0.294791,0.0312018) 0.12847 (5.99563,1.71825) 1.5556 0.105451 (2.4698,0.528338) (0.379022,-0.0827694) 0.155723 (2.4039,0.896844) (0.198409,0.0135594) 0.189285 (2.20931,1.29399) (-0.100114,0.0622763) 0.168466 (2.41019,1.64017) (0.231157,0.0664424) 0.209092 (1.49053,1.8) (0,0) 0.001 (1.49053,0.3) (0,0) 0.001
0.75 (1.56913,1.06011) (0.314364,0.0296616) 0.12847 (5.99563,1.71825) 1.5556 0.0940757 (2.56456,0.507653) (0.379029,-0.0827398) 0.155723 (2.4528,0.905806) (0.195614,0.0358488) 0.189285 (2.2232,1.30649) (0.0555556,0.0500269) 0.168466 (2.47031,1.64058) (0.240511,0.00162182) 0.209092 (1.56913,1.8) (0,0) 0.001 (1.56913,0.3) (0,0) 0.001
1 (1.64765,1.06753) (0.314083,0.0296837) 0.12847 (5.99563,1.71825) 1.5556 0.0942292 (2.65931,0.486957) (0.379019,-0.0827853) 0.155723 (2.50173,0.914649) (0.195701,0.0353707) 0.189285 (2.25555,1.31755) (0.129401,0.0442161) 0.168466 (2.53021,1.63524) (0.239565,-0.0213715) 0.209092 (1.64765,1.8) (0,0) 0.001 (1.64765,0.3) (0,0) 0.001
1.25 (1.72543,1.07501) (0.311144,0.029915) 0.12847 (5.99563,1.71825) 1.5556 0.0958507 (2.75406,0.466256) (0.379015,-0.0828027) 0.155723 (2.55085,0.922306) (0.196499,0.030628) 0.189285 (2.29053,1.32839) (0.139936,0.0433871) 0.168466 (2.58978,1.62709) (0.238297,-0.0325954) 0.209092 (1.72543,1.8) (0,0) 0.001 (1.72543,0.3) (0,0) 0.001
1.5 (1.80253,1.08254) (0.308395,0.0301313) 0.12847 (5.99563,1.71825) 1.5556 0.0973945 (2.84882,0.445557) (0.379016,-0.0827991) 0.155723 (2.60012,0.928987) (0.197068,0.0267253) 0.189285 (2.32552,1.33924) (0.139936,0.0433871) 0.168466 (2.64928,1.61842) (0.238007,-0.0346522) 0.209092 (1.80253,1.8) (0,0) 0.001 (1.80253,0.3) (0,0) 0.001
1.75 (1.87898,1.09012) (0.30578,0.0303371) 0.12847 (5.99563,1.71825) 1.5556 0.0988884 (2.94358,0.424869) (0.379027,-0.0827486) 0.155723 (2.64949,0.934842) (0.197488,0.0234193) 0.189285 (2.3605,1.35009) (0.139936,0.0433871) 0.168466 (2.70878,1.60976) (0.238005,-0.0346627) 0.209092 (1.87898,1.8) (0,0) 0.001 (1.87898,0.3) (0,0) 0.001
2 (1.9548,1.09775) (0.303313,0.0305312) 0.12847 (5.99563,1.71825) 1.5556 0.100321 (3.03833,0.40418) (0.379024,-0.0827596) 0.155723 (2.69894,0.939998) (0.1978,0.0206241) 0.189285 (2.39548,1.36093) (0.139936,0.0433871) 0.168466 (2.76828,1.6011) (0.238007,-0.0346536) 0.209092 (1.9548,1.8) (0,0) 0.001 (1.9548,0.3) (0,0) 0.001
2.25 (2.03005,1.10543) (0.301,0.0307132) 0.12847 (5.99563,1.71825) 1.5556 0.101685 (3.13309,0.383491) (0.379026,-0.0827527) 0.155723 (2.74845,0.944565) (0.198031,0.018268) 0.189285 (2.43047,1.37178) (0.139936,0.0433871) 0.168466 (2.82779,1.59243) (0.238005,-0.0346644) 0.209092 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.5 (2.10477,1.11315) (0.298848,0.0308825) 0.12847 (5.99563,1.71825) 1.5556 0.102973 (3.22784,0.362806) (0.379028,-0.0827428) 0.155723 (2.798,0.948638) (0.198204,0.0162925) 0.189285 (2.46545,1.38263) (0.139936,0.0433871) 0.168466 (2.88729,1.58377) (0.238008,-0.0346418) 0.209092 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.75 (2.17898,1.12091) (0.296862,0.0310387) 0.12847 (5.99563,1.71825) 1.5556 0.104177 (3.3226,0.342113) (0.379022,-0.082772) 0.155723 (2.84758,0.9523) (0.198332,0.0146499) 0.189285 (2.50044,1.39347) (0.139936,0.0433872) 0.168466 (2.94679,1.57511) (0.238007,-0.0346486) 0.209092 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3 (2.25274,1.12871) (0.295049,0.0311814) 0.12847 (5.99563,1.71825) 1.5556 0.105291 (3.41735,0.321413) (0.379016,-0.0827982) 0.155723 (2.89719,0.955625) (0.198427,0.0133004) 0.189285 (2.53542,1.40432) (0.139936,0.0433872) 0.168466 (3.00629,1.56644) (0.238007,-0.0346484) 0.209092 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.25 (2.3261,1.13654) (0.293415,0.03131) 0.12847 (5.99563,1.71825) 1.5556 0.106306 (3.51211,0.300707) (0.37901,-0.0828245) 0.155723 (2.94681,0.958678) (0.198497,0.0122109) 0.189285 (2.5704,1.41517) (0.139936,0.0433872) 0.168466 (3.06579,1.55778) (0.238008,-0.0346476) 0.209092 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.5 (2.39909,1.14439) (0.291974,0.0314234) 0.12847 (5.99563,1.71825) 1.5556 0.107211 (3.60686,0.280025) (0.379031,-0.082728) 0.155723 (2.99645,0.961517) (0.198548,0.0113541) 0.189285 (2.60539,1.42601) (0.139936,0.0433872) 0.168466 (3.1253,1.54912) (0.238008,-0.0346425) 0.209092 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.75 (2.47178,1.15227) (0.290742,0.0315203) 0.12847 (5.99563,1.71825) 1.5556 0.107991 (3.70162,0.259343) (0.379031,-0.0827275) 0.155723 (3.0461,0.964193) (0.198584,0.0107073) 0.189285 (2.64037,1.43686) (0.139936,0.0433872) 0.168466 (3.1848,1.54046) (0.238005,-0.0346677) 0.209092 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4 (2.54421,1.16017) (0.289748,0.0315985) 0.12847 (5.99563,1.71825) 1.5556 0.108626 (3.77814,0.242612) (0.306084,-0.0669244) 0.155723 (3.09575,0.966757) (0.198608,0.0102523) 0.189285 (2.67536,1.44771) (0.139936,0.0433872) 0.168466 (3.2443,1.53179) (0.238008,-0.034645) 0.209092 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
