[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.48822,1.10237) (0,0) 0.150557 (5.99563,1.71825) 1.80052 0 (2.30916,0.532783) (0,0) 0.186804 (2.38037,0.841636) (0,0) 0.163601 (2.28641,1.23528) (0,0) 0.1752 (2.31309,1.56206) (0,0) 0.217581 (1.48822,1.8) (0,0) 0.001 (1.48822,0.3) (0,0) 0.001
0.25 (1.50134,1.09718) (0.0524684,-0.0207813) 0.150557 (5.99563,1.71825) 1.80052 -0.377115 (2.38485,0.498169) (0.30275,-0.138455) 0.186804 (2.46025,0.857544) (0.319525,0.0636296) 0.163601 (2.26529,1.21635) (-0.0845131,-0.0757453) 0.1752 (2.33524,1.59282) (0.0886259,0.123032) 0.217581 (1.50134,1.8) (0,0) 0.001 (1.50134,0.3) (0,0) 0.001
0.5 (1.53771,1.11213) (0.145479,0.0597873) 0.150557 (5.99563,1.71825) 1.80052 0.389926 (2.46664,0.482763) (0.327154,-0.0616257) 0.186804 (2.54014,0.873446) (0.319529,0.063611) 0.163601 (2.28315,1.19276) (0.0714573,-0.0943407) 0.1752 (2.37311,1.59448) (0.151484,0.00663756) 0.217581 (1.53771,1.8) (0,0) 0.001 (1.53771,0.3) (0,0) 0.001
0.75 (1.58868,1.12267) (0.2039,0.0421826) 0.150557 (5.99563,1.71825) 1.80052 0.204001 (2.54843,0.467357) (0.327154,-0.061622) 0.186804 (2.62002,0.889348) (0.319529,0.0636081) 0.163601 (2.31232,1.12416) (0.116682,-0.274408) 0.1752 (2.41071,1.58961) (0.150371,-0.019492) 0.217581 (1.58868,1.8) (0,0) 0.001 (1.58868,0.3) (0,0) 0.001
1 (1.6529,1.10588) (0.256862,-0.067178) 0.150557 (5.99563,1.71825) 1.80052 -0.255804 (2.63022,0.451952) (0.327154,-0.0616214) 0.186804 (2.6999,0.905256) (0.319525,0.0636319) 0.163601 (2.36258,1.06901) (0.201028,-0.220614) 0.1752 (2.4483,1.58473) (0.150371,-0.0194955) 0.217581 (1.6529,1.8) (0,0) 0.001 (1.6529,0.3) (0,0) 0.001
1.25 (1.74723,1.08858) (0.377327,-0.0691826) 0.150557 (5.99563,1.71825) 1.80052 -0.181335 (2.71201,0.436544) (0.327153,-0.0616304) 0.186804 (2.77978,0.921162) (0.319526,0.0636235) 0.163601 (2.42749,1.03221) (0.25965,-0.14719) 0.1752 (2.48589,1.57986) (0.150372,-0.0194838) 0.217581 (1.74723,1.8) (0,0) 0.001 (1.74723,0.3) (0,0) 0.001
1.5 (1.89168,1.09008) (0.577786,0.00600472) 0.150557 (5.99563,1.71825) 1.80052 0.0103923 (2.79379,0.421138) (0.327154,-0.0616254) 0.186804 (2.85966,0.937065) (0.319529,0.0636114) 0.163601 (2.4933,0.997039) (0.263232,-0.140682) 0.1752 (2.52349,1.57499) (0.15037,-0.019498) 0.217581 (1.89168,1.8) (0,0) 0.001 (1.89168,0.3) (0,0) 0.001
1.75 (2.02723,1.08651) (0.542214,-0.0142689) 0.150557 (5.99563,1.71825) 1.80052 -0.0263099 (2.87558,0.405733) (0.327155,-0.0616183) 0.186804 (2.93641,0.964347) (0.306979,0.109128) 0.163601 (2.5591,0.961867) (0.26323,-0.140686) 0.1752 (2.56108,1.57011) (0.150371,-0.0194907) 0.217581 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.16351,1.08256) (0.545134,-0.0158007) 0.150557 (5.99563,1.71825) 1.80052 -0.0289768 (2.95737,0.390327) (0.327154,-0.0616252) 0.186804 (3.01315,0.991629) (0.306979,0.109128) 0.163601 (2.62491,0.926697) (0.263232,-0.140683) 0.1752 (2.59867,1.56524) (0.15037,-0.019496) 0.217581 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.30024,1.07838) (0.546906,-0.0167303) 0.150557 (5.99563,1.71825) 1.80052 -0.0305812 (3.03916,0.374922) (0.327155,-0.0616193) 0.186804 (3.0899,1.01891) (0.306979,0.109128) 0.163601 (2.69072,0.891527) (0.263235,-0.140677) 0.1752 (2.63626,1.56037) (0.150372,-0.0194868) 0.217581 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
