[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.41021,1.07597) (0,0) 0.198256 (5.98029,1.15206) 1.83256 0 (2.37367,0.555972) (0,0) 0.146148 (2.20278,0.846208) (0,0) 0.21713 (2.23286,1.18265) (0,0) 0.209265 (2.2059,1.68139) (0,0) 0.154752 (1.41021,1.8) (0,0) 0.001 (1.41021,0.3) (0,0) 0.001
0.25 (1.42085,1.0759) (0.0425908,-0.000270832) 0.198256 (5.98029,1.15206) 1.83256 -0.00635885 (2.40952,0.54648) (0.143409,-0.0379653) 0.146148 (2.19814,0.828438) (-0.0185764,-0.0710795) 0.21713 (2.30197,1.20535) (0.276419,0.0907825) 0.209265 (2.24104,1.6799) (0.140561,-0.00596598) 0.154752 (1.42085,1.8) (0,0) 0.001 (1.42085,0.3) (0,0) 0.001
0.5 (1.47073,1.0955) (0.199486,0.0783744) 0.198256 (5.98029,1.15206) 1.83256 0.374355 (2.44537,0.536989) (0.143409,-0.0379661) 0.146148 (2.20884,0.818908) (0.0428313,-0.0381193) 0.21713 (2.37441,1.21185) (0.28978,0.0260104) 0.209265 (2.27531,1.67198) (0.137069,-0.0317027) 0.154752 (1.47073,1.8) (0,0) 0.001 (1.47073,0.3) (0,0) 0.001
0.75 (1.52463,1.10523) (0.215613,0.0389321) 0.198256 (5.98029,1.15206) 1.83256 0.17864 (2.48122,0.527498) (0.14341,-0.0379635) 0.146148 (2.23846,0.817312) (0.118443,-0.00638533) 0.21713 (2.44575,1.19767) (0.285364,-0.0567113) 0.209265 (2.30957,1.66405) (0.137068,-0.031706) 0.154752 (1.52463,1.8) (0,0) 0.001 (1.52463,0.3) (0,0) 0.001
1 (1.5823,1.11261) (0.230703,0.0294998) 0.198256 (5.98029,1.15206) 1.83256 0.127179 (2.51708,0.51801) (0.143413,-0.0379512) 0.146148 (2.26808,0.818575) (0.118508,0.00505346) 0.21713 (2.51482,1.17486) (0.276273,-0.0912261) 0.209265 (2.34384,1.65613) (0.137069,-0.031702) 0.154752 (1.5823,1.8) (0,0) 0.001 (1.5823,0.3) (0,0) 0.001
1.25 (1.64094,1.11977) (0.234539,0.0286473) 0.198256 (5.98029,1.15206) 1.83256 0.121541 (2.55293,0.508523) (0.143413,-0.0379504) 0.146148 (2.29771,0.819838) (0.118508,0.00504963) 0.21713 (2.58179,1.14647) (0.267861,-0.113576) 0.209265 (2.37811,1.6482) (0.13707,-0.031697) 0.154752 (1.64094,1.8) (0,0) 0.001 (1.64094,0.3) (0,0) 0.001
1.5 (1.69931,1.12664) (0.233481,0.027484) 0.198256 (5.98029,1.15206) 1.83256 0.117175 (2.58878,0.49903) (0.143408,-0.0379688) 0.146148 (2.32734,0.821103) (0.118507,0.0050622) 0.21713 (2.64631,1.1129) (0.258103,-0.134282) 0.209265 (2.41248,1.64074) (0.137489,-0.0298295) 0.154752 (1.69931,1.8) (0,0) 0.001 (1.69931,0.3) (0,0) 0.001
1.75 (1.75698,1.13325) (0.230681,0.0264609) 0.198256 (5.98029,1.15206) 1.83256 0.114209 (2.62463,0.489541) (0.143411,-0.0379588) 0.146148 (2.35696,0.822366) (0.118508,0.0050527) 0.21713 (2.70795,1.07429) (0.246566,-0.154448) 0.209265 (2.44702,1.63409) (0.138148,-0.0266117) 0.154752 (1.75698,1.8) (0,0) 0.001 (1.75698,0.3) (0,0) 0.001
2 (1.81393,1.13967) (0.227815,0.0256585) 0.198256 (5.98029,1.15206) 1.83256 0.112156 (2.66049,0.480048) (0.143407,-0.0379725) 0.146148 (2.38659,0.823632) (0.118507,0.00506107) 0.21713 (2.76692,1.03171) (0.235879,-0.170324) 0.209265 (2.48169,1.6282) (0.138698,-0.0235739) 0.154752 (1.81393,1.8) (0,0) 0.001 (1.81393,0.3) (0,0) 0.001
