[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.19767,1.18382) (0,0) 0.155217 (5.98029,1.15206) 1.7492 0 (2.27249,0.461709) (0,0) 0.197015 (2.32547,0.940883) (0,0) 0.120277 (2.26705,1.26685) (0,0) 0.145817 (2.25881,1.55522) (0,0) 0.122914 (1.19767,1.8) (0,0) 0.001 (1.19767,0.3) (0,0) 0.001
0.25 (1.44766,1.18215) (0.999994,-0.00668878) 0.155217 (5.98029,1.15206) 1.7492 -0.00668872 (2.31327,0.45433) (0.163118,-0.0295171) 0.197015 (2.41811,0.941656) (0.370558,0.00309287) 0.120277 (2.28129,1.26775) (0.0569943,0.00360566) 0.145817 (2.33768,1.55698) (0.315477,0.00703659) 0.122914 (1.44766,1.8) (0,0) 0.001 (1.44766,0.3) (0,0) 0.001
0.5 (1.58782,1.18009) (0.56062,-0.00825602) 0.155217 (5.98029,1.15206) 1.7492 -0.0147255 (2.35405,0.446951) (0.163118,-0.0295161) 0.197015 (2.51069,0.938353) (0.370335,-0.013215) 0.120277 (2.28362,1.30157) (0.00931282,0.135278) 0.145817 (2.41603,1.54783) (0.313424,-0.0366228) 0.122914 (1.58782,1.8) (0,0) 0.001 (1.58782,0.3) (0,0) 0.001
0.75 (1.72621,1.1779) (0.553577,-0.00876905) 0.155217 (5.98029,1.15206) 1.7492 -0.0158394 (2.39483,0.439572) (0.163119,-0.0295124) 0.197015 (2.60327,0.934794) (0.370297,-0.0142365) 0.120277 (2.30684,1.3306) (0.0928873,0.116141) 0.145817 (2.49442,1.53894) (0.313545,-0.0355652) 0.122914 (1.72621,1.8) (0,0) 0.001 (1.72621,0.3) (0,0) 0.001
1 (1.86454,1.1757) (0.553309,-0.00879533) 0.155217 (5.98029,1.15206) 1.7492 -0.0158945 (2.43561,0.432193) (0.163118,-0.0295189) 0.197015 (2.69584,0.931067) (0.370271,-0.0149082) 0.120277 (2.34912,1.35461) (0.16912,0.0960146) 0.145817 (2.57282,1.53022) (0.313624,-0.0348686) 0.122914 (1.86454,1.8) (0,0) 0.001 (1.86454,0.3) (0,0) 0.001
1.25 (2.00283,1.17349) (0.553164,-0.00881014) 0.155217 (5.98029,1.15206) 1.7492 -0.0159255 (2.47639,0.424811) (0.163116,-0.0295259) 0.197015 (2.7884,0.927249) (0.370256,-0.0152714) 0.120277 (2.40508,1.37496) (0.223843,0.0814008) 0.145817 (2.65124,1.5216) (0.313665,-0.0344909) 0.122914 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.1411,1.17129) (0.553079,-0.00881892) 0.155217 (5.98029,1.15206) 1.7492 -0.0159438 (2.51717,0.417432) (0.163118,-0.0295181) 0.197015 (2.88096,0.923382) (0.370248,-0.0154687) 0.120277 (2.47004,1.39289) (0.259818,0.0717352) 0.145817 (2.72966,1.51302) (0.313688,-0.0342851) 0.122914 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.27936,1.16908) (0.553025,-0.00882452) 0.155217 (5.98029,1.15206) 1.7492 -0.0159555 (2.55795,0.410052) (0.163117,-0.0295193) 0.197015 (2.97352,0.919487) (0.370244,-0.0155765) 0.120277 (2.54075,1.40927) (0.282839,0.0655262) 0.145817 (2.80809,1.50448) (0.3137,-0.0341722) 0.122914 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.4176,1.16688) (0.552984,-0.00882854) 0.155217 (5.98029,1.15206) 1.7492 -0.0159639 (2.59873,0.402675) (0.16312,-0.0295065) 0.197015 (3.06608,0.915578) (0.370241,-0.0156359) 0.120277 (2.61515,1.42466) (0.297584,0.0615392) 0.145817 (2.88651,1.49595) (0.313707,-0.0341096) 0.122914 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.55584,1.16467) (0.552949,-0.00883182) 0.155217 (5.98029,1.15206) 1.7492 -0.0159709 (2.63951,0.395295) (0.163117,-0.0295199) 0.197015 (3.15864,0.911661) (0.37024,-0.0156691) 0.120277 (2.69108,1.43963) (0.303743,0.0598894) 0.145817 (2.96494,1.48743) (0.313711,-0.0340744) 0.122914 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
