[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.46744,1.19774) (0,0) 0.140735 (5.98029,1.15206) 1.74605 0 (2.34014,0.562639) (0,0) 0.209729 (2.27073,0.865951) (0,0) 0.204811 (2.22258,1.30097) (0,0) 0.132147 (2.33001,1.52741) (0,0) 0.133991 (1.46744,1.8) (0,0) 0.001 (1.46744,0.3) (0,0) 0.001
0.25 (1.48024,1.19444) (0.0511894,-0.0132146) 0.140735 (5.98029,1.15206) 1.74605 -0.252636 (2.42429,0.528865) (0.336594,-0.135097) 0.209729 (2.24085,0.888431) (-0.119538,0.089921) 0.204811 (2.21224,1.2973) (-0.0413586,-0.0147122) 0.132147 (2.40229,1.51367) (0.289115,-0.0549373) 0.133991 (1.48024,1.8) (0,0) 0.001 (1.48024,0.3) (0,0) 0.001
0.5 (1.50555,1.15675) (0.101254,-0.150741) 0.140735 (5.98029,1.15206) 1.74605 -0.979311 (2.51217,0.506527) (0.351514,-0.0893548) 0.209729 (2.25083,0.879964) (0.0399281,-0.033868) 0.204811 (2.24475,1.27545) (0.130045,-0.0873743) 0.132147 (2.47457,1.49993) (0.289109,-0.0549661) 0.133991 (1.50555,1.8) (0,0) 0.001 (1.50555,0.3) (0,0) 0.001
0.75 (1.53576,1.12037) (0.120834,-0.145537) 0.140735 (5.98029,1.15206) 1.74605 -0.877872 (2.60005,0.484194) (0.35152,-0.0893319) 0.209729 (2.28354,0.858003) (0.13084,-0.0878463) 0.204811 (2.27726,1.25361) (0.130045,-0.0873743) 0.132147 (2.54685,1.48619) (0.289111,-0.054957) 0.133991 (1.53576,1.8) (0,0) 0.001 (1.53576,0.3) (0,0) 0.001
1 (1.57688,1.09649) (0.164492,-0.0955069) 0.140735 (5.98029,1.15206) 1.74605 -0.526046 (2.68793,0.461863) (0.351522,-0.089324) 0.209729 (2.31724,0.837596) (0.134807,-0.081628) 0.204811 (2.30867,1.23021) (0.125636,-0.093604) 0.132147 (2.61912,1.47245) (0.289107,-0.0549797) 0.133991 (1.57688,1.8) (0,0) 0.001 (1.57688,0.3) (0,0) 0.001
1.25 (1.6253,1.07277) (0.19366,-0.0949131) 0.140735 (5.98029,1.15206) 1.74605 -0.455697 (2.77581,0.439532) (0.351523,-0.0893211) 0.209729 (2.35095,0.817194) (0.134821,-0.0816058) 0.204811 (2.34007,1.2068) (0.125619,-0.0936268) 0.132147 (2.6914,1.45871) (0.289117,-0.0549282) 0.133991 (1.6253,1.8) (0,0) 0.001 (1.6253,0.3) (0,0) 0.001
1.5 (1.67712,1.049) (0.207297,-0.0950622) 0.140735 (5.98029,1.15206) 1.74605 -0.429966 (2.86369,0.417205) (0.351525,-0.0893098) 0.209729 (2.38461,0.79672) (0.134643,-0.0818984) 0.204811 (2.37153,1.18347) (0.125842,-0.0933262) 0.132147 (2.76368,1.44497) (0.289112,-0.0549554) 0.133991 (1.67712,1.8) (0,0) 0.001 (1.67712,0.3) (0,0) 0.001
1.75 (1.73027,1.02527) (0.212591,-0.0949321) 0.140735 (5.98029,1.15206) 1.74605 -0.419979 (2.95157,0.394865) (0.351513,-0.0893577) 0.209729 (2.41823,0.776176) (0.134474,-0.0821754) 0.204811 (2.40305,1.16021) (0.126052,-0.0930421) 0.132147 (2.83596,1.43123) (0.289111,-0.0549599) 0.133991 (1.73027,1.8) (0,0) 0.001 (1.73027,0.3) (0,0) 0.001
2 (1.7836,1.00159) (0.213304,-0.0947042) 0.140735 (5.98029,1.15206) 1.74605 -0.417843 (3.03945,0.372536) (0.351524,-0.0893169) 0.209729 (2.45181,0.755566) (0.134313,-0.0824386) 0.204811 (2.43461,1.13702) (0.126251,-0.0927723) 0.132147 (2.90824,1.4175) (0.289114,-0.0549444) 0.133991 (1.7836,1.8) (0,0) 0.001 (1.7836,0.3) (0,0) 0.001
