[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.18653,0.927544) (0,0) 0.18212 (5.98029,1.15206) 1.56838 0 (2.37118,0.476693) (0,0) 0.202019 (2.36385,0.911467) (0,0) 0.123946 (2.22973,1.24086) (0,0) 0.131484 (2.38417,1.61033) (0,0) 0.132781 (1.18653,1.8) (0,0) 0.001 (1.18653,0.3) (0,0) 0.001
0.25 (1.43626,0.939225) (0.998941,0.0467234) 0.18212 (5.98029,1.15206) 1.56838 0.0467389 (2.42267,0.46612) (0.20598,-0.0422932) 0.202019 (2.44724,0.912877) (0.333545,0.00564236) 0.123946 (2.23748,1.24131) (0.0310013,0.0018024) 0.131484 (2.46085,1.59704) (0.306749,-0.053179) 0.132781 (1.43626,1.8) (0,0) 0.001 (1.43626,0.3) (0,0) 0.001
0.5 (1.68588,0.943547) (0.998473,0.01729) 0.18212 (5.98029,1.15206) 1.56838 0.0173147 (2.47417,0.455544) (0.205978,-0.0423018) 0.202019 (2.53062,0.914301) (0.333544,0.00569328) 0.123946 (2.26905,1.24877) (0.12628,0.0298685) 0.131484 (2.53685,1.58025) (0.303996,-0.0671505) 0.132781 (1.68588,1.8) (0,0) 0.001 (1.68588,0.3) (0,0) 0.001
0.75 (1.85967,0.948964) (0.695145,0.0216645) 0.18212 (5.98029,1.15206) 1.56838 0.0311553 (2.52566,0.444972) (0.205981,-0.0422888) 0.202019 (2.61064,0.890783) (0.320054,-0.0940725) 0.123946 (2.30062,1.25624) (0.12628,0.0298684) 0.131484 (2.61285,1.56346) (0.303997,-0.0671445) 0.132781 (1.85967,1.8) (0,0) 0.001 (1.85967,0.3) (0,0) 0.001
1 (2.02756,0.954465) (0.671565,0.0220046) 0.18212 (5.98029,1.15206) 1.56838 0.0327544 (2.57716,0.434399) (0.20598,-0.0422935) 0.202019 (2.68989,0.864817) (0.317012,-0.103864) 0.123946 (2.33219,1.26371) (0.12628,0.0298684) 0.131484 (2.68885,1.54668) (0.303998,-0.0671421) 0.132781 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.25 (2.19545,0.959966) (0.671565,0.0220046) 0.18212 (5.98029,1.15206) 1.56838 0.0327545 (2.62865,0.423826) (0.205981,-0.0422904) 0.202019 (2.76914,0.838851) (0.317012,-0.103864) 0.123946 (2.36376,1.27118) (0.12628,0.0298684) 0.131484 (2.76485,1.52989) (0.303998,-0.0671422) 0.132781 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.36334,0.965467) (0.671565,0.0220046) 0.18212 (5.98029,1.15206) 1.56838 0.0327544 (2.68015,0.413253) (0.20598,-0.0422914) 0.202019 (2.8484,0.812885) (0.317012,-0.103864) 0.123946 (2.39533,1.27864) (0.12628,0.0298684) 0.131484 (2.84085,1.51311) (0.303999,-0.0671363) 0.132781 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.53123,0.970968) (0.671565,0.0220048) 0.18212 (5.98029,1.15206) 1.56838 0.0327548 (2.73164,0.402681) (0.205981,-0.0422905) 0.202019 (2.92765,0.786919) (0.317012,-0.103864) 0.123946 (2.4269,1.28611) (0.12628,0.0298681) 0.131484 (2.91685,1.49633) (0.304002,-0.0671244) 0.132781 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.77413,1.0031) (0.97161,0.128523) 0.18212 (5.98029,1.15206) 1.56838 0.131514 (2.78314,0.392108) (0.205981,-0.0422886) 0.202019 (3.0069,0.760953) (0.317012,-0.103864) 0.123946 (2.44743,1.26099) (0.0821069,-0.100485) 0.131484 (2.99285,1.47955) (0.304004,-0.0671143) 0.132781 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (3.01661,1.03508) (0.969922,0.127923) 0.18212 (5.98029,1.15206) 1.56838 0.131133 (2.83463,0.381532) (0.205978,-0.0423037) 0.202019 (3.08615,0.734987) (0.317012,-0.103864) 0.123946 (2.46796,1.23587) (0.0821115,-0.100482) 0.131484 (3.06885,1.46276) (0.303997,-0.0671438) 0.132781 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
