[[(7.0, 6.0), (0, 6.0), (0, 5.0), (7.0, 5.0)], [(7.0, 1.0), (0, 1.0), (0, 0), (7.0, 0)]]
timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.0 (6.0,2.534137725830078) (0.0,0.0) 0.5 -0.1637384670078897 (10.0,3.3685789963843025) 3.0 0.0 (7.345632076263428,1.5) (0.0,0.0) 0.5 -0.13397437574510285 (8.409905433654785,2.5) (0.0,0.0) 0.5 -0.17547027826022948 (7.218270301818848,3.5) (0.0,0.0) 0.5 -0.18159674407437773 (8.371400833129883,4.5) (0.0,0.0) 0.5 0.273727318913528 (6.0,5.0) (0,0) 1e-07 -0.1637384670078897 (6.0,1.0) (0,0) 1e-07 -0.1637384670078897 
1.0 (6.198715686798096,2.506706714630127) (0.1987154632806778,-0.0274309441447258) 0.5 -0.1637384670078897 (10.0,3.3685789963843025) 3.0 -0.13717439569446047 (7.866517543792725,1.1137125492095947) (0.5208855867385864,-0.38628748059272766) 0.5 -0.13397437574510285 (9.034966468811035,2.184882640838623) (0.6250608563423157,-0.3151172995567322) 0.5 -0.17547027826022948 (7.396084785461426,3.4957995414733887) (0.17781440913677216,-0.00420040637254715) 0.5 -0.18159674407437773 (9.033624649047852,4.7268476486206055) (0.6622236967086792,0.22684749960899353) 0.5 0.273727318913528 (6.198715686798096,5.0) (0,0) 1e-07 -0.1637384670078897 (6.198715686798096,1.0) (0,0) 1e-07 -0.1637384670078897 
2.0 (6.623805046081543,2.433326482772827) (0.4250892400741577,-0.07338028401136398) 0.5 -0.1637384670078897 (10.0,3.3685789963843025) 3.0 -0.17093860964636473 (8.527750968933105,0.8839953541755676) (0.6612336039543152,-0.2297172099351883) 0.5 -0.13397437574510285 (9.660027503967285,1.869765281677246) (0.6250608563423157,-0.31511735916137695) 0.5 -0.17547027826022948 (8.083928108215332,3.6256914138793945) (0.6878430843353271,0.1298917979001999) 0.5 -0.18159674407437773 (9.69584846496582,4.953695297241211) (0.6622236967086792,0.22684745490550995) 0.5 0.273727318913528 (6.623805046081543,5.0) (0,0) 1e-07 -0.1637384670078897 (6.623805046081543,1.0) (0,0) 1e-07 -0.1637384670078897 
3.0 (7.2409515380859375,2.467332124710083) (0.6171467304229736,0.03400557488203049) 0.5 -0.1637384670078897 (10.0,3.3685789963843025) 3.0 0.055045616239443464 (9.21168327331543,0.7348745465278625) (0.6839320063591003,-0.14912082254886627) 0.5 -0.13397437574510285 (10.285088539123535,1.5546479225158691) (0.6250607967376709,-0.31511735916137695) 0.5 -0.17547027826022948 (8.771771430969238,3.7555832862854004) (0.6878430247306824,0.1298917829990387) 0.5 -0.18159674407437773 (10.358072280883789,5.180542945861816) (0.6622236967086792,0.22684741020202637) 0.5 0.273727318913528 (7.0,5.0) (0,0) 1e-07 -0.1637384670078897 (7.0,1.0) (0,0) 1e-07 -0.1637384670078897 
4.0 (7.7577972412109375,2.4991297721862793) (0.5168458223342896,0.031797751784324646) 0.5 -0.1637384670078897 (10.0,3.3685789963843025) 3.0 0.06144525631881416 (9.895615577697754,0.5857536792755127) (0.6839320063591003,-0.14912085235118866) 0.5 -0.13397437574510285 (10.910149574279785,1.2395305633544922) (0.6250607967376709,-0.31511741876602173) 0.5 -0.17547027826022948 (9.459614753723145,3.8854751586914062) (0.6878431439399719,0.1298917680978775) 0.5 -0.18159674407437773 (11.020296096801758,5.407390117645264) (0.662223756313324,0.226847305893898) 0.5 0.273727318913528 (7.0,5.0) (0,0) 1e-07 -0.1637384670078897 (7.0,1.0) (0,0) 1e-07 -0.1637384670078897 
5.0 (8.229936599731445,2.5194005966186523) (0.47213971614837646,0.02027086168527603) 0.5 -0.1637384670078897 (10.0,3.3685789963843025) 3.0 0.042907680600757496 (10.288918495178223,0.5) (0.3933027982711792,-0.0857536792755127) 0.5 -0.13397437574510285 (11.505192756652832,1.043027639389038) (0.5950432419776917,-0.1965029239654541) 0.5 -0.17547027826022948 (10.066082954406738,4.0) (0.6064677834510803,0.11452484130859375) 0.5 -0.18159674407437773 (11.315947532653809,5.528759956359863) (0.29565155506134033,0.12136991322040558) 0.5 0.273727318913528 (7.0,5.0) (0,0) 1e-07 -0.1637384670078897 (7.0,1.0) (0,0) 1e-07 -0.1637384670078897 
6.0 (8.755400657653809,2.542414665222168) (0.5254641771316528,0.0230141282081604) 0.5 -0.1637384670078897 (10.0,3.3685789963843025) 3.0 0.04376973842580829 (10.288918495178223,0.5) (-1.293998792561979e-07,0.0) 0.5 -0.13397437574510285 (11.884098052978516,1.0990182161331177) (0.37890496850013733,0.05599060654640198) 0.5 -0.17547027826022948 (10.163851737976074,4.077530860900879) (0.09776881337165833,0.07753095030784607) 0.5 -0.18159674407437773 (11.326004028320312,5.58681058883667) (0.01005689799785614,0.05805055797100067) 0.5 0.273727318913528 (7.0,5.0) (0,0) 1e-07 -0.1637384670078897 (7.0,1.0) (0,0) 1e-07 -0.1637384670078897 
7.0 (9.285857200622559,2.565159320831299) (0.53045654296875,0.02274462953209877) 0.5 -0.1637384670078897 (10.0,3.3685789963843025) 3.0 0.04285121316466298 (10.288918495178223,0.5) (-1.293998792561979e-07,0.0) 0.5 -0.13397437574510285 (11.883552551269531,1.1505630016326904) (-0.0005455538630485535,0.051544830203056335) 0.5 -0.17547027826022948 (10.074257850646973,4.0243048667907715) (-0.08959358930587769,-0.053226057440042496) 0.5 -0.18159674407437773 (11.29064655303955,5.5) (-0.035357095301151276,-0.08681058883666992) 0.5 0.273727318913528 (7.0,5.0) (0,0) 1e-07 -0.1637384670078897 (7.0,1.0) (0,0) 1e-07 -0.1637384670078897 
8.0 (9.98071002960205,2.6195080280303955) (0.6948530077934265,0.054348818957805634) 0.5 -0.1637384670078897 (10.0,3.3685789963843025) 3.0 0.07805736164395327 (10.288918495178223,0.5) (-1.293998792561979e-07,0.0) 0.5 -0.13397437574510285 (11.697754859924316,1.1477833986282349) (-0.18579798936843872,-0.002779614180326462) 0.5 -0.17547027826022948 (10.066082954406738,4.0) (-0.008175338618457317,-0.024304866790771484) 0.5 -0.18159674407437773 (11.29064655303955,5.5) (3.7929768836875155e-07,0.0) 0.5 0.273727318913528 (7.0,5.0) (0,0) 1e-07 -0.1637384670078897 (7.0,1.0) (0,0) 1e-07 -0.1637384670078897 
9.0 (10.783443450927734,2.7141454219818115) (0.8027338981628418,0.09463749080896378) 0.5 -0.1637384670078897 (10.0,3.3685789963843025) 3.0 0.11735228373572504 (10.288918495178223,0.5) (-1.293998792561979e-07,0.0) 0.5 -0.13397437574510285 (11.494996070861816,1.0679341554641724) (-0.20275859534740448,-0.0798492282629013) 0.5 -0.17547027826022948 (10.066082954406738,4.0) (-4.421060282311373e-07,0.0) 0.5 -0.18159674407437773 (11.29064655303955,5.5) (3.7929768836875155e-07,0.0) 0.5 0.273727318913528 (7.0,5.0) (0,0) 1e-07 -0.1637384670078897 (7.0,1.0) (0,0) 1e-07 -0.1637384670078897 
