[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.30319,0.932383) (0,0) 0.203162 (5.99563,1.71825) 1.95124 0 (2.37707,0.492054) (0,0) 0.183199 (2.31358,0.944488) (0,0) 0.212282 (2.30159,1.18018) (0,0) 0.120832 (2.35694,1.55982) (0,0) 0.203324 (1.30319,1.8) (0,0) 0.001 (1.30319,0.3) (0,0) 0.001
0.25 (1.54976,0.965606) (0.986269,0.132891) 0.203162 (5.99563,1.71825) 1.95124 0.133934 (2.47316,0.474403) (0.384353,-0.0706035) 0.183199 (2.30866,0.918833) (-0.0196834,-0.10262) 0.212282 (2.28952,1.20592) (-0.0482644,0.102954) 0.120832 (2.45398,1.56114) (0.388177,0.00528135) 0.203324 (1.54976,1.8) (0,0) 0.001 (1.54976,0.3) (0,0) 0.001
0.5 (1.70755,0.990382) (0.631144,0.0991041) 0.203162 (5.99563,1.71825) 1.95124 0.155751 (2.56925,0.456748) (0.38435,-0.0706221) 0.183199 (2.3325,0.867543) (0.0953936,-0.205162) 0.212282 (2.31317,1.24626) (0.0945916,0.161377) 0.120832 (2.55103,1.56246) (0.388177,0.00527857) 0.203324 (1.70755,1.8) (0,0) 0.001 (1.70755,0.3) (0,0) 0.001
0.75 (1.86533,1.01516) (0.631144,0.0991041) 0.203162 (5.99563,1.71825) 1.95124 0.155751 (2.66533,0.439092) (0.38435,-0.0706221) 0.183199 (2.39505,0.838231) (0.250197,-0.117245) 0.212282 (2.33682,1.28661) (0.0945916,0.161377) 0.120832 (2.64807,1.56377) (0.388177,0.00526816) 0.203324 (1.86533,1.8) (0,0) 0.001 (1.86533,0.3) (0,0) 0.001
1 (2.00675,1.03064) (0.565672,0.0619205) 0.203162 (5.99563,1.71825) 1.95124 0.10903 (2.76142,0.421439) (0.384352,-0.0706116) 0.183199 (2.47489,0.818739) (0.319356,-0.0779684) 0.212282 (2.36047,1.32695) (0.0945917,0.161377) 0.120832 (2.74482,1.57149) (0.386984,0.0308656) 0.203324 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.25 (2.14817,1.04612) (0.565672,0.0619205) 0.203162 (5.99563,1.71825) 1.95124 0.10903 (2.85751,0.403785) (0.384351,-0.0706162) 0.183199 (2.55473,0.799247) (0.319356,-0.0779684) 0.212282 (2.39472,1.35879) (0.137015,0.127346) 0.120832 (2.84156,1.57921) (0.386984,0.0308655) 0.203324 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.28959,1.0616) (0.565672,0.0619205) 0.203162 (5.99563,1.71825) 1.95124 0.10903 (2.9536,0.386134) (0.384353,-0.0706056) 0.183199 (2.63457,0.779755) (0.319356,-0.0779684) 0.212282 (2.43361,1.38477) (0.155536,0.103917) 0.120832 (2.93831,1.58692) (0.386984,0.0308655) 0.203324 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.431,1.07708) (0.565672,0.0619205) 0.203162 (5.99563,1.71825) 1.95124 0.10903 (3.04968,0.368476) (0.384348,-0.0706326) 0.183199 (2.71441,0.760263) (0.319356,-0.0779684) 0.212282 (2.47538,1.40577) (0.167116,0.0840371) 0.120832 (3.03505,1.59464) (0.386984,0.0308655) 0.203324 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.57242,1.09256) (0.565672,0.0619206) 0.203162 (5.99563,1.71825) 1.95124 0.10903 (3.14577,0.350825) (0.384353,-0.0706015) 0.183199 (2.79425,0.740771) (0.319356,-0.0779682) 0.212282 (2.51988,1.42017) (0.17797,0.0575929) 0.120832 (3.1318,1.60236) (0.386984,0.0308655) 0.203324 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.71384,1.10804) (0.565673,0.0619208) 0.203162 (5.99563,1.71825) 1.95124 0.10903 (3.24186,0.333176) (0.384354,-0.070598) 0.183199 (2.87409,0.721279) (0.319356,-0.0779678) 0.212282 (2.56652,1.41681) (0.186571,-0.0134612) 0.120832 (3.22855,1.61007) (0.386984,0.0308655) 0.203324 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
