[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.27618,1.0745) (0,0) 0.210114 (5.99563,1.71825) 1.67714 0 (2.34533,0.451422) (0,0) 0.121737 (2.39428,0.812084) (0,0) 0.157749 (2.27621,1.19757) (0,0) 0.162853 (2.26215,1.58474) (0,0) 0.138836 (1.27618,1.8) (0,0) 0.001 (1.27618,0.3) (0,0) 0.001
0.25 (1.5239,1.10027) (0.990888,0.103078) 0.210114 (5.99563,1.71825) 1.67714 0.103653 (2.41186,0.441057) (0.26615,-0.0414589) 0.121737 (2.4566,0.829833) (0.249308,0.0709974) 0.157749 (2.29215,1.20029) (0.0637659,0.0108963) 0.162853 (2.29189,1.58494) (0.118968,0.000787349) 0.138836 (1.5239,1.8) (0,0) 0.001 (1.5239,0.3) (0,0) 0.001
0.5 (1.66045,1.11648) (0.546205,0.0648625) 0.210114 (5.99563,1.71825) 1.67714 0.118198 (2.4784,0.430693) (0.266151,-0.0414564) 0.121737 (2.52029,0.841847) (0.254727,0.0480537) 0.157749 (2.30453,1.23194) (0.0495172,0.126615) 0.162853 (2.32163,1.58514) (0.118968,0.00078932) 0.138836 (1.66045,1.8) (0,0) 0.001 (1.66045,0.3) (0,0) 0.001
0.75 (1.76243,1.12938) (0.407902,0.0516014) 0.210114 (5.99563,1.71825) 1.67714 0.125836 (2.54494,0.420329) (0.266151,-0.0414551) 0.121737 (2.5843,0.851952) (0.25605,0.0404201) 0.157749 (2.31867,1.26285) (0.0565643,0.123627) 0.162853 (2.349,1.59677) (0.109492,0.0465349) 0.138836 (1.76243,1.8) (0,0) 0.001 (1.76243,0.3) (0,0) 0.001
1 (1.84403,1.13919) (0.326409,0.0392143) 0.210114 (5.99563,1.71825) 1.67714 0.119566 (2.61148,0.409968) (0.266153,-0.0414449) 0.121737 (2.64842,0.861347) (0.256481,0.0375815) 0.157749 (2.33421,1.29308) (0.062144,0.120919) 0.162853 (2.36984,1.61799) (0.0833633,0.084879) 0.138836 (1.84403,1.8) (0,0) 0.001 (1.84403,0.3) (0,0) 0.001
1.25 (1.92552,1.14086) (0.325973,0.00671216) 0.210114 (5.99563,1.71825) 1.67714 0.0205882 (2.67801,0.3996) (0.266149,-0.0414705) 0.121737 (2.71135,0.876808) (0.251735,0.0618443) 0.157749 (2.35075,1.32277) (0.066155,0.118772) 0.162853 (2.38421,1.64403) (0.0574777,0.104164) 0.138836 (1.92552,1.8) (0,0) 0.001 (1.92552,0.3) (0,0) 0.001
1.5 (2.00836,1.13656) (0.331339,-0.0172151) 0.210114 (5.99563,1.71825) 1.67714 -0.0519095 (2.74455,0.389231) (0.266148,-0.041475) 0.121737 (2.77353,0.895065) (0.248721,0.0730263) 0.157749 (2.36804,1.35203) (0.0691774,0.117037) 0.162853 (2.39608,1.6713) (0.0474567,0.109095) 0.138836 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.11742,1.09027) (0.436246,-0.18515) 0.210114 (5.99563,1.71825) 1.67714 -0.401376 (2.81109,0.378865) (0.266149,-0.0414669) 0.121737 (2.83571,0.913319) (0.248724,0.0730164) 0.157749 (2.386,1.38089) (0.0718228,0.115433) 0.162853 (2.40754,1.69875) (0.0458306,0.109788) 0.138836 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.2317,1.04891) (0.457123,-0.165459) 0.210114 (5.99563,1.71825) 1.67714 -0.347288 (2.87621,0.361705) (0.260468,-0.0686388) 0.121737 (2.89789,0.931579) (0.248717,0.0730416) 0.157749 (2.41974,1.38494) (0.134982,0.0162167) 0.162853 (2.41922,1.7261) (0.0467441,0.109402) 0.138836 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
