[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.47,0.93118) (0,0) 0.151531 -0.284918 (5.99563,1.71825) 1.9798 0 (2.30734,0.506279) (0,0) 0.18119 -0.0777981 (2.20894,0.77555) (0,0) 0.167851 0.391854 (2.3354,1.29096) (0,0) 0.149589 0.266338 (2.31607,1.69049) (0,0) 0.205059 0.108033 (1.47,1.8) (0,0) 0.001 -0.284918 (1.47,0.3) (0,0) 0.001 -0.284918
0.25 (1.48318,0.9409) (0.0527219,0.038883) 0.151531 -0.284918 (5.99563,1.71825) 1.9798 0.635461 (2.37679,0.493456) (0.277822,-0.0512893) 0.18119 -0.0777981 (2.19291,0.793779) (-0.0641335,0.0729174) 0.167851 0.391854 (2.43469,1.2969) (0.397156,0.0237635) 0.149589 0.266338 (2.40972,1.70619) (0.374635,0.0628367) 0.205059 0.108033 (1.48318,1.8) (0,0) 0.001 -0.284918 (1.48318,0.3) (0,0) 0.001 -0.284918
0.5 (1.49345,0.939959) (0.0410539,-0.0037661) 0.151531 -0.284918 (5.99563,1.71825) 1.9798 -0.0914795 (2.44625,0.480639) (0.277826,-0.051269) 0.18119 -0.0777981 (2.22603,0.801695) (0.132505,0.0316651) 0.167851 0.391854 (2.53336,1.30951) (0.394659,0.0504198) 0.149589 0.266338 (2.50338,1.7219) (0.374638,0.0628202) 0.205059 0.108033 (1.49345,1.8) (0,0) 0.001 -0.284918 (1.49345,0.3) (0,0) 0.001 -0.284918
0.75 (1.52431,0.975384) (0.123455,0.141702) 0.151531 -0.284918 (5.99563,1.71825) 1.9798 0.854106 (2.51571,0.467819) (0.277824,-0.051279) 0.18119 -0.0777981 (2.25868,0.791988) (0.130585,-0.0388283) 0.167851 0.391854 (2.63153,1.32554) (0.392668,0.0641059) 0.149589 0.266338 (2.59704,1.7376) (0.37464,0.0628067) 0.205059 0.108033 (1.52431,1.8) (0,0) 0.001 -0.284918 (1.52431,0.3) (0,0) 0.001 -0.284918
1 (1.71601,1.09383) (0.766791,0.473787) 0.151531 -0.284918 (5.99563,1.71825) 1.9798 0.553465 (2.58516,0.455002) (0.277826,-0.0512671) 0.18119 -0.0777981 (2.29133,0.782282) (0.130586,-0.038827) 0.167851 0.391854 (2.72939,1.34329) (0.391476,0.0710243) 0.149589 0.266338 (2.6907,1.75331) (0.374634,0.062842) 0.205059 0.108033 (1.71601,1.8) (0,0) 0.001 -0.284918 (1.71601,0.3) (0,0) 0.001 -0.284918
1.25 (1.9631,1.15004) (0.988383,0.224855) 0.151531 -0.284918 (5.99563,1.71825) 1.9798 0.223691 (2.65462,0.442184) (0.277825,-0.0512745) 0.18119 -0.0777981 (2.32397,0.772572) (0.130582,-0.0388404) 0.167851 0.391854 (2.8271,1.3619) (0.390841,0.0744368) 0.149589 0.266338 (2.78436,1.76902) (0.374636,0.0628294) 0.205059 0.108033 (1.9631,1.8) (0,0) 0.001 -0.284918 (1.9631,0.3) (0,0) 0.001 -0.284918
1.5 (2.18652,1.2213) (0.89368,0.285035) 0.151531 -0.284918 (5.99563,1.71825) 1.9798 0.308746 (2.72408,0.429367) (0.277826,-0.0512655) 0.18119 -0.0777981 (2.35662,0.762864) (0.130585,-0.038831) 0.167851 0.391854 (2.92591,1.35049) (0.395238,-0.0456569) 0.149589 0.266338 (2.87802,1.78473) (0.374634,0.0628468) 0.205059 0.108033 (2,1.8) (0,0) 0.001 -0.284918 (2,0.3) (0,0) 0.001 -0.284918
1.75 (2.38483,1.2759) (0.793203,0.218374) 0.151531 -0.284918 (5.99563,1.71825) 1.9798 0.268651 (2.79353,0.416551) (0.277826,-0.0512658) 0.18119 -0.0777981 (2.38926,0.753156) (0.130585,-0.0388298) 0.167851 0.391854 (3.02472,1.33907) (0.395238,-0.045657) 0.149589 0.266338 (2.96969,1.80953) (0.366682,0.099217) 0.205059 0.108033 (2,1.8) (0,0) 0.001 -0.284918 (2,0.3) (0,0) 0.001 -0.284918
2 (2.58313,1.33049) (0.793203,0.218374) 0.151531 -0.284918 (5.99563,1.71825) 1.9798 0.268651 (2.86299,0.403733) (0.277825,-0.0512735) 0.18119 -0.0777981 (2.42191,0.74345) (0.130587,-0.0388247) 0.167851 0.391854 (3.12353,1.32766) (0.395238,-0.045657) 0.149589 0.266338 (3.06136,1.83434) (0.366682,0.099217) 0.205059 0.108033 (2,1.8) (0,0) 0.001 -0.284918 (2,0.3) (0,0) 0.001 -0.284918
