[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.10273,0.958853) (0,0) 0.169757 (5.98029,1.15206) 1.99265 0 (2.33228,0.508346) (0,0) 0.19605 (2.24955,0.895406) (0,0) 0.215758 (2.26945,1.25775) (0,0) 0.189084 (2.21656,1.66451) (0,0) 0.120594 (1.10273,1.8) (0,0) 0.001 (1.10273,0.3) (0,0) 0.001
0.1 (1.20265,0.962811) (0.999216,0.0395794) 0.169757 (5.98029,1.15206) 1.99265 0.0395897 (2.36177,0.501789) (0.294909,-0.0655676) 0.19605 (2.244,0.88841) (-0.0554763,-0.0699595) 0.215758 (2.28204,1.26927) (0.125937,0.115131) 0.189084 (2.23504,1.6659) (0.184868,0.0139042) 0.120594 (1.20265,1.8) (0,0) 0.001 (1.20265,0.3) (0,0) 0.001
0.2 (1.30257,0.966769) (0.999214,0.0395795) 0.169757 (5.98029,1.15206) 1.99265 0.03959 (2.39126,0.495229) (0.294902,-0.0655998) 0.19605 (2.23616,0.880957) (-0.0783955,-0.0745304) 0.215758 (2.2866,1.28269) (0.0455802,0.134231) 0.189084 (2.2529,1.67089) (0.178574,0.0498085) 0.120594 (1.30257,1.8) (0,0) 0.001 (1.30257,0.3) (0,0) 0.001
0.3 (1.39852,0.982234) (0.95947,0.154647) 0.169757 (5.98029,1.15206) 1.99265 0.159806 (2.42075,0.488669) (0.294902,-0.0656009) 0.19605 (2.25424,0.873653) (0.180813,-0.0730398) 0.215758 (2.30366,1.28304) (0.170595,0.00354326) 0.189084 (2.27076,1.67587) (0.178574,0.0498086) 0.120594 (1.39852,1.8) (0,0) 0.001 (1.39852,0.3) (0,0) 0.001
0.4 (1.46467,0.989517) (0.661512,0.0728293) 0.169757 (5.98029,1.15206) 1.99265 0.109653 (2.45024,0.48211) (0.294904,-0.0655903) 0.19605 (2.2726,0.864184) (0.183553,-0.0946951) 0.215758 (2.3192,1.29008) (0.155431,0.0703959) 0.189084 (2.28921,1.67769) (0.184486,0.0182894) 0.120594 (1.46467,1.8) (0,0) 0.001 (1.46467,0.3) (0,0) 0.001
0.5 (1.52636,0.995236) (0.616893,0.0571903) 0.169757 (5.98029,1.15206) 1.99265 0.0924427 (2.47973,0.47555) (0.294903,-0.0655966) 0.19605 (2.29095,0.854714) (0.183553,-0.094695) 0.215758 (2.32858,1.29942) (0.0937713,0.0933892) 0.189084 (2.30738,1.68137) (0.181705,0.0367808) 0.120594 (1.52636,1.8) (0,0) 0.001 (1.52636,0.3) (0,0) 0.001
0.6 (1.58805,1.00095) (0.616893,0.0571903) 0.169757 (5.98029,1.15206) 1.99265 0.0924428 (2.50922,0.468988) (0.294898,-0.065618) 0.19605 (2.30931,0.845245) (0.183553,-0.0946951) 0.215758 (2.33796,1.30876) (0.0937713,0.0933892) 0.189084 (2.32555,1.68505) (0.181705,0.0367809) 0.120594 (1.58805,1.8) (0,0) 0.001 (1.58805,0.3) (0,0) 0.001
0.7 (1.64974,1.00667) (0.616893,0.0571904) 0.169757 (5.98029,1.15206) 1.99265 0.0924428 (2.53871,0.462429) (0.294903,-0.0655966) 0.19605 (2.32766,0.835775) (0.183553,-0.094695) 0.215758 (2.34734,1.3181) (0.0937714,0.0933891) 0.189084 (2.34372,1.68873) (0.181705,0.0367809) 0.120594 (1.64974,1.8) (0,0) 0.001 (1.64974,0.3) (0,0) 0.001
0.8 (1.71143,1.01239) (0.616893,0.0571903) 0.169757 (5.98029,1.15206) 1.99265 0.0924428 (2.5682,0.45587) (0.294905,-0.0655887) 0.19605 (2.34602,0.826306) (0.183553,-0.094695) 0.215758 (2.35671,1.32744) (0.0937713,0.0933892) 0.189084 (2.36189,1.69241) (0.181705,0.0367808) 0.120594 (1.71143,1.8) (0,0) 0.001 (1.71143,0.3) (0,0) 0.001
0.9 (1.77312,1.01811) (0.616893,0.0571903) 0.169757 (5.98029,1.15206) 1.99265 0.0924428 (2.59769,0.449308) (0.294897,-0.0656217) 0.19605 (2.36437,0.816836) (0.183553,-0.094695) 0.215758 (2.36609,1.33678) (0.0937713,0.0933891) 0.189084 (2.38006,1.69609) (0.181705,0.0367809) 0.120594 (1.77312,1.8) (0,0) 0.001 (1.77312,0.3) (0,0) 0.001
1 (1.83481,1.02383) (0.616893,0.0571903) 0.169757 (5.98029,1.15206) 1.99265 0.0924427 (2.62718,0.442748) (0.294903,-0.065594) 0.19605 (2.38273,0.807367) (0.183553,-0.094695) 0.215758 (2.37547,1.34612) (0.0937713,0.0933892) 0.189084 (2.39823,1.69976) (0.181705,0.0367808) 0.120594 (1.83481,1.8) (0,0) 0.001 (1.83481,0.3) (0,0) 0.001
1.1 (1.8965,1.02955) (0.616894,0.0571903) 0.169757 (5.98029,1.15206) 1.99265 0.0924427 (2.65667,0.436189) (0.294904,-0.0655913) 0.19605 (2.40108,0.797897) (0.183553,-0.0946949) 0.215758 (2.38485,1.35546) (0.0937713,0.0933892) 0.189084 (2.4164,1.70344) (0.181705,0.0367809) 0.120594 (1.8965,1.8) (0,0) 0.001 (1.8965,0.3) (0,0) 0.001
1.2 (1.95819,1.03527) (0.616894,0.0571903) 0.169757 (5.98029,1.15206) 1.99265 0.0924427 (2.68616,0.429632) (0.294908,-0.0655724) 0.19605 (2.41944,0.788428) (0.183553,-0.0946949) 0.215758 (2.39422,1.3648) (0.0937713,0.0933892) 0.189084 (2.43457,1.70712) (0.181705,0.0367809) 0.120594 (1.95819,1.8) (0,0) 0.001 (1.95819,0.3) (0,0) 0.001
