[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.24532,1.10007) (0,0) 0.216324 (5.99563,1.71825) 1.97211 0 (2.39067,0.45191) (0,0) 0.155794 (2.22678,0.92031) (0,0) 0.164182 (2.33621,1.32305) (0,0) 0.182393 (2.25248,1.59158) (0,0) 0.182039 (1.24532,1.8) (0,0) 0.001 (1.24532,0.3) (0,0) 0.001
0.25 (1.26544,1.12425) (0.0804697,0.0967207) 0.216324 (5.99563,1.71825) 1.97211 0.876857 (2.47346,0.438632) (0.331172,-0.0531115) 0.155794 (2.23723,0.919301) (0.0418384,-0.0040357) 0.164182 (2.36006,1.30091) (0.095392,-0.0885543) 0.182393 (2.27945,1.63567) (0.107902,0.176374) 0.182039 (1.26544,1.8) (0,0) 0.001 (1.26544,0.3) (0,0) 0.001
0.5 (1.30718,1.14722) (0.166989,0.0918846) 0.216324 (5.99563,1.71825) 1.97211 0.503029 (2.55625,0.425348) (0.331169,-0.053134) 0.155794 (2.27463,0.885241) (0.149566,-0.136242) 0.164182 (2.38711,1.28282) (0.108206,-0.0723389) 0.182393 (2.32458,1.66087) (0.180514,0.100821) 0.182039 (1.30718,1.8) (0,0) 0.001 (1.30718,0.3) (0,0) 0.001
0.75 (1.55534,1.17743) (0.992626,0.120837) 0.216324 (5.99563,1.71825) 1.97211 0.121139 (2.63904,0.412064) (0.331168,-0.0531358) 0.155794 (2.3349,0.863689) (0.241096,-0.0862095) 0.164182 (2.41416,1.26474) (0.108205,-0.0723405) 0.182393 (2.37626,1.66208) (0.206706,0.00480239) 0.182039 (1.55534,1.8) (0,0) 0.001 (1.55534,0.3) (0,0) 0.001
1 (1.70805,1.19342) (0.610852,0.0639669) 0.216324 (5.99563,1.71825) 1.97211 0.104337 (2.72184,0.39879) (0.331175,-0.0530975) 0.155794 (2.41397,0.857355) (0.31628,-0.0253327) 0.164182 (2.43203,1.23755) (0.0714853,-0.108772) 0.182393 (2.42765,1.66768) (0.205545,0.0224005) 0.182039 (1.70805,1.8) (0,0) 0.001 (1.70805,0.3) (0,0) 0.001
1.25 (1.81605,1.20483) (0.431987,0.0456234) 0.216324 (5.99563,1.71825) 1.97211 0.105223 (2.80463,0.385505) (0.331168,-0.0531409) 0.155794 (2.49822,0.85483) (0.337007,-0.0101036) 0.164182 (2.45154,1.2115) (0.0780312,-0.104176) 0.182393 (2.47903,1.67328) (0.205545,0.0224005) 0.182039 (1.81605,1.8) (0,0) 0.001 (1.81605,0.3) (0,0) 0.001
1.5 (1.89949,1.21372) (0.333766,0.0355503) 0.216324 (5.99563,1.71825) 1.97211 0.106113 (2.88742,0.372216) (0.331166,-0.0531529) 0.155794 (2.58251,0.854294) (0.337152,-0.00214151) 0.164182 (2.47222,1.18638) (0.0827188,-0.100494) 0.182393 (2.53042,1.67888) (0.205545,0.0224005) 0.182039 (1.89949,1.8) (0,0) 0.001 (1.89949,0.3) (0,0) 0.001
1.75 (1.97057,1.22232) (0.284304,0.0344072) 0.216324 (5.99563,1.71825) 1.97211 0.120437 (2.97021,0.358937) (0.331171,-0.0531188) 0.155794 (2.66675,0.857159) (0.336964,0.011461) 0.164182 (2.49371,1.16194) (0.0859468,-0.0977477) 0.182393 (2.58181,1.68445) (0.205557,0.0222833) 0.182039 (1.97057,1.8) (0,0) 0.001 (1.97057,0.3) (0,0) 0.001
2 (2.03847,1.2343) (0.271593,0.0479203) 0.216324 (5.99563,1.71825) 1.97211 0.174644 (3.05301,0.345658) (0.331172,-0.0531149) 0.155794 (2.75002,0.870252) (0.333066,0.0523696) 0.164182 (2.51575,1.138) (0.0881493,-0.0957662) 0.182393 (2.63336,1.68827) (0.206194,0.015311) 0.182039 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.10426,1.24812) (0.263157,0.0552967) 0.216324 (5.99563,1.71825) 1.97211 0.207115 (3.1358,0.332384) (0.331174,-0.0530977) 0.155794 (2.83243,0.887962) (0.329633,0.0708386) 0.164182 (2.53817,1.11442) (0.0897056,-0.09431) 0.182393 (2.6849,1.69221) (0.206162,0.0157319) 0.182039 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
