[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.35861,1.03496) (0,0) 0.164228 (5.99563,1.71825) 1.66946 0 (2.31314,0.488367) (0,0) 0.131459 (2.2038,0.797779) (0,0) 0.21835 (2.35007,1.17427) (0,0) 0.17752 (2.34883,1.54412) (0,0) 0.153271 (1.35861,1.8) (0,0) 0.001 (1.35861,0.3) (0,0) 0.001
0.25 (1.3799,1.065) (0.0851593,0.120163) 0.164228 (5.99563,1.71825) 1.66946 0.954255 (2.35983,0.480215) (0.186785,-0.0326083) 0.131459 (2.19157,0.803847) (-0.0488999,0.0242737) 0.21835 (2.38815,1.16275) (0.152341,-0.0460487) 0.17752 (2.41555,1.54337) (0.266861,-0.00301397) 0.153271 (1.3799,1.8) (0,0) 0.001 (1.3799,0.3) (0,0) 0.001
0.5 (1.44284,1.09354) (0.251755,0.114155) 0.164228 (5.99563,1.71825) 1.66946 0.425706 (2.40653,0.472061) (0.186783,-0.032615) 0.131459 (2.2058,0.799903) (0.0568926,-0.0157757) 0.21835 (2.42229,1.14232) (0.136559,-0.0817305) 0.17752 (2.4818,1.53554) (0.265036,-0.0313053) 0.153271 (1.44284,1.8) (0,0) 0.001 (1.44284,0.3) (0,0) 0.001
0.75 (1.66996,1.17493) (0.908461,0.325554) 0.164228 (5.99563,1.71825) 1.66946 0.344101 (2.45322,0.463911) (0.186786,-0.032601) 0.131459 (2.23126,0.786453) (0.10185,-0.0538013) 0.21835 (2.45643,1.12188) (0.136545,-0.0817537) 0.17752 (2.54806,1.52771) (0.265033,-0.0313263) 0.153271 (1.66996,1.8) (0,0) 0.001 (1.66996,0.3) (0,0) 0.001
1 (1.87073,1.25954) (0.803084,0.338456) 0.164228 (5.99563,1.71825) 1.66946 0.398856 (2.49992,0.45576) (0.186785,-0.0326064) 0.131459 (2.26292,0.767616) (0.126666,-0.0753475) 0.21835 (2.49057,1.10145) (0.136552,-0.0817416) 0.17752 (2.60608,1.49477) (0.232082,-0.131765) 0.153271 (1.87073,1.8) (0,0) 0.001 (1.87073,0.3) (0,0) 0.001
1.25 (2.06672,1.34539) (0.783977,0.343388) 0.164228 (5.99563,1.71825) 1.66946 0.412836 (2.54662,0.447609) (0.186785,-0.032604) 0.131459 (2.29814,0.745995) (0.140851,-0.0864838) 0.21835 (2.52471,1.08101) (0.136554,-0.0817388) 0.17752 (2.65964,1.45499) (0.214249,-0.159127) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.2598,1.43045) (0.772312,0.340255) 0.164228 (5.99563,1.71825) 1.66946 0.414982 (2.59331,0.439457) (0.186785,-0.0326076) 0.131459 (2.33565,0.723558) (0.15006,-0.0897495) 0.21835 (2.55884,1.06058) (0.136555,-0.081737) 0.17752 (2.71134,1.41281) (0.20679,-0.168706) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.45026,1.51405) (0.76183,0.334397) 0.164228 (5.99563,1.71825) 1.66946 0.413618 (2.64001,0.431303) (0.186784,-0.0326135) 0.131459 (2.37454,0.700882) (0.155533,-0.0907019) 0.21835 (2.59298,1.04014) (0.136552,-0.0817425) 0.17752 (2.76225,1.36968) (0.203621,-0.172518) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.6378,1.59582) (0.750181,0.327076) 0.164228 (5.99563,1.71825) 1.66946 0.411148 (2.68671,0.423149) (0.186783,-0.032619) 0.131459 (2.41419,0.678084) (0.158595,-0.0911952) 0.21835 (2.62712,1.01971) (0.136551,-0.0817437) 0.17752 (2.81272,1.32605) (0.201893,-0.174537) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.86248,1.6617) (0.898689,0.263509) 0.164228 (5.99563,1.71825) 1.66946 0.285221 (2.73337,0.414828) (0.186665,-0.033284) 0.131459 (2.45426,0.655213) (0.160312,-0.0914828) 0.21835 (2.66089,0.99932) (0.135077,-0.0815519) 0.17752 (2.87927,1.32135) (0.266215,-0.0188027) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.5 (3.11243,1.66621) (0.999832,0.0180666) 0.164228 (5.99563,1.71825) 1.66946 0.0180677 (2.78007,0.40668) (0.186787,-0.0325918) 0.131459 (2.49459,0.632246) (0.16129,-0.0918674) 0.21835 (2.69503,0.978887) (0.136559,-0.081731) 0.17752 (2.94583,1.31665) (0.266214,-0.0188161) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.75 (3.36239,1.67073) (0.999844,0.0180608) 0.164228 (5.99563,1.71825) 1.66946 0.0180616 (2.82677,0.398536) (0.18679,-0.0325756) 0.131459 (2.53505,0.60928) (0.161855,-0.0918645) 0.21835 (2.72917,0.958456) (0.136562,-0.0817248) 0.17752 (3.01238,1.31194) (0.266214,-0.0188097) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3 (3.61235,1.67524) (0.999809,0.0180425) 0.164228 (5.99563,1.71825) 1.66946 0.018044 (2.87346,0.390386) (0.186786,-0.0325988) 0.131459 (2.5756,0.586314) (0.162189,-0.0918641) 0.21835 (2.76331,0.938021) (0.136555,-0.0817379) 0.17752 (3.07894,1.30724) (0.266214,-0.0188108) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.25 (3.8623,1.67977) (0.999805,0.0181184) 0.164228 (5.99563,1.71825) 1.66946 0.0181199 (2.92016,0.382243) (0.186791,-0.0325709) 0.131459 (2.61619,0.563345) (0.162392,-0.0918778) 0.21835 (2.79745,0.917591) (0.136565,-0.0817204) 0.17752 (3.14549,1.30254) (0.266214,-0.0188181) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.5 (4.11226,1.6843) (0.999856,0.0181088) 0.164228 (5.99563,1.71825) 1.66946 0.0181094 (2.96686,0.374095) (0.186787,-0.0325933) 0.131459 (2.65683,0.540375) (0.162524,-0.091878) 0.21835 (2.83159,0.897156) (0.136554,-0.0817391) 0.17752 (3.21204,1.29784) (0.266215,-0.018804) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.75 (4.36222,1.68879) (0.999838,0.017961) 0.164228 (5.99563,1.71825) 1.66946 0.0179619 (3.01355,0.365947) (0.186788,-0.0325916) 0.131459 (2.69748,0.517401) (0.162615,-0.0918963) 0.21835 (2.86573,0.876722) (0.136554,-0.0817389) 0.17752 (3.2786,1.29313) (0.266214,-0.0188086) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4 (4.61219,1.69328) (0.999886,0.0179853) 0.164228 (5.99563,1.71825) 1.66946 0.0179854 (3.06025,0.3578) (0.186788,-0.0325889) 0.131459 (2.73815,0.494422) (0.162692,-0.0919154) 0.21835 (2.89987,0.856289) (0.136558,-0.0817317) 0.17752 (3.34515,1.28843) (0.266214,-0.0188095) 0.153271 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
