[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.47689,1.10499) (0,0) 0.178549 (5.98029,1.15206) 1.89064 0 (2.22528,0.571551) (0,0) 0.158274 (2.25748,0.878518) (0,0) 0.194258 (2.27498,1.31179) (0,0) 0.193596 (2.30367,1.6499) (0,0) 0.127392 (1.47689,1.8) (0,0) 0.001 (1.47689,0.3) (0,0) 0.001
0.25 (1.48846,1.10541) (0.0462937,0.00166079) 0.178549 (5.98029,1.15206) 1.89064 0.0358598 (2.27003,0.544796) (0.178999,-0.107023) 0.158274 (2.33124,0.884743) (0.295038,0.0249038) 0.194258 (2.3111,1.30918) (0.144462,-0.010416) 0.193596 (2.3303,1.64718) (0.106547,-0.0108797) 0.127392 (1.48846,1.8) (0,0) 0.001 (1.48846,0.3) (0,0) 0.001
0.5 (1.5262,1.08482) (0.150942,-0.0823476) 0.178549 (5.98029,1.15206) 1.89064 -0.499426 (2.32073,0.532628) (0.202794,-0.0486714) 0.158274 (2.40524,0.88655) (0.295999,0.00722601) 0.194258 (2.34903,1.3024) (0.151747,-0.0271448) 0.193596 (2.35678,1.64318) (0.105898,-0.0160032) 0.127392 (1.5262,1.8) (0,0) 0.001 (1.5262,0.3) (0,0) 0.001
0.75 (1.58342,1.06041) (0.228882,-0.0976434) 0.178549 (5.98029,1.15206) 1.89064 -0.403233 (2.37145,0.520558) (0.202888,-0.0482801) 0.158274 (2.47924,0.888356) (0.295999,0.00722469) 0.194258 (2.38487,1.28822) (0.143345,-0.0567096) 0.193596 (2.38288,1.63722) (0.104415,-0.0238332) 0.127392 (1.58342,1.8) (0,0) 0.001 (1.58342,0.3) (0,0) 0.001
1 (1.65034,1.03421) (0.267676,-0.104807) 0.178549 (5.98029,1.15206) 1.89064 -0.373196 (2.42217,0.508489) (0.202889,-0.0482745) 0.158274 (2.55324,0.890163) (0.295999,0.00722664) 0.194258 (2.41849,1.26937) (0.13446,-0.0753942) 0.193596 (2.40899,1.63126) (0.104418,-0.0238204) 0.127392 (1.65034,1.8) (0,0) 0.001 (1.65034,0.3) (0,0) 0.001
1.25 (1.72184,1.00739) (0.285997,-0.10727) 0.178549 (5.98029,1.15206) 1.89064 -0.358834 (2.47289,0.496419) (0.202887,-0.0482826) 0.158274 (2.62724,0.891975) (0.295999,0.00724678) 0.194258 (2.4518,1.25) (0.133256,-0.0775025) 0.193596 (2.43509,1.62531) (0.104417,-0.0238256) 0.127392 (1.72184,1.8) (0,0) 0.001 (1.72184,0.3) (0,0) 0.001
1.5 (1.79508,0.980414) (0.292985,-0.10791) 0.178549 (5.98029,1.15206) 1.89064 -0.352894 (2.52362,0.484346) (0.202885,-0.0482902) 0.158274 (2.70124,0.893784) (0.295999,0.00723716) 0.194258 (2.48503,1.23047) (0.132908,-0.0780989) 0.193596 (2.4612,1.61935) (0.104418,-0.0238234) 0.127392 (1.79508,1.8) (0,0) 0.001 (1.79508,0.3) (0,0) 0.001
1.75 (1.86845,0.953414) (0.293472,-0.108) 0.178549 (5.98029,1.15206) 1.89064 -0.352628 (2.57434,0.472279) (0.202891,-0.0482683) 0.158274 (2.77524,0.895594) (0.295999,0.00724233) 0.194258 (2.51825,1.21095) (0.132908,-0.0780989) 0.193596 (2.4873,1.6134) (0.104417,-0.0238262) 0.127392 (1.86845,1.8) (0,0) 0.001 (1.86845,0.3) (0,0) 0.001
2 (1.94114,0.92654) (0.290765,-0.107496) 0.178549 (5.98029,1.15206) 1.89064 -0.354117 (2.62464,0.458565) (0.20121,-0.0548554) 0.158274 (2.84924,0.897405) (0.295999,0.00724227) 0.194258 (2.55148,1.19142) (0.132908,-0.0780989) 0.193596 (2.5134,1.60744) (0.104416,-0.0238304) 0.127392 (1.94114,1.8) (0,0) 0.001 (1.94114,0.3) (0,0) 0.001
2.25 (2.01313,0.899796) (0.287962,-0.106974) 0.178549 (5.98029,1.15206) 1.89064 -0.355687 (2.67454,0.44345) (0.199597,-0.06046) 0.158274 (2.92324,0.899219) (0.295998,0.00725501) 0.194258 (2.58471,1.1719) (0.132908,-0.0780989) 0.193596 (2.53951,1.60148) (0.104417,-0.0238246) 0.127392 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
