[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.03815,1.1818) (0,0) 0.215448 (5.98029,1.15206) 1.79718 0 (2.27964,0.519763) (0,0) 0.151106 (2.32825,0.80109) (0,0) 0.196819 (2.29332,1.25562) (0,0) 0.175504 (2.36637,1.68759) (0,0) 0.196413 (1.03815,1.8) (0,0) 0.001 (1.03815,0.3) (0,0) 0.001
0.25 (1.28815,1.18029) (0.999981,-0.00605328) 0.215448 (5.98029,1.15206) 1.79718 -0.00605332 (2.33336,0.478806) (0.21485,-0.16383) 0.151106 (2.412,0.813934) (0.335034,0.0513767) 0.196819 (2.30866,1.25471) (0.0613592,-0.00366457) 0.175504 (2.41422,1.67782) (0.191391,-0.0390794) 0.196413 (1.28815,1.8) (0,0) 0.001 (1.28815,0.3) (0,0) 0.001
0.5 (1.53817,1.17877) (1.00007,-0.00605381) 0.215448 (5.98029,1.15206) 1.79718 -0.0060533 (2.39915,0.463498) (0.263157,-0.061231) 0.151106 (2.49665,0.817814) (0.338595,0.0155202) 0.196819 (2.3301,1.23179) (0.0857725,-0.0916646) 0.175504 (2.46167,1.66627) (0.189795,-0.0462121) 0.196413 (1.53817,1.8) (0,0) 0.001 (1.53817,0.3) (0,0) 0.001
0.75 (1.75858,1.22227) (0.881637,0.173969) 0.215448 (5.98029,1.15206) 1.79718 0.194822 (2.46538,0.450272) (0.264957,-0.0529052) 0.151106 (2.5813,0.821688) (0.338596,0.0154931) 0.196819 (2.34735,1.20557) (0.0689944,-0.104877) 0.175504 (2.50911,1.65472) (0.189797,-0.0462039) 0.196413 (1.75858,1.8) (0,0) 0.001 (1.75858,0.3) (0,0) 0.001
1 (1.89645,1.24204) (0.551516,0.0791061) 0.215448 (5.98029,1.15206) 1.79718 0.142462 (2.53162,0.437046) (0.264957,-0.0529038) 0.151106 (2.66595,0.825565) (0.338595,0.0155078) 0.196819 (2.36751,1.18152) (0.0806295,-0.0962197) 0.175504 (2.55602,1.66832) (0.187611,0.0544042) 0.196413 (1.89645,1.8) (0,0) 0.001 (1.89645,0.3) (0,0) 0.001
1.25 (1.99245,1.25881) (0.383966,0.0670678) 0.215448 (5.98029,1.15206) 1.79718 0.172927 (2.59786,0.423818) (0.264956,-0.0529104) 0.151106 (2.7506,0.829439) (0.338596,0.015498) 0.196819 (2.39086,1.16055) (0.0934141,-0.0838638) 0.175504 (2.60226,1.68401) (0.184987,0.0627489) 0.196413 (1.99245,1.8) (0,0) 0.001 (1.99245,0.3) (0,0) 0.001
1.5 (2.06336,1.27503) (0.283674,0.0648909) 0.215448 (5.98029,1.15206) 1.79718 0.224882 (2.6641,0.410588) (0.264953,-0.0529218) 0.151106 (2.83525,0.833319) (0.338595,0.0155195) 0.196819 (2.41761,1.14413) (0.10699,-0.06567) 0.175504 (2.64851,1.69969) (0.184987,0.0627489) 0.196413 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.11398,1.29606) (0.202474,0.084123) 0.215448 (5.98029,1.15206) 1.79718 0.393776 (2.73034,0.397358) (0.264954,-0.0529181) 0.151106 (2.9199,0.837204) (0.338594,0.0155404) 0.196819 (2.44537,1.12949) (0.111039,-0.0585643) 0.175504 (2.69487,1.71504) (0.185437,0.0614073) 0.196413 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.16079,1.3314) (0.187241,0.141327) 0.215448 (5.98029,1.15206) 1.79718 0.646556 (2.79658,0.384132) (0.264957,-0.0529044) 0.151106 (3.00455,0.841084) (0.338595,0.0155195) 0.196819 (2.47161,1.11229) (0.10499,-0.0688222) 0.175504 (2.74359,1.71845) (0.194864,0.013626) 0.196413 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.22283,1.38926) (0.248151,0.231456) 0.215448 (5.98029,1.15206) 1.79718 0.750602 (2.86282,0.370906) (0.264957,-0.0529039) 0.151106 (3.08919,0.844966) (0.338594,0.0155292) 0.196819 (2.49271,1.08905) (0.0843941,-0.0929353) 0.175504 (2.79053,1.70498) (0.187767,-0.0538628) 0.196413 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
