[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.4393,1.02062) (0,0) 0.182016 -0.284918 (5.99563,1.71825) 1.74309 0 (2.28217,0.485991) (0,0) 0.203559 -0.0777981 (2.31401,0.783752) (0,0) 0.127161 0.391854 (2.31946,1.15063) (0,0) 0.163375 0.266338 (2.32828,1.67143) (0,0) 0.146639 0.108033 (1.4393,1.8) (0,0) 0.001 -0.284918 (1.4393,0.3) (0,0) 0.001 -0.284918
0.25 (1.45257,1.0239) (0.0530841,0.0131188) 0.182016 -0.284918 (5.99563,1.71825) 1.74309 0.242277 (2.31507,0.466752) (0.131624,-0.0769538) 0.203559 -0.0777981 (2.34346,0.790758) (0.117814,0.0280236) 0.127161 0.391854 (2.37953,1.15489) (0.240307,0.0170176) 0.163375 0.266338 (2.37859,1.68052) (0.201233,0.0363582) 0.146639 0.108033 (1.45257,1.8) (0,0) 0.001 -0.284918 (1.45257,0.3) (0,0) 0.001 -0.284918
0.5 (1.49238,1.05361) (0.159233,0.118816) 0.182016 -0.284918 (5.99563,1.71825) 1.74309 0.641049 (2.35204,0.457459) (0.147868,-0.0371747) 0.203559 -0.0777981 (2.37356,0.787484) (0.120391,-0.0130952) 0.127161 0.391854 (2.43838,1.16773) (0.235366,0.0513784) 0.163375 0.266338 (2.4289,1.68961) (0.201232,0.0363642) 0.146639 0.108033 (1.49238,1.8) (0,0) 0.001 -0.284918 (1.49238,0.3) (0,0) 0.001 -0.284918
0.75 (1.56366,1.1197) (0.285102,0.264382) 0.182016 -0.284918 (5.99563,1.71825) 1.74309 0.747709 (2.3896,0.450937) (0.150221,-0.0260876) 0.203559 -0.0777981 (2.40322,0.781429) (0.118655,-0.0242188) 0.127161 0.391854 (2.49614,1.18477) (0.231065,0.0681622) 0.163375 0.266338 (2.47921,1.6987) (0.201231,0.0363659) 0.146639 0.108033 (1.56366,1.8) (0,0) 0.001 -0.284918 (1.56366,0.3) (0,0) 0.001 -0.284918
1 (1.74684,1.24249) (0.732729,0.491154) 0.182016 -0.284918 (5.99563,1.71825) 1.74309 0.590519 (2.42718,0.444556) (0.150318,-0.0255228) 0.203559 -0.0777981 (2.43286,0.775234) (0.118538,-0.0247832) 0.127161 0.391854 (2.55329,1.20378) (0.228592,0.0760451) 0.163375 0.266338 (2.52951,1.7078) (0.20123,0.0363725) 0.146639 0.108033 (1.74684,1.8) (0,0) 0.001 -0.284918 (1.74684,0.3) (0,0) 0.001 -0.284918
1.25 (1.89524,1.34879) (0.593595,0.425184) 0.182016 -0.284918 (5.99563,1.71825) 1.74309 0.621573 (2.46476,0.438224) (0.15035,-0.0253293) 0.203559 -0.0777981 (2.46248,0.768989) (0.118498,-0.0249766) 0.127161 0.391854 (2.61015,1.22364) (0.22744,0.0794225) 0.163375 0.266338 (2.58058,1.7055) (0.204284,-0.00919461) 0.146639 0.108033 (1.89524,1.8) (0,0) 0.001 -0.284918 (1.89524,0.3) (0,0) 0.001 -0.284918
1.5 (2.0356,1.45406) (0.561441,0.421083) 0.182016 -0.284918 (5.99563,1.71825) 1.74309 0.643503 (2.50237,0.432035) (0.150446,-0.0247544) 0.203559 -0.0777981 (2.49207,0.762601) (0.118375,-0.0255522) 0.127161 0.391854 (2.66854,1.23841) (0.233554,0.0590733) 0.163375 0.266338 (2.61607,1.68116) (0.141938,-0.0973363) 0.146639 0.108033 (2,1.8) (0,0) 0.001 -0.284918 (2,0.3) (0,0) 0.001 -0.284918
1.75 (2.17008,1.55674) (0.537926,0.410718) 0.182016 -0.284918 (5.99563,1.71825) 1.74309 0.6521 (2.53999,0.425897) (0.150479,-0.0245517) 0.203559 -0.0777981 (2.52166,0.756163) (0.118331,-0.0257553) 0.127161 0.391854 (2.7277,1.24968) (0.236653,0.0450813) 0.163375 0.266338 (2.66702,1.67697) (0.203805,-0.0167823) 0.146639 0.108033 (2,1.8) (0,0) 0.001 -0.284918 (2,0.3) (0,0) 0.001 -0.284918
2 (2.29962,1.65593) (0.518154,0.396765) 0.182016 -0.284918 (5.99563,1.71825) 1.74309 0.653491 (2.57764,0.419907) (0.150574,-0.0239626) 0.203559 -0.0777981 (2.55121,0.749576) (0.1182,-0.026347) 0.127161 0.391854 (2.78721,1.25895) (0.238038,0.0370809) 0.163375 0.266338 (2.71794,1.67239) (0.203669,-0.0183157) 0.146639 0.108033 (2,1.8) (0,0) 0.001 -0.284918 (2,0.3) (0,0) 0.001 -0.284918
