[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.10624,1.0643) (0,0) 0.136471 (5.98029,1.15206) 1.71615 0 (2.34474,0.472351) (0,0) 0.128993 (2.32696,0.811826) (0,0) 0.150409 (2.32125,1.30182) (0,0) 0.145497 (2.38044,1.65776) (0,0) 0.14301 (1.10624,1.8) (0,0) 0.001 (1.10624,0.3) (0,0) 0.001
0.25 (1.3562,1.0688) (0.999834,0.0180045) 0.136471 (5.98029,1.15206) 1.71615 0.0180056 (2.43713,0.454032) (0.369539,-0.0732761) 0.128993 (2.40804,0.815501) (0.324349,0.0147012) 0.150409 (2.35799,1.2974) (0.146952,-0.0177015) 0.145497 (2.41837,1.64962) (0.151705,-0.0325612) 0.14301 (1.3562,1.8) (0,0) 0.001 (1.3562,0.3) (0,0) 0.001
0.5 (1.60618,1.07331) (0.999911,0.0180455) 0.136471 (5.98029,1.15206) 1.71615 0.0180452 (2.52951,0.435722) (0.369546,-0.0732397) 0.128993 (2.48913,0.819178) (0.324349,0.0147081) 0.150409 (2.38219,1.2694) (0.0968121,-0.111963) 0.145497 (2.45629,1.64143) (0.151665,-0.0327455) 0.14301 (1.60618,1.8) (0,0) 0.001 (1.60618,0.3) (0,0) 0.001
0.75 (1.64497,1.07268) (0.155175,-0.00253881) 0.136471 (5.98029,1.15206) 1.71615 -0.0163595 (2.6219,0.417407) (0.369542,-0.0732602) 0.128993 (2.5703,0.820125) (0.32466,0.00378506) 0.150409 (2.36595,1.27499) (-0.0649439,0.022329) 0.145497 (2.49405,1.63256) (0.151045,-0.0354976) 0.14301 (1.64497,1.8) (0,0) 0.001 (1.64497,0.3) (0,0) 0.001
1 (1.72102,1.06783) (0.304196,-0.0193744) 0.136471 (5.98029,1.15206) 1.71615 -0.0636046 (2.71428,0.399091) (0.369541,-0.0732633) 0.128993 (2.65138,0.823866) (0.324337,0.0149654) 0.150409 (2.37417,1.27781) (0.032853,0.0112804) 0.145497 (2.53181,1.62368) (0.151043,-0.0355041) 0.14301 (1.72102,1.8) (0,0) 0.001 (1.72102,0.3) (0,0) 0.001
1.25 (1.81564,1.06089) (0.378463,-0.0277646) 0.136471 (5.98029,1.15206) 1.71615 -0.0732304 (2.80667,0.380776) (0.369542,-0.0732603) 0.128993 (2.73247,0.827608) (0.324337,0.0149671) 0.150409 (2.39511,1.27919) (0.0837691,0.00552822) 0.145497 (2.56957,1.61481) (0.151047,-0.0354872) 0.14301 (1.81564,1.8) (0,0) 0.001 (1.81564,0.3) (0,0) 0.001
1.5 (1.91921,1.05294) (0.414318,-0.0318154) 0.136471 (5.98029,1.15206) 1.71615 -0.0766393 (2.89905,0.362459) (0.36954,-0.0732666) 0.128993 (2.81355,0.831355) (0.324336,0.014989) 0.150409 (2.42267,1.27982) (0.110246,0.00253702) 0.145497 (2.60733,1.60594) (0.151048,-0.0354829) 0.14301 (1.91921,1.8) (0,0) 0.001 (1.91921,0.3) (0,0) 0.001
1.75 (2.02675,1.04454) (0.430146,-0.0336035) 0.136471 (5.98029,1.15206) 1.71615 -0.0779628 (2.99144,0.344151) (0.369547,-0.0732342) 0.128993 (2.89463,0.835099) (0.324337,0.0149748) 0.150409 (2.45367,1.28007) (0.12401,0.000981956) 0.145497 (2.64509,1.59707) (0.151047,-0.0354872) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.13565,1.03598) (0.435593,-0.0342189) 0.136471 (5.98029,1.15206) 1.71615 -0.078396 (3.08383,0.325841) (0.369546,-0.0732394) 0.128993 (2.97572,0.838843) (0.324336,0.0149773) 0.150409 (2.48651,1.28011) (0.131358,0.000151841) 0.145497 (2.68286,1.5882) (0.151045,-0.0354941) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.24594,1.0195) (0.441162,-0.065944) 0.136471 (5.98029,1.15206) 1.71615 -0.148379 (3.17621,0.307518) (0.369535,-0.0732942) 0.128993 (3.0568,0.842579) (0.324338,0.0149446) 0.150409 (2.52032,1.28004) (0.135223,-0.000284744) 0.145497 (2.72062,1.57932) (0.151046,-0.0354928) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.5 (2.41418,0.946476) (0.67295,-0.292084) 0.136471 (5.98029,1.15206) 1.71615 -0.409499 (3.2686,0.289206) (0.369544,-0.0732472) 0.128993 (3.13789,0.846322) (0.324337,0.014973) 0.150409 (2.55693,1.27465) (0.146436,-0.0215595) 0.145497 (2.75838,1.57045) (0.151047,-0.0354873) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.75 (2.60899,0.869689) (0.779239,-0.307149) 0.136471 (5.98029,1.15206) 1.71615 -0.375467 (3.36098,0.270893) (0.369544,-0.0732491) 0.128993 (3.21897,0.850071) (0.324336,0.0149943) 0.150409 (2.57854,1.24461) (0.0864318,-0.120158) 0.145497 (2.79614,1.56158) (0.151046,-0.0354904) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3 (2.80111,0.80204) (0.768502,-0.270597) 0.136471 (5.98029,1.15206) 1.71615 -0.338552 (3.44753,0.246973) (0.346184,-0.09568) 0.128993 (3.30005,0.85381) (0.324337,0.0149577) 0.150409 (2.60014,1.21456) (0.0864199,-0.120166) 0.145497 (2.8339,1.55271) (0.151046,-0.0354902) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.25 (2.99823,0.736598) (0.788472,-0.261767) 0.136471 (5.98029,1.15206) 1.71615 -0.320544 (3.51349,0.231578) (0.263859,-0.0615824) 0.128993 (3.38114,0.857549) (0.324338,0.0149539) 0.150409 (2.62174,1.18452) (0.0864176,-0.120168) 0.145497 (2.87166,1.54383) (0.151046,-0.035492) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.5 (3.19468,0.675168) (0.785812,-0.245722) 0.136471 (5.98029,1.15206) 1.71615 -0.303065 (3.56451,0.22372) (0.204075,-0.0314329) 0.128993 (3.46222,0.861291) (0.324337,0.0149684) 0.150409 (2.64335,1.15448) (0.0864144,-0.12017) 0.145497 (2.90942,1.53496) (0.151047,-0.0354859) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.75 (3.39053,0.617436) (0.783379,-0.230926) 0.136471 (5.98029,1.15206) 1.71615 -0.286663 (3.60276,0.217827) (0.152993,-0.0235696) 0.128993 (3.54331,0.865031) (0.324337,0.0149599) 0.150409 (2.66496,1.12444) (0.0864281,-0.12016) 0.145497 (2.94719,1.52609) (0.151044,-0.035498) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4 (3.59328,0.56434) (0.811014,-0.212385) 0.136471 (5.98029,1.15206) 1.71615 -0.256124 (3.63144,0.213431) (0.114721,-0.0175839) 0.128993 (3.62439,0.868771) (0.324337,0.0149629) 0.150409 (2.68656,1.0944) (0.0864208,-0.120166) 0.145497 (2.98495,1.51722) (0.151047,-0.0354853) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4.25 (3.85019,0.569477) (1.02764,0.0205476) 0.136471 (5.98029,1.15206) 1.71615 0.0199922 (3.65297,0.21013) (0.0861188,-0.0132034) 0.128993 (3.70548,0.872522) (0.324335,0.0150006) 0.150409 (2.70817,1.06436) (0.08643,-0.120159) 0.145497 (3.02271,1.50834) (0.151045,-0.0354954) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4.5 (4.09134,0.635431) (0.96457,0.263815) 0.136471 (5.98029,1.15206) 1.71615 0.266976 (3.66912,0.207652) (0.0645805,-0.00991301) 0.128993 (3.78656,0.876264) (0.324337,0.0149692) 0.150409 (2.72977,1.03432) (0.0864251,-0.120163) 0.145497 (3.06047,1.49947) (0.151046,-0.0354926) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4.75 (4.33246,0.701369) (0.964499,0.263754) 0.136471 (5.98029,1.15206) 1.71615 0.266936 (3.68122,0.205793) (0.048432,-0.00743653) 0.128993 (3.86764,0.880005) (0.324337,0.0149644) 0.150409 (2.75138,1.00428) (0.0864254,-0.120162) 0.145497 (3.09823,1.49059) (0.151044,-0.0355011) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
5 (4.5736,0.76732) (0.96457,0.263805) 0.136471 (5.98029,1.15206) 1.71615 0.266967 (3.69033,0.204404) (0.0364098,-0.00555703) 0.128993 (3.94873,0.88375) (0.324336,0.0149806) 0.150409 (2.77299,0.974236) (0.0864215,-0.120165) 0.145497 (3.13599,1.48172) (0.151046,-0.035492) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
5.25 (4.81475,0.833268) (0.964594,0.26379) 0.136471 (5.98029,1.15206) 1.71615 0.266945 (3.69713,0.203351) (0.0272148,-0.00420954) 0.128993 (4.02981,0.887497) (0.324336,0.0149883) 0.150409 (2.79459,0.944195) (0.0864234,-0.120164) 0.145497 (3.17375,1.47284) (0.151043,-0.0355051) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
5.5 (5.0559,0.899223) (0.964599,0.26382) 0.136471 (5.98029,1.15206) 1.71615 0.266973 (3.70224,0.202555) (0.0204379,-0.00318531) 0.128993 (4.1109,0.891244) (0.324336,0.0149868) 0.150409 (2.8162,0.914154) (0.0864238,-0.120163) 0.145497 (3.21151,1.46397) (0.151044,-0.0355006) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
5.75 (5.287,0.962441) (0.924389,0.252872) 0.136471 (5.98029,1.15206) 1.71615 0.267023 (3.70606,0.201965) (0.0152952,-0.00236158) 0.128993 (4.19198,0.894994) (0.324335,0.014999) 0.150409 (2.8378,0.884112) (0.0864156,-0.120169) 0.145497 (3.24928,1.4551) (0.151047,-0.0354884) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
6 (5.46032,1.00984) (0.693271,0.189607) 0.136471 (5.98029,1.15206) 1.71615 0.266967 (3.70894,0.201522) (0.0114998,-0.00176928) 0.128993 (4.27306,0.898736) (0.324337,0.0149707) 0.150409 (2.85941,0.854071) (0.0864228,-0.120164) 0.145497 (3.28704,1.44622) (0.151045,-0.0354943) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
6.25 (5.59031,1.04537) (0.519964,0.142124) 0.136471 (5.98029,1.15206) 1.71615 0.266817 (3.71109,0.201183) (0.00861296,-0.00135858) 0.128993 (4.35415,0.902479) (0.324337,0.0149708) 0.150409 (2.88101,0.824031) (0.086429,-0.12016) 0.145497 (3.3248,1.43735) (0.151043,-0.0355028) 0.14301 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
