[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.22899,0.975303) (0,0) 0.202991 (5.98029,1.15206) 1.94795 0 (2.3675,0.507302) (0,0) 0.207981 (2.34252,0.808427) (0,0) 0.136274 (2.24867,1.30408) (0,0) 0.200267 (2.22368,1.54275) (0,0) 0.169385 (1.22899,1.8) (0,0) 0.001 (1.22899,0.3) (0,0) 0.001
0.25 (1.47882,0.984608) (0.999359,0.0372211) 0.202991 (5.98029,1.15206) 1.94795 0.0372277 (2.38445,0.487588) (0.067804,-0.078856) 0.207981 (2.36743,0.824566) (0.0996556,0.0645562) 0.136274 (2.25149,1.27717) (0.0112735,-0.107644) 0.200267 (2.29041,1.61213) (0.266926,0.277541) 0.169385 (1.47882,1.8) (0,0) 0.001 (1.47882,0.3) (0,0) 0.001
0.5 (1.55167,0.983776) (0.291363,-0.00332658) 0.202991 (5.98029,1.15206) 1.94795 -0.0114168 (2.40987,0.48211) (0.101664,-0.0219113) 0.207981 (2.39685,0.820604) (0.117676,-0.0158462) 0.136274 (2.26958,1.2845) (0.0723767,0.0293086) 0.200267 (2.3833,1.6374) (0.37157,0.101067) 0.169385 (1.55167,1.8) (0,0) 0.001 (1.55167,0.3) (0,0) 0.001
0.75 (1.61588,0.98423) (0.256872,0.00181361) 0.202991 (5.98029,1.15206) 1.94795 0.00706024 (2.43475,0.474554) (0.0995098,-0.0302234) 0.207981 (2.42619,0.816114) (0.117372,-0.0179618) 0.136274 (2.29595,1.29059) (0.105451,0.0243796) 0.200267 (2.47957,1.63697) (0.385065,-0.00173396) 0.169385 (1.61588,1.8) (0,0) 0.001 (1.61588,0.3) (0,0) 0.001
1 (1.67775,0.985033) (0.247485,0.0032125) 0.202991 (5.98029,1.15206) 1.94795 0.0129798 (2.45968,0.467196) (0.0997461,-0.0294341) 0.207981 (2.45541,0.810851) (0.116857,-0.0210511) 0.136274 (2.32231,1.29669) (0.105451,0.0243796) 0.200267 (2.57327,1.61491) (0.374829,-0.0882128) 0.169385 (1.67775,1.8) (0,0) 0.001 (1.67775,0.3) (0,0) 0.001
1.25 (1.73874,0.985968) (0.243946,0.00373999) 0.202991 (5.98029,1.15206) 1.94795 0.01533 (2.48483,0.460585) (0.10058,-0.026444) 0.207981 (2.48452,0.805039) (0.116441,-0.0232455) 0.136274 (2.34867,1.30278) (0.105451,0.0243795) 0.200267 (2.66698,1.59286) (0.374831,-0.0882052) 0.169385 (1.73874,1.8) (0,0) 0.001 (1.73874,0.3) (0,0) 0.001
1.5 (1.79944,0.986946) (0.24279,0.00391218) 0.202991 (5.98029,1.15206) 1.94795 0.016112 (2.51009,0.454436) (0.101048,-0.0245977) 0.207981 (2.5136,0.799075) (0.116317,-0.023856) 0.136274 (2.37504,1.30888) (0.105451,0.0243795) 0.200267 (2.76069,1.57081) (0.37483,-0.0882082) 0.169385 (1.79944,1.8) (0,0) 0.001 (1.79944,0.3) (0,0) 0.001
1.75 (1.85998,0.987948) (0.242153,0.00400726) 0.202991 (5.98029,1.15206) 1.94795 0.016547 (2.5354,0.448488) (0.10124,-0.0237911) 0.207981 (2.54266,0.793044) (0.116262,-0.0241247) 0.136274 (2.4014,1.31497) (0.105451,0.0243795) 0.200267 (2.8544,1.54876) (0.374832,-0.0881989) 0.169385 (1.85998,1.8) (0,0) 0.001 (1.85998,0.3) (0,0) 0.001
2 (1.9205,0.988951) (0.242104,0.00401449) 0.202991 (5.98029,1.15206) 1.94795 0.0165802 (2.56073,0.442625) (0.101319,-0.0234527) 0.207981 (2.57173,0.787008) (0.116258,-0.0241437) 0.136274 (2.42776,1.32107) (0.105451,0.0243795) 0.200267 (2.9481,1.52671) (0.374831,-0.088204) 0.169385 (1.9205,1.8) (0,0) 0.001 (1.9205,0.3) (0,0) 0.001
