train running loss, train running l2 error, val loss, val l2 error
3.8871, 0.6995, 1.1080, 0.6001
0.8440, 0.3678, 0.3738, 0.2992
0.5259, 0.3990, -0.1463, 0.2723
-0.2440, 0.2642, -0.9625, 0.2163
-0.7472, 0.2077, -1.1660, 0.1419
-1.2817, 0.1548, -1.8271, 0.1251
-1.6115, 0.1419, -2.3057, 0.0916
-1.4784, 0.1422, -1.6527, 0.1259
-1.6287, 0.1347, -1.8196, 0.1310
-1.8394, 0.1261, -2.3466, 0.0839
-2.0164, 0.1204, -2.5481, 0.0812
-1.7860, 0.1280, -1.0580, 0.2096
-1.0988, 0.1678, -1.5912, 0.1020
-1.5543, 0.1340, -2.2540, 0.0942
-1.8782, 0.1135, -2.4283, 0.0809
-2.2198, 0.1068, -2.6860, 0.0732
-2.3899, 0.0956, -3.0150, 0.0660
-2.4548, 0.0953, -2.5901, 0.0839
-2.4625, 0.0935, -2.9264, 0.0712
-2.5923, 0.0909, -3.2187, 0.0513
-2.6204, 0.0908, -2.8959, 0.0686
-2.6888, 0.0863, -3.3385, 0.0516
-2.8306, 0.0829, -3.4393, 0.0439
-2.9626, 0.0789, -3.4553, 0.0570
-2.5544, 0.0906, -2.8535, 0.0603
-2.7304, 0.0820, -3.3143, 0.0581
-2.9286, 0.0810, -3.3488, 0.0611
-3.0913, 0.0762, -3.4169, 0.0570
-3.0340, 0.0779, -2.8930, 0.0668
-2.4499, 0.0941, -2.9044, 0.0558
-2.6471, 0.0845, -3.3515, 0.0548
-2.8169, 0.0834, -3.5156, 0.0498
-3.0513, 0.0766, -3.6216, 0.0480
-3.1483, 0.0746, -3.5624, 0.0557
-3.1319, 0.0771, -3.5492, 0.0513
-3.2394, 0.0736, -3.7414, 0.0489
-3.1286, 0.0746, -3.3292, 0.0652
-3.0371, 0.0762, -3.2196, 0.0593
-3.1896, 0.0757, -3.7052, 0.0573
-3.2625, 0.0738, -3.7086, 0.0474
-3.3288, 0.0725, -3.6353, 0.0538
-3.2428, 0.0748, -3.5502, 0.0558
-3.3242, 0.0739, -3.7553, 0.0499
-3.4305, 0.0724, -3.9370, 0.0472
-3.5014, 0.0723, -3.8438, 0.0522
-3.4774, 0.0724, -3.7569, 0.0522
-3.4881, 0.0729, -3.7550, 0.0520
-3.5228, 0.0730, -3.8855, 0.0524
-3.4156, 0.0744, -3.7098, 0.0556
-3.4817, 0.0745, -3.9023, 0.0493
-3.5509, 0.0726, -4.0040, 0.0438
-3.5578, 0.0737, -3.8766, 0.0563
-3.6056, 0.0735, -4.0274, 0.0514
-3.6063, 0.0744, -3.8840, 0.0543
-3.7070, 0.0731, -4.1183, 0.0516
-3.6883, 0.0739, -3.9222, 0.0562
-3.5061, 0.0768, -3.5402, 0.0606
-3.5529, 0.0743, -3.9789, 0.0492
-3.6550, 0.0749, -3.9546, 0.0542
-3.6857, 0.0756, -4.0632, 0.0561
-3.5830, 0.0777, -3.7928, 0.0637
-3.7737, 0.0734, -4.1776, 0.0580
-3.4594, 0.0788, -3.4616, 0.0603
-3.5130, 0.0774, -4.0984, 0.0504
-3.7229, 0.0757, -4.1680, 0.0496
-3.7169, 0.0773, -4.1256, 0.0500
-3.7075, 0.0751, -3.8685, 0.0635
-3.7931, 0.0734, -4.1551, 0.0546
-3.8578, 0.0730, -4.1666, 0.0549
-3.8320, 0.0744, -4.0264, 0.0603
-3.8915, 0.0744, -4.2404, 0.0553
-3.3010, 0.0829, -3.5265, 0.0499
-3.5375, 0.0774, -4.0374, 0.0519
-3.7747, 0.0754, -3.9616, 0.0618
-3.8180, 0.0760, -4.1220, 0.0521
-3.7693, 0.0754, -4.0466, 0.0589
-3.9119, 0.0744, -4.3238, 0.0566
-3.8685, 0.0750, -4.0968, 0.0523
-3.9009, 0.0727, -4.1185, 0.0630
-3.8954, 0.0748, -4.1626, 0.0618
-3.9492, 0.0750, -4.2271, 0.0549
-3.9622, 0.0753, -4.4259, 0.0444
-3.8108, 0.0768, -4.1142, 0.0478
-3.9075, 0.0731, -4.4824, 0.0482
-3.5270, 0.0797, -3.4954, 0.0597
-3.5071, 0.0798, -3.9841, 0.0566
-3.7926, 0.0768, -4.2132, 0.0580
-3.8588, 0.0773, -4.2005, 0.0575
-3.9318, 0.0727, -4.3617, 0.0571
-3.9682, 0.0749, -4.2619, 0.0576
-3.9871, 0.0730, -4.3185, 0.0601
-3.9895, 0.0738, -4.3957, 0.0546
-4.0473, 0.0749, -4.4114, 0.0525
-4.1001, 0.0724, -4.4306, 0.0510
-4.0518, 0.0738, -4.3913, 0.0528
-3.9891, 0.0760, -4.3730, 0.0542
-4.0413, 0.0745, -4.2956, 0.0617
-4.0243, 0.0752, -4.3368, 0.0558
-4.0134, 0.0744, -4.4749, 0.0472
-3.9489, 0.0763, -4.1497, 0.0525
-3.8218, 0.0764, -4.4869, 0.0448
-3.9993, 0.0740, -4.3539, 0.0610
-4.0310, 0.0737, -4.4182, 0.0587
-4.0753, 0.0749, -4.3874, 0.0625
-4.1054, 0.0756, -4.4432, 0.0593
-4.1545, 0.0731, -4.4832, 0.0626
-4.0981, 0.0772, -4.5341, 0.0537
-4.1146, 0.0750, -4.6218, 0.0529
-4.1622, 0.0717, -4.5787, 0.0508
-4.1346, 0.0745, -4.5385, 0.0581
-3.8867, 0.0762, -4.0099, 0.0527
-3.9433, 0.0768, -4.5387, 0.0615
-4.0858, 0.0755, -4.5784, 0.0595
-4.1694, 0.0742, -4.4532, 0.0561
-4.1238, 0.0749, -4.5572, 0.0519
-4.2055, 0.0723, -4.6402, 0.0575
-4.2231, 0.0734, -4.6722, 0.0509
-4.1518, 0.0755, -4.4103, 0.0545
-4.1298, 0.0735, -4.5461, 0.0520
-4.1711, 0.0753, -4.6513, 0.0560
-4.1803, 0.0769, -4.5768, 0.0558
-4.2294, 0.0732, -4.6768, 0.0475
-4.3011, 0.0715, -4.6229, 0.0620
-4.2328, 0.0749, -4.5628, 0.0559
-4.1815, 0.0754, -4.4329, 0.0548
-4.1529, 0.0765, -4.6614, 0.0532
-4.1886, 0.0768, -4.5698, 0.0509
-4.1283, 0.0763, -4.4363, 0.0514
-4.1613, 0.0774, -4.4833, 0.0638
-4.1498, 0.0748, -4.4967, 0.0625
-4.1585, 0.0763, -4.4669, 0.0525
-4.1825, 0.0750, -4.5774, 0.0511
-4.2795, 0.0737, -4.8531, 0.0427
-4.1158, 0.0764, -4.5621, 0.0462
-4.1589, 0.0751, -4.4098, 0.0574
-4.0472, 0.0790, -4.4104, 0.0650
-4.2188, 0.0763, -4.4720, 0.0623
-4.1923, 0.0776, -4.6039, 0.0555
-4.2406, 0.0745, -4.5239, 0.0563
-4.2140, 0.0735, -4.6991, 0.0491
-4.1033, 0.0755, -4.3171, 0.0578
-4.1755, 0.0780, -4.6531, 0.0595
-4.2745, 0.0738, -4.6718, 0.0541
