train running loss, train running l2 error, val loss, val l2 error
5.0193, 0.6626, 1.4886, 0.4350
1.5035, 0.5017, 0.8614, 0.3634
0.7291, 0.3793, 0.2474, 0.3974
0.3072, 0.3550, -0.3733, 0.2523
0.2381, 0.2859, -0.5656, 0.1891
0.1272, 0.2884, -0.5296, 0.1662
-0.1338, 0.2652, -0.6644, 0.1969
-0.1093, 0.2553, -0.6262, 0.2153
-0.2578, 0.2754, -0.7453, 0.1686
-0.3466, 0.2332, -0.8525, 0.1765
-0.0867, 0.2953, -0.5077, 0.2484
-0.3661, 0.2517, -0.8453, 0.1793
-0.1073, 0.2783, -0.4441, 0.2392
-0.0750, 0.2713, -0.7172, 0.1629
-0.4921, 0.2169, -0.7931, 0.1673
-0.5353, 0.2315, -1.0397, 0.1472
-0.7458, 0.2091, -1.1568, 0.1371
-0.8478, 0.2009, -1.3401, 0.1297
-0.0369, 0.2050, -1.2548, 0.1545
-0.1676, 0.2661, -0.4720, 0.2520
-0.3061, 0.2785, -0.5199, 0.2175
-0.2514, 0.2474, -0.8609, 0.1583
-0.4220, 0.2364, -0.9290, 0.1612
-0.6935, 0.2062, -1.0872, 0.1284
-0.7808, 0.2047, -1.0056, 0.1755
-0.7322, 0.2180, -1.2414, 0.1383
-0.7615, 0.2104, -1.2153, 0.1443
-0.8596, 0.2007, -1.3159, 0.1369
-0.9651, 0.1900, -1.4059, 0.1198
-0.9823, 0.1868, -1.3404, 0.1329
-0.9930, 0.1878, -1.3198, 0.1557
-1.0045, 0.1930, -1.3711, 0.1467
-1.0447, 0.1853, -1.4788, 0.1235
-1.0986, 0.1747, -1.4151, 0.1419
-1.1815, 0.1719, -1.5010, 0.1347
-1.0409, 0.1793, -1.4277, 0.1420
-1.1195, 0.1745, -1.5355, 0.1212
-1.0790, 0.1781, -1.3791, 0.1402
-1.1804, 0.1705, -1.5520, 0.1260
-1.1611, 0.1792, -1.5946, 0.1203
-1.2438, 0.1687, -1.5968, 0.1212
-1.0979, 0.1779, -1.3875, 0.1570
-1.1049, 0.1818, -1.5874, 0.1197
-1.2715, 0.1633, -1.6145, 0.1143
-1.2998, 0.1620, -1.6391, 0.1261
-1.2727, 0.1664, -1.6999, 0.1168
-1.2471, 0.1681, -1.6171, 0.1237
-1.2323, 0.1655, -1.5450, 0.1272
-1.3676, 0.1520, -1.6466, 0.1136
-1.3150, 0.1587, -1.7565, 0.1148
-1.3542, 0.1575, -1.7256, 0.1205
-1.3532, 0.1607, -1.7863, 0.1091
-1.3342, 0.1607, -1.5936, 0.1425
-1.3288, 0.1631, -1.5685, 0.1352
-1.3774, 0.1572, -1.7534, 0.1067
-1.2524, 0.1662, -1.6677, 0.1207
-1.3506, 0.1593, -1.7855, 0.1066
-1.4198, 0.1535, -1.7770, 0.1162
-1.3538, 0.1595, -1.7474, 0.1109
-1.3516, 0.1566, -1.6408, 0.1293
-1.2695, 0.1639, -1.7136, 0.1177
-1.4185, 0.1520, -1.7891, 0.0998
-1.3465, 0.1566, -1.6756, 0.1302
-1.3747, 0.1581, -1.8063, 0.1098
-1.3089, 0.1603, -1.7364, 0.1185
-1.4196, 0.1589, -1.6888, 0.1174
-1.3448, 0.1497, -1.7016, 0.1103
-1.3621, 0.1545, -1.8210, 0.1043
-1.3710, 0.1548, -1.7086, 0.1191
-1.4671, 0.1491, -1.8032, 0.1029
-1.4399, 0.1475, -1.8276, 0.1055
-1.2890, 0.1566, -1.7154, 0.1283
-1.3603, 0.1555, -1.7897, 0.1026
-1.4122, 0.1540, -1.7906, 0.1081
-1.4267, 0.1517, -1.8021, 0.1071
-1.4245, 0.1573, -1.7960, 0.1129
-1.4879, 0.1482, -1.7019, 0.1280
-1.2901, 0.1592, -1.6548, 0.1180
-1.3557, 0.1498, -1.5879, 0.1328
-1.2964, 0.1617, -1.6973, 0.1148
-1.3779, 0.1550, -1.6971, 0.1199
-1.2412, 0.1596, -1.6105, 0.1209
-1.2328, 0.1668, -1.6334, 0.1171
-1.3350, 0.1557, -1.7307, 0.1170
-1.3715, 0.1590, -1.8192, 0.1045
-1.4794, 0.1472, -1.8189, 0.1190
-1.4831, 0.1490, -1.9255, 0.1080
-1.6068, 0.1395, -1.9474, 0.1037
-1.3640, 0.1576, -1.6404, 0.1295
-1.2299, 0.1605, -1.7345, 0.1076
-1.4313, 0.1487, -1.7126, 0.1166
-1.3399, 0.1576, -1.8268, 0.1049
-1.4975, 0.1478, -1.8277, 0.1112
-1.1373, 0.1732, -1.6186, 0.1149
-1.1972, 0.1743, -1.6854, 0.1184
-1.2942, 0.1635, -1.6800, 0.1140
-1.3463, 0.1594, -1.7957, 0.1022
-1.3761, 0.1543, -1.8601, 0.1048
-1.3899, 0.1575, -1.7881, 0.1121
-1.3721, 0.1660, -1.8054, 0.1018
-1.4449, 0.1525, -1.7484, 0.1162
-1.5031, 0.1437, -1.8755, 0.0969
-1.5465, 0.1451, -1.8651, 0.1192
-1.3926, 0.1528, -1.8826, 0.1033
-1.3969, 0.1583, -1.7350, 0.1167
-1.4922, 0.1462, -1.8185, 0.1167
-1.3976, 0.1505, -1.9103, 0.1004
-1.5324, 0.1460, -1.9044, 0.1068
-1.5651, 0.1407, -1.9520, 0.1095
-1.4945, 0.1452, -1.8543, 0.1044
-1.4730, 0.1500, -1.8236, 0.1132
-1.5559, 0.1458, -1.9095, 0.1042
-1.4269, 0.1582, -1.6404, 0.1383
-1.2720, 0.1633, -1.6543, 0.1223
-1.4349, 0.1496, -1.7379, 0.1145
-1.4088, 0.1569, -1.9162, 0.1059
-1.4877, 0.1500, -1.9179, 0.0982
-1.4704, 0.1465, -1.8450, 0.1145
-1.5766, 0.1440, -1.9383, 0.1046
-1.4606, 0.1492, -1.8391, 0.1106
-1.5289, 0.1473, -1.7954, 0.1125
-1.4167, 0.1560, -1.8491, 0.1042
-1.5241, 0.1457, -1.9669, 0.0937
-1.5866, 0.1418, -2.0087, 0.1070
-1.4958, 0.1427, -1.7305, 0.1227
-1.3534, 0.1557, -1.7248, 0.1027
-1.4243, 0.1554, -1.7092, 0.1149
-1.3357, 0.1589, -1.7662, 0.1077
-1.4208, 0.1527, -1.7607, 0.1178
-1.4766, 0.1484, -1.7861, 0.1154
-1.4055, 0.1518, -1.8753, 0.1007
-1.5180, 0.1463, -1.8098, 0.1144
-1.3662, 0.1579, -1.7899, 0.1116
-1.5349, 0.1438, -1.8138, 0.1196
-1.4387, 0.1539, -1.8859, 0.0985
-1.3998, 0.1592, -1.8533, 0.1019
-1.6447, 0.1345, -1.9201, 0.1077
-1.5133, 0.1448, -1.9012, 0.1099
-1.4793, 0.1495, -1.8364, 0.1023
-1.5067, 0.1510, -1.8904, 0.1039
