train running loss, train running l2 error, val loss, val l2 error
-4.5655, 0.0336, -5.0494, 0.0289
-4.0301, 0.0409, -4.9679, 0.0326
-3.9867, 0.0366, -4.7852, 0.0335
-4.2414, 0.0488, -4.6115, 0.0335
-3.0574, 0.0382, -4.5143, 0.0327
-3.9910, 0.0386, -4.3717, 0.0342
-4.0974, 0.0419, -4.2461, 0.0358
-3.7300, 0.0409, -4.1610, 0.0371
-3.5086, 0.0525, -4.1142, 0.0381
-3.3845, 0.0469, -4.0950, 0.0383
-3.8851, 0.0487, -4.1168, 0.0375
-3.6627, 0.0468, -4.1620, 0.0364
-3.7007, 0.0496, -4.2211, 0.0352
-3.8433, 0.0516, -4.2846, 0.0341
-3.9903, 0.0467, -4.3495, 0.0330
-3.6556, 0.0461, -4.3805, 0.0327
-3.9788, 0.0370, -4.4090, 0.0332
-4.1071, 0.0370, -4.4652, 0.0335
-3.1436, 0.0479, -4.5449, 0.0334
-4.2446, 0.0353, -4.6408, 0.0329
-4.3093, 0.0334, -4.7358, 0.0330
-4.5602, 0.0374, -4.8389, 0.0313
-4.1844, 0.0378, -4.9045, 0.0301
-4.5302, 0.0395, -4.9805, 0.0290
-4.3172, 0.0395, -4.9801, 0.0287
-4.2202, 0.0384, -4.9624, 0.0295
-3.8177, 0.0404, -5.0130, 0.0292
-4.4302, 0.0397, -5.0127, 0.0296
-4.0255, 0.0408, -4.9706, 0.0305
-3.4675, 0.0333, -4.9573, 0.0309
-4.0978, 0.0408, -4.9226, 0.0312
-4.2592, 0.0425, -4.8201, 0.0321
-4.3341, 0.0371, -4.7090, 0.0334
-3.2050, 0.0379, -4.6133, 0.0346
-4.3013, 0.0408, -4.5584, 0.0355
-3.8439, 0.0430, -4.4948, 0.0371
-4.0096, 0.0463, -4.4552, 0.0384
-4.1397, 0.0442, -4.4293, 0.0393
-4.0737, 0.0403, -4.3921, 0.0402
-4.0419, 0.0504, -4.3700, 0.0403
-3.9524, 0.0513, -4.3598, 0.0392
-3.9692, 0.0513, -4.3603, 0.0376
-4.3604, 0.0452, -4.3861, 0.0357
-4.3029, 0.0366, -4.4330, 0.0335
-4.4894, 0.0368, -4.4723, 0.0317
-4.2180, 0.0377, -4.5009, 0.0314
-4.3732, 0.0339, -4.5257, 0.0327
-4.2874, 0.0327, -4.5499, 0.0344
-4.1529, 0.0348, -4.5740, 0.0360
-3.8860, 0.0392, -4.6155, 0.0360
-3.4931, 0.0425, -4.6528, 0.0343
-4.1108, 0.0491, -4.6588, 0.0332
-4.3734, 0.0344, -4.6597, 0.0322
-4.1668, 0.0360, -4.6585, 0.0312
-4.2309, 0.0345, -4.6660, 0.0302
-4.2097, 0.0339, -4.6779, 0.0305
-4.0662, 0.0453, -4.6918, 0.0315
-3.6734, 0.0491, -4.7086, 0.0314
-3.0621, 0.0470, -4.6819, 0.0315
-4.5592, 0.0425, -4.6494, 0.0310
-4.2568, 0.0476, -4.6364, 0.0302
-4.0339, 0.0482, -4.6337, 0.0293
-4.1174, 0.0439, -4.6545, 0.0285
-4.4752, 0.0348, -4.6943, 0.0279
-3.2178, 0.0417, -4.7425, 0.0275
-4.2169, 0.0386, -4.8059, 0.0269
-4.7068, 0.0343, -4.8787, 0.0264
-4.3256, 0.0357, -4.9430, 0.0260
-3.7497, 0.0339, -5.0114, 0.0253
-4.7856, 0.0353, -5.0764, 0.0245
-3.4362, 0.0376, -5.1624, 0.0237
-3.8492, 0.0336, -5.2736, 0.0226
-3.8737, 0.0348, -5.2769, 0.0237
-4.6907, 0.0412, -5.1779, 0.0252
-4.4266, 0.0455, -5.0805, 0.0265
-4.0494, 0.0368, -5.0509, 0.0273
-4.1786, 0.0391, -5.1174, 0.0269
-4.6982, 0.0350, -5.1539, 0.0264
-4.1858, 0.0439, -5.1322, 0.0267
-4.4605, 0.0322, -5.0814, 0.0279
-4.2818, 0.0425, -5.0345, 0.0295
-4.4980, 0.0425, -4.9721, 0.0303
-4.6268, 0.0439, -4.9096, 0.0309
-4.3089, 0.0396, -4.8592, 0.0314
-4.2266, 0.0373, -4.8080, 0.0317
-3.7750, 0.0406, -4.7278, 0.0319
-4.4600, 0.0393, -4.6575, 0.0321
-4.3242, 0.0388, -4.6041, 0.0327
-4.0449, 0.0402, -4.5712, 0.0331
-3.6121, 0.0459, -4.5140, 0.0332
-4.3036, 0.0389, -4.4806, 0.0332
-4.3092, 0.0417, -4.4698, 0.0332
-4.1955, 0.0433, -4.4835, 0.0330
-4.2280, 0.0474, -4.5025, 0.0327
-4.5738, 0.0353, -4.5436, 0.0321
-4.2271, 0.0383, -4.5916, 0.0314
-4.1173, 0.0416, -4.6503, 0.0309
-3.8680, 0.0413, -4.7286, 0.0304
-4.4590, 0.0398, -4.8231, 0.0301
-4.7212, 0.0332, -4.9239, 0.0298
-4.4128, 0.0390, -5.0059, 0.0291
-4.5274, 0.0321, -5.1013, 0.0282
-4.8233, 0.0361, -5.2171, 0.0266
-3.3591, 0.0423, -5.3134, 0.0239
-3.1984, 0.0389, -5.3184, 0.0221
-4.5802, 0.0391, -5.3306, 0.0218
-4.8590, 0.0337, -5.3587, 0.0219
-4.1719, 0.0312, -5.3903, 0.0220
-4.1019, 0.0365, -5.3657, 0.0213
-4.3965, 0.0488, -5.2967, 0.0224
-4.1278, 0.0302, -5.2045, 0.0243
-4.2827, 0.0279, -5.1165, 0.0271
-4.1891, 0.0417, -4.9797, 0.0313
-4.0364, 0.0442, -4.8673, 0.0348
-3.9059, 0.0409, -4.7492, 0.0375
-4.3026, 0.0442, -4.6451, 0.0398
-3.7056, 0.0459, -4.5407, 0.0403
-4.8504, 0.0312, -4.4773, 0.0405
-4.6134, 0.0371, -4.4450, 0.0401
-3.9497, 0.0457, -4.4357, 0.0393
-4.0379, 0.0414, -4.4497, 0.0382
-4.1377, 0.0476, -4.4828, 0.0369
-4.1061, 0.0504, -4.5311, 0.0356
-4.5327, 0.0403, -4.5949, 0.0343
-4.2636, 0.0422, -4.6751, 0.0330
-4.5185, 0.0310, -4.7609, 0.0318
-4.3465, 0.0419, -4.8459, 0.0307
-4.3405, 0.0292, -4.9050, 0.0297
-4.5393, 0.0335, -4.9497, 0.0287
-4.2766, 0.0413, -4.9993, 0.0278
-4.4805, 0.0345, -5.0614, 0.0267
