train running loss, train running l2 error, val loss, val l2 error
-3.9221, 0.0418, -4.6687, 0.0416
-4.2687, 0.0448, -4.3836, 0.0434
-4.0709, 0.0453, -4.3992, 0.0398
-4.1343, 0.0428, -4.5895, 0.0359
-4.3594, 0.0402, -4.7683, 0.0342
-4.4036, 0.0395, -4.7707, 0.0330
-4.3172, 0.0388, -4.7877, 0.0308
-4.4682, 0.0373, -4.7881, 0.0306
-4.5962, 0.0367, -4.8121, 0.0320
-4.4828, 0.0387, -4.8723, 0.0330
-4.5098, 0.0382, -4.9121, 0.0330
-4.6387, 0.0379, -4.9613, 0.0334
-4.5051, 0.0394, -5.0622, 0.0332
-4.6443, 0.0373, -5.1160, 0.0324
-4.6218, 0.0387, -5.0511, 0.0324
-4.6359, 0.0386, -5.0431, 0.0341
-4.6629, 0.0391, -5.0609, 0.0342
-4.7180, 0.0381, -5.0800, 0.0332
-4.7107, 0.0387, -5.0829, 0.0327
-4.7047, 0.0382, -5.0963, 0.0343
-4.6562, 0.0394, -5.1046, 0.0352
-4.7510, 0.0385, -5.1306, 0.0335
-4.7330, 0.0388, -5.1525, 0.0335
-4.7139, 0.0386, -5.1785, 0.0345
-4.7807, 0.0378, -5.1187, 0.0341
-4.7111, 0.0390, -5.1600, 0.0343
-4.7180, 0.0394, -5.1644, 0.0337
-4.7996, 0.0372, -5.1292, 0.0337
-4.7311, 0.0392, -5.1608, 0.0344
-4.8022, 0.0375, -5.1988, 0.0338
-4.7277, 0.0397, -5.1391, 0.0325
-4.6436, 0.0392, -5.1388, 0.0350
-4.7082, 0.0398, -5.1314, 0.0352
-4.6865, 0.0396, -5.1251, 0.0335
-4.7663, 0.0388, -5.2202, 0.0325
-4.7264, 0.0373, -5.1956, 0.0321
-4.8157, 0.0370, -5.1617, 0.0333
-4.8056, 0.0381, -5.1598, 0.0353
-4.7236, 0.0402, -5.1692, 0.0357
-4.7805, 0.0393, -5.0664, 0.0350
-4.7054, 0.0395, -5.0991, 0.0351
-4.7183, 0.0396, -5.1989, 0.0355
-4.7154, 0.0378, -5.1244, 0.0329
-4.5766, 0.0397, -5.0564, 0.0340
-4.6663, 0.0409, -5.0867, 0.0368
-4.6267, 0.0409, -5.0995, 0.0352
-4.7275, 0.0383, -5.0623, 0.0338
-4.6418, 0.0398, -5.0801, 0.0338
-4.7154, 0.0393, -5.1313, 0.0362
-4.5941, 0.0405, -5.1353, 0.0349
-4.6671, 0.0397, -5.0616, 0.0327
-4.6716, 0.0396, -5.1033, 0.0325
-4.7084, 0.0378, -5.1019, 0.0346
-4.7607, 0.0388, -5.0755, 0.0350
-4.7336, 0.0384, -5.1451, 0.0333
-4.7634, 0.0387, -5.2360, 0.0321
-4.7791, 0.0379, -5.2138, 0.0322
-4.8069, 0.0371, -5.1523, 0.0335
-4.7945, 0.0388, -5.2246, 0.0348
-4.7885, 0.0381, -5.1725, 0.0338
-4.7495, 0.0388, -5.2292, 0.0338
-4.8237, 0.0380, -5.2313, 0.0350
-4.7487, 0.0394, -5.1247, 0.0341
-4.7345, 0.0391, -5.1312, 0.0341
-4.7984, 0.0393, -5.2092, 0.0338
-4.8008, 0.0384, -5.2182, 0.0320
-4.7359, 0.0386, -5.2518, 0.0333
-4.8060, 0.0381, -5.1952, 0.0343
-4.8175, 0.0385, -5.1598, 0.0340
-4.8354, 0.0386, -5.2289, 0.0343
-4.8124, 0.0394, -5.2520, 0.0343
-4.8958, 0.0382, -5.2536, 0.0333
-4.8370, 0.0373, -5.3050, 0.0330
-4.8564, 0.0385, -5.2430, 0.0328
-4.7317, 0.0392, -5.2049, 0.0347
-4.8325, 0.0400, -5.2888, 0.0346
-4.8556, 0.0386, -5.2767, 0.0315
-4.7932, 0.0380, -5.3528, 0.0322
-4.7561, 0.0378, -5.1624, 0.0330
-4.7142, 0.0400, -5.0548, 0.0351
-4.8687, 0.0386, -5.1871, 0.0365
-4.7929, 0.0395, -5.2699, 0.0347
-4.8323, 0.0392, -5.2355, 0.0324
-4.7535, 0.0391, -5.2852, 0.0333
-4.7893, 0.0393, -5.2455, 0.0342
-4.8498, 0.0374, -5.2052, 0.0333
-4.9047, 0.0384, -5.2661, 0.0336
-4.8325, 0.0385, -5.2708, 0.0338
-4.9181, 0.0383, -5.2959, 0.0339
-4.8731, 0.0388, -5.3117, 0.0345
-4.8280, 0.0394, -5.2583, 0.0337
-4.8272, 0.0388, -5.2804, 0.0343
-4.7952, 0.0390, -5.2130, 0.0341
-4.7969, 0.0388, -5.2389, 0.0342
-4.8456, 0.0390, -5.3129, 0.0333
-4.8078, 0.0391, -5.2453, 0.0332
-4.7847, 0.0389, -5.2059, 0.0352
-4.8307, 0.0410, -5.1894, 0.0350
-4.8822, 0.0387, -5.2643, 0.0336
-4.8361, 0.0382, -5.3045, 0.0329
-4.9247, 0.0378, -5.3331, 0.0311
-4.8232, 0.0380, -5.2823, 0.0328
-4.8611, 0.0388, -5.2444, 0.0377
-4.8127, 0.0409, -5.1935, 0.0350
-4.8267, 0.0392, -5.2629, 0.0329
-4.8553, 0.0378, -5.3609, 0.0322
-4.8835, 0.0375, -5.2341, 0.0327
-4.7921, 0.0391, -5.2659, 0.0352
-4.8275, 0.0396, -5.1740, 0.0339
-4.7851, 0.0402, -5.2330, 0.0337
-4.8437, 0.0393, -5.3860, 0.0350
-4.8449, 0.0382, -5.2408, 0.0336
-4.7882, 0.0389, -5.2404, 0.0324
-4.8405, 0.0385, -5.2184, 0.0331
-4.7739, 0.0376, -5.1566, 0.0321
-4.7163, 0.0402, -5.1256, 0.0340
-4.6709, 0.0402, -5.1525, 0.0357
-4.8422, 0.0391, -5.2527, 0.0350
-4.7894, 0.0394, -5.2715, 0.0336
-4.8136, 0.0382, -5.2497, 0.0324
-4.8665, 0.0380, -5.2202, 0.0322
-4.9456, 0.0374, -5.2549, 0.0326
-4.8881, 0.0377, -5.3879, 0.0309
-4.9336, 0.0370, -5.4164, 0.0314
-4.9352, 0.0371, -5.3330, 0.0341
-4.9107, 0.0389, -5.3007, 0.0364
-4.8556, 0.0397, -5.2717, 0.0341
-4.7809, 0.0405, -5.2727, 0.0331
-4.9947, 0.0371, -5.3952, 0.0341
-4.8294, 0.0402, -5.3496, 0.0343
-4.8222, 0.0392, -5.3194, 0.0331
-4.9469, 0.0383, -5.2071, 0.0339
-4.8470, 0.0402, -5.2930, 0.0355
-4.9487, 0.0392, -5.3500, 0.0335
-4.8941, 0.0391, -5.4418, 0.0326
-4.8188, 0.0388, -5.3201, 0.0331
-4.8943, 0.0390, -5.3447, 0.0343
-5.0148, 0.0393, -5.3962, 0.0344
-4.9125, 0.0381, -5.3843, 0.0317
-4.9074, 0.0382, -5.4348, 0.0317
-4.9736, 0.0381, -5.3815, 0.0335
-4.9190, 0.0395, -5.3769, 0.0354
-4.9221, 0.0403, -5.3884, 0.0354
-4.9115, 0.0395, -5.3894, 0.0328
-4.8372, 0.0378, -5.3999, 0.0313
-4.9075, 0.0378, -5.2479, 0.0312
-4.8752, 0.0379, -5.3561, 0.0341
-4.8938, 0.0393, -5.3830, 0.0345
-4.9219, 0.0385, -5.3352, 0.0334
-5.0157, 0.0384, -5.4151, 0.0344
-4.9135, 0.0385, -5.3442, 0.0330
-4.9173, 0.0392, -5.3436, 0.0329
-4.9439, 0.0388, -5.3613, 0.0337
-4.9868, 0.0388, -5.4212, 0.0321
-4.9405, 0.0382, -5.4752, 0.0322
-4.9462, 0.0385, -5.3634, 0.0339
-4.9478, 0.0394, -5.3497, 0.0356
-4.9824, 0.0387, -5.3726, 0.0348
-4.9310, 0.0396, -5.4648, 0.0329
-5.0349, 0.0381, -5.4255, 0.0319
-4.8665, 0.0386, -5.4047, 0.0315
-5.0359, 0.0378, -5.4321, 0.0326
-5.0413, 0.0381, -5.5034, 0.0353
-4.9971, 0.0398, -5.3669, 0.0336
-4.7443, 0.0385, -5.2056, 0.0318
-4.6433, 0.0391, -5.0149, 0.0323
-4.6650, 0.0398, -5.0636, 0.0354
-4.7132, 0.0418, -5.1168, 0.0378
-4.8121, 0.0412, -5.2442, 0.0355
-4.8542, 0.0396, -5.3376, 0.0315
-4.7985, 0.0387, -5.3074, 0.0312
-5.0201, 0.0368, -5.2979, 0.0326
-4.8745, 0.0380, -5.2635, 0.0326
-4.8361, 0.0390, -5.2622, 0.0327
-4.9532, 0.0372, -5.4058, 0.0320
-4.9307, 0.0388, -5.4473, 0.0307
-4.9604, 0.0376, -5.4095, 0.0308
-4.9851, 0.0375, -5.4175, 0.0326
-5.0186, 0.0376, -5.3885, 0.0340
-4.9779, 0.0387, -5.3876, 0.0355
-4.9803, 0.0390, -5.3900, 0.0336
-4.9678, 0.0386, -5.4716, 0.0311
-4.9947, 0.0376, -5.5051, 0.0304
-5.0225, 0.0371, -5.5064, 0.0332
-4.9600, 0.0391, -5.4237, 0.0337
-5.0026, 0.0392, -5.4143, 0.0343
-5.0279, 0.0391, -5.4682, 0.0340
-5.0401, 0.0384, -5.5155, 0.0309
-4.9284, 0.0377, -5.5406, 0.0290
-5.0017, 0.0373, -5.5318, 0.0314
-5.0308, 0.0384, -5.4391, 0.0330
-4.9830, 0.0392, -5.4663, 0.0333
-4.9984, 0.0384, -5.4677, 0.0326
-4.9693, 0.0385, -5.4406, 0.0327
-5.0634, 0.0376, -5.4394, 0.0322
-4.9923, 0.0384, -5.4324, 0.0319
-4.9810, 0.0378, -5.4162, 0.0337
-4.9626, 0.0402, -5.4173, 0.0329
