train running loss, train running l2 error, val loss, val l2 error
-4.5755, 0.0493, -5.1556, 0.0434
-4.8074, 0.0480, -5.2867, 0.0421
-4.6459, 0.0468, -5.0308, 0.0452
-4.7164, 0.0471, -5.2403, 0.0403
-4.7828, 0.0457, -5.2071, 0.0420
-4.6898, 0.0450, -5.2103, 0.0388
-4.6976, 0.0450, -5.1836, 0.0384
-4.9143, 0.0428, -5.5067, 0.0345
-4.8669, 0.0427, -5.2902, 0.0377
-4.8643, 0.0421, -5.4113, 0.0358
-4.8564, 0.0432, -5.2814, 0.0387
-5.0546, 0.0424, -5.6511, 0.0341
-4.9693, 0.0413, -5.3789, 0.0379
-4.7844, 0.0437, -5.2235, 0.0361
-4.8754, 0.0424, -5.5803, 0.0349
-5.0095, 0.0418, -5.5182, 0.0330
-5.0551, 0.0398, -5.5468, 0.0323
-5.0478, 0.0404, -5.6659, 0.0307
-4.8760, 0.0409, -5.3562, 0.0354
-4.9415, 0.0412, -5.4957, 0.0332
-5.1522, 0.0396, -5.7344, 0.0319
-4.7226, 0.0402, -5.1388, 0.0326
-4.8794, 0.0397, -5.5314, 0.0310
-5.0282, 0.0385, -5.6241, 0.0345
-5.0623, 0.0398, -5.5141, 0.0330
-5.0901, 0.0406, -5.5491, 0.0363
-5.1092, 0.0391, -5.7385, 0.0302
-4.9893, 0.0399, -5.5411, 0.0318
-5.1215, 0.0386, -5.6994, 0.0312
-5.3064, 0.0364, -5.9063, 0.0292
-4.8544, 0.0397, -5.1332, 0.0330
-4.9562, 0.0386, -5.5889, 0.0301
-5.0953, 0.0382, -5.4194, 0.0353
-5.0242, 0.0380, -5.4388, 0.0340
-5.1286, 0.0376, -5.7401, 0.0311
-5.2657, 0.0361, -5.5832, 0.0361
-5.1232, 0.0392, -5.5964, 0.0338
-5.1915, 0.0383, -5.7527, 0.0317
-5.2493, 0.0376, -5.8377, 0.0310
-5.0639, 0.0410, -5.5309, 0.0372
-5.0401, 0.0389, -5.5902, 0.0310
-5.1218, 0.0369, -5.4190, 0.0358
-5.0718, 0.0399, -5.5787, 0.0342
-5.1020, 0.0376, -5.5849, 0.0322
-5.0577, 0.0374, -5.5967, 0.0300
-5.0781, 0.0376, -5.6441, 0.0307
-5.2639, 0.0361, -5.8345, 0.0295
-5.2999, 0.0361, -5.8287, 0.0311
-5.2502, 0.0369, -5.7794, 0.0306
-5.1632, 0.0388, -5.5695, 0.0339
-5.3042, 0.0373, -5.8947, 0.0305
-5.3047, 0.0362, -5.7247, 0.0330
-5.2753, 0.0360, -5.8472, 0.0282
-5.2030, 0.0369, -5.6786, 0.0331
-5.2133, 0.0371, -5.8037, 0.0307
-5.2969, 0.0365, -5.7050, 0.0322
-5.2870, 0.0369, -5.7652, 0.0318
-5.4201, 0.0351, -5.9660, 0.0285
-5.0486, 0.0374, -5.4789, 0.0322
-5.1528, 0.0363, -5.7636, 0.0293
-5.3173, 0.0367, -5.8711, 0.0311
-5.2273, 0.0361, -5.7780, 0.0320
-4.8654, 0.0374, -5.2046, 0.0310
-4.9654, 0.0367, -5.4506, 0.0292
-5.2382, 0.0353, -5.8992, 0.0273
-5.4161, 0.0347, -6.0768, 0.0295
-5.3663, 0.0366, -5.7138, 0.0326
-5.2848, 0.0355, -5.7389, 0.0316
-5.2561, 0.0371, -5.6388, 0.0343
-5.3036, 0.0374, -5.8585, 0.0332
-5.4127, 0.0364, -5.9339, 0.0298
-5.2502, 0.0347, -5.6508, 0.0321
-5.1168, 0.0384, -5.4884, 0.0341
-5.2618, 0.0350, -5.9099, 0.0269
-5.3173, 0.0351, -5.9134, 0.0309
-5.4871, 0.0351, -5.8944, 0.0295
-5.2755, 0.0349, -5.5989, 0.0312
-5.3420, 0.0350, -5.8514, 0.0284
-5.4259, 0.0335, -5.9512, 0.0278
-5.4466, 0.0343, -5.9447, 0.0296
-5.5135, 0.0338, -6.0850, 0.0288
-5.3096, 0.0353, -5.8246, 0.0314
