train running loss, train running l2 error, val loss, val l2 error
-4.9897, 0.0739, -5.7886, 0.0233
-5.0730, 0.0746, -5.8397, 0.0231
-5.0488, 0.0751, -5.8549, 0.0233
-5.0899, 0.0749, -5.8727, 0.0237
-5.0878, 0.0756, -5.7981, 0.0253
-5.0599, 0.0701, -5.8788, 0.0227
-4.9760, 0.0754, -5.7807, 0.0265
-5.0698, 0.0748, -5.7955, 0.0238
-5.0658, 0.0751, -5.8535, 0.0225
-5.0855, 0.0748, -5.8612, 0.0238
-5.0800, 0.0751, -5.8855, 0.0240
-5.0959, 0.0762, -5.8869, 0.0232
-5.0908, 0.0737, -5.8977, 0.0226
-5.0469, 0.0767, -5.8813, 0.0238
-5.0312, 0.0743, -5.8687, 0.0225
-5.1055, 0.0745, -5.8673, 0.0239
-5.0201, 0.0756, -5.8621, 0.0268
-5.0180, 0.0754, -5.8648, 0.0234
-5.0694, 0.0725, -5.8046, 0.0238
-5.1126, 0.0760, -5.8261, 0.0245
-5.0846, 0.0740, -5.8536, 0.0249
-5.0325, 0.0757, -5.7796, 0.0252
-5.1107, 0.0773, -5.8363, 0.0249
-5.0517, 0.0729, -5.7711, 0.0274
-4.9655, 0.0754, -5.7586, 0.0252
-4.9807, 0.0755, -5.7320, 0.0277
-5.0046, 0.0779, -5.8040, 0.0232
-5.0794, 0.0748, -5.8157, 0.0242
-5.0980, 0.0764, -5.8305, 0.0250
-5.0694, 0.0753, -5.8525, 0.0252
-5.0476, 0.0759, -5.7888, 0.0238
-4.9932, 0.0760, -5.7819, 0.0234
-4.9532, 0.0758, -5.7654, 0.0250
-5.0180, 0.0722, -5.7954, 0.0230
-5.0816, 0.0747, -5.8435, 0.0233
-5.0127, 0.0743, -5.8713, 0.0224
-5.0725, 0.0753, -5.8976, 0.0225
-5.0294, 0.0720, -5.8227, 0.0249
-5.0231, 0.0761, -5.8395, 0.0236
-5.0271, 0.0760, -5.8365, 0.0224
-5.0238, 0.0767, -5.7654, 0.0243
-5.1206, 0.0705, -5.8562, 0.0230
-5.1007, 0.0745, -5.8420, 0.0238
-5.0822, 0.0732, -5.8287, 0.0237
-5.0269, 0.0759, -5.8442, 0.0237
-5.0167, 0.0744, -5.7151, 0.0243
-5.0313, 0.0779, -5.8143, 0.0243
-5.0582, 0.0757, -5.8749, 0.0231
