train running loss, train running l2 error, val loss, val l2 error
-2.7418, 0.0972, -3.9004, 0.0466
-3.6622, 0.0779, -4.7522, 0.0294
-3.9569, 0.0806, -4.8510, 0.0251
-4.4325, 0.0772, -5.1691, 0.0236
-4.4292, 0.0771, -5.0933, 0.0219
-4.5000, 0.0751, -5.2718, 0.0251
-4.1134, 0.0806, -4.8476, 0.0234
-4.2630, 0.0811, -4.9969, 0.0282
-4.6464, 0.0697, -5.3507, 0.0245
-4.6721, 0.0762, -5.2198, 0.0248
-4.3664, 0.0738, -4.9606, 0.0276
-4.4128, 0.0729, -5.1466, 0.0201
-4.5856, 0.0734, -5.3764, 0.0189
-4.6338, 0.0716, -5.2882, 0.0238
-4.8282, 0.0693, -5.5820, 0.0204
-4.1155, 0.0796, -4.3048, 0.0328
-4.2821, 0.0784, -5.2444, 0.0293
-4.4901, 0.0720, -5.0894, 0.0286
-4.5937, 0.0722, -5.2313, 0.0222
-4.6582, 0.0740, -5.4632, 0.0169
-4.8067, 0.0703, -5.5259, 0.0193
-4.7183, 0.0718, -5.5175, 0.0190
-4.6542, 0.0701, -5.3083, 0.0225
-4.6945, 0.0738, -5.4424, 0.0197
-4.6253, 0.0752, -5.2263, 0.0222
-4.6678, 0.0746, -5.2226, 0.0202
-4.1135, 0.0749, -4.7905, 0.0242
-4.2756, 0.0768, -5.0461, 0.0210
-4.4744, 0.0720, -5.3162, 0.0204
-4.5645, 0.0729, -5.3135, 0.0261
-4.5627, 0.0770, -5.4041, 0.0210
-4.6454, 0.0737, -5.4045, 0.0214
-4.6321, 0.0758, -5.3862, 0.0245
-4.6669, 0.0741, -5.4478, 0.0248
-4.6368, 0.0721, -5.3481, 0.0223
-4.5755, 0.0781, -5.3195, 0.0238
-4.6267, 0.0727, -5.3792, 0.0225
-4.6983, 0.0719, -5.3480, 0.0216
-4.6894, 0.0742, -5.4479, 0.0227
-4.6824, 0.0736, -5.4639, 0.0202
-4.6606, 0.0719, -5.4581, 0.0186
-4.6393, 0.0744, -5.3417, 0.0202
-4.7483, 0.0723, -5.4960, 0.0228
-4.5047, 0.0742, -5.1839, 0.0221
-4.6650, 0.0720, -5.4683, 0.0207
-4.7430, 0.0705, -5.3175, 0.0218
-4.5656, 0.0747, -5.2062, 0.0215
-4.6250, 0.0700, -5.3322, 0.0227
-4.7397, 0.0720, -5.5554, 0.0212
-4.7501, 0.0715, -5.4756, 0.0235
-4.6933, 0.0714, -5.3909, 0.0188
-4.8266, 0.0701, -5.6023, 0.0226
-4.7626, 0.0720, -5.4420, 0.0218
-4.6543, 0.0753, -5.3258, 0.0210
-4.5493, 0.0725, -5.2951, 0.0193
-4.6769, 0.0745, -5.4350, 0.0201
-4.7068, 0.0756, -5.4590, 0.0232
-4.7267, 0.0739, -5.4802, 0.0247
-4.8754, 0.0723, -5.5550, 0.0205
-4.4029, 0.0721, -5.0473, 0.0231
-4.4638, 0.0732, -5.2092, 0.0209
-4.6221, 0.0713, -5.4239, 0.0190
-4.7031, 0.0719, -5.4990, 0.0197
-4.7032, 0.0735, -5.1544, 0.0239
-4.5093, 0.0760, -5.2768, 0.0249
-4.6109, 0.0770, -5.4025, 0.0222
-4.7106, 0.0753, -5.4047, 0.0227
-4.7690, 0.0749, -5.4755, 0.0188
-4.6186, 0.0757, -5.0712, 0.0237
-4.5630, 0.0742, -5.3113, 0.0206
-4.6791, 0.0717, -5.3767, 0.0238
-4.7163, 0.0733, -5.4700, 0.0221
-4.8127, 0.0708, -5.6161, 0.0209
-4.7003, 0.0708, -5.4072, 0.0231
-4.7723, 0.0737, -5.5950, 0.0190
-4.7244, 0.0734, -5.4786, 0.0182
-4.8008, 0.0735, -5.5535, 0.0167
-4.6597, 0.0720, -5.3276, 0.0206
-4.4385, 0.0764, -5.1357, 0.0215
-4.6363, 0.0729, -5.5119, 0.0217
-4.6426, 0.0711, -5.3357, 0.0173
-4.6478, 0.0754, -5.3813, 0.0199
-4.7304, 0.0717, -5.5862, 0.0189
-4.8076, 0.0720, -5.5896, 0.0180
-4.7557, 0.0706, -5.3970, 0.0201
-4.6557, 0.0719, -5.5046, 0.0185
-4.8081, 0.0749, -5.5934, 0.0212
-4.6370, 0.0775, -5.3391, 0.0243
-4.3687, 0.0765, -5.1315, 0.0219
-4.6298, 0.0696, -5.4013, 0.0250
-4.6367, 0.0725, -5.2696, 0.0224
-4.6833, 0.0733, -5.5308, 0.0219
-4.7069, 0.0726, -5.4093, 0.0213
-4.7626, 0.0750, -5.5264, 0.0193
-4.7051, 0.0755, -5.3807, 0.0174
-4.6912, 0.0694, -5.3879, 0.0183
-4.6427, 0.0728, -5.2415, 0.0268
-4.6218, 0.0715, -5.2235, 0.0251
-4.5899, 0.0712, -5.3688, 0.0209
-4.7264, 0.0718, -4.2243, 0.0494
-3.0283, 0.0898, -4.1403, 0.0388
-3.8366, 0.0839, -4.4480, 0.0366
-4.0304, 0.0799, -4.8220, 0.0269
-4.3994, 0.0746, -5.1355, 0.0239
-4.4517, 0.0802, -5.1691, 0.0213
-4.5184, 0.0730, -5.2156, 0.0278
-4.5986, 0.0781, -5.3841, 0.0219
-4.6484, 0.0756, -5.3505, 0.0221
-4.6432, 0.0748, -5.3448, 0.0202
-4.6181, 0.0718, -5.2537, 0.0234
-4.6171, 0.0740, -5.3989, 0.0220
-4.6519, 0.0747, -5.3835, 0.0246
-4.6305, 0.0740, -5.4153, 0.0205
-4.7932, 0.0725, -5.5323, 0.0178
-4.6668, 0.0746, -5.4982, 0.0197
-4.6244, 0.0765, -5.3424, 0.0228
-4.7236, 0.0743, -5.5447, 0.0201
-4.7600, 0.0722, -5.5260, 0.0197
-4.7606, 0.0702, -5.4753, 0.0212
-4.6100, 0.0777, -5.2935, 0.0220
-4.6197, 0.0752, -5.4675, 0.0231
-4.6823, 0.0746, -5.4374, 0.0200
-4.7602, 0.0729, -5.5015, 0.0221
-4.7514, 0.0716, -5.4898, 0.0202
-4.7669, 0.0760, -5.5922, 0.0185
-4.7909, 0.0726, -5.5587, 0.0231
-4.7674, 0.0687, -5.4430, 0.0216
-4.8165, 0.0723, -5.6051, 0.0222
-4.5089, 0.0740, -5.2025, 0.0229
-4.6393, 0.0736, -5.4294, 0.0216
-4.5918, 0.0708, -5.2645, 0.0212
-4.6734, 0.0740, -5.2673, 0.0260
-4.7432, 0.0754, -5.5194, 0.0188
-4.7947, 0.0704, -5.5731, 0.0206
-4.8469, 0.0710, -5.6118, 0.0191
-4.7179, 0.0715, -5.4638, 0.0206
-4.7523, 0.0719, -5.5158, 0.0208
-4.7227, 0.0731, -5.5038, 0.0197
-4.8091, 0.0727, -5.5426, 0.0217
-4.8789, 0.0693, -5.5077, 0.0193
-4.7534, 0.0737, -5.5681, 0.0188
-4.6910, 0.0719, -5.3933, 0.0216
-4.6751, 0.0755, -5.3645, 0.0235
-4.5843, 0.0764, -5.3076, 0.0247
-4.6731, 0.0746, -5.4399, 0.0197
-4.7855, 0.0669, -5.5020, 0.0227
-4.8369, 0.0693, -5.5746, 0.0205
-4.7867, 0.0725, -5.4014, 0.0254
-4.7208, 0.0726, -5.2947, 0.0220
-4.6939, 0.0755, -5.5208, 0.0211
-4.7882, 0.0706, -5.5904, 0.0201
-4.6728, 0.0730, -5.4171, 0.0197
-4.6858, 0.0737, -5.4260, 0.0202
-4.8349, 0.0690, -5.6374, 0.0206
-4.7856, 0.0733, -5.6553, 0.0185
-4.7852, 0.0687, -5.4810, 0.0202
-4.7592, 0.0732, -5.5544, 0.0184
-4.8453, 0.0716, -5.5779, 0.0164
-4.7748, 0.0731, -5.4098, 0.0225
-4.5107, 0.0742, -5.2381, 0.0206
-4.6534, 0.0717, -5.4407, 0.0218
-4.8115, 0.0780, -5.6087, 0.0229
-4.7144, 0.0742, -5.2809, 0.0272
-4.7176, 0.0770, -5.5155, 0.0194
-4.6528, 0.0719, -5.4943, 0.0224
-4.8360, 0.0715, -5.4891, 0.0206
-4.7629, 0.0723, -5.3068, 0.0225
-4.5258, 0.0741, -5.2474, 0.0200
-4.6773, 0.0734, -5.3959, 0.0225
-4.7990, 0.0715, -5.5692, 0.0231
-4.7774, 0.0745, -5.5130, 0.0222
-4.6415, 0.0733, -5.3972, 0.0221
-4.6707, 0.0778, -5.4310, 0.0235
-4.6704, 0.0735, -5.2778, 0.0219
-4.6279, 0.0735, -5.4381, 0.0171
-4.7685, 0.0714, -5.4976, 0.0219
-4.7514, 0.0746, -5.5457, 0.0203
-4.7380, 0.0694, -5.4716, 0.0295
-4.7373, 0.0748, -5.4382, 0.0226
-4.7227, 0.0754, -5.5310, 0.0191
-4.7887, 0.0747, -5.5672, 0.0176
-4.7883, 0.0703, -5.4726, 0.0245
-4.7349, 0.0734, -5.4735, 0.0214
-4.8746, 0.0732, -5.7024, 0.0196
-4.7995, 0.0712, -5.4384, 0.0263
-4.5935, 0.0747, -5.3225, 0.0225
-4.5946, 0.0722, -5.3450, 0.0254
-4.6679, 0.0770, -5.4809, 0.0239
-4.7311, 0.0761, -5.5643, 0.0242
-4.7337, 0.0743, -5.4385, 0.0231
-4.7234, 0.0763, -5.4284, 0.0252
-4.6157, 0.0752, -5.3977, 0.0209
-4.7670, 0.0675, -5.5307, 0.0239
-4.7532, 0.0744, -5.4714, 0.0229
-4.8441, 0.0743, -5.6850, 0.0196
-4.6866, 0.0724, -5.3715, 0.0269
-4.7614, 0.0730, -5.5469, 0.0214
-4.7831, 0.0711, -5.4736, 0.0215
-4.8105, 0.0754, -5.6521, 0.0209
-4.7024, 0.0727, -5.3778, 0.0260
-4.7245, 0.0739, -5.5295, 0.0234
-4.7748, 0.0753, -5.5052, 0.0216
-4.6857, 0.0757, -5.4264, 0.0213
-4.7909, 0.0751, -5.5563, 0.0235
-4.7877, 0.0734, -5.5001, 0.0195
-4.7575, 0.0700, -5.3853, 0.0240
-4.7812, 0.0712, -5.5293, 0.0204
-4.8415, 0.0735, -5.5810, 0.0204
-4.8298, 0.0741, -5.6104, 0.0196
-4.6720, 0.0724, -5.4013, 0.0254
-4.7500, 0.0735, -5.5299, 0.0281
-4.7821, 0.0739, -5.5393, 0.0194
-4.5660, 0.0750, -5.2681, 0.0226
-4.6526, 0.0735, -5.4257, 0.0209
-4.8283, 0.0691, -5.6635, 0.0194
-4.8296, 0.0723, -5.5614, 0.0202
-4.8486, 0.0704, -5.4785, 0.0244
-4.8430, 0.0785, -5.5998, 0.0239
-4.6942, 0.0761, -5.4123, 0.0242
-4.7186, 0.0722, -5.4777, 0.0213
-4.8942, 0.0702, -5.5564, 0.0218
-4.8560, 0.0661, -5.5785, 0.0203
-4.8513, 0.0736, -5.6120, 0.0250
-4.6543, 0.0744, -5.3558, 0.0211
-4.7232, 0.0711, -5.5094, 0.0269
-4.8436, 0.0723, -5.6351, 0.0224
-4.7102, 0.0722, -5.6111, 0.0202
