train running loss, train running l2 error, val loss, val l2 error
1.5674, 0.5650, 0.2263, 0.2227
0.4339, 0.3102, -0.5288, 0.1764
0.1101, 0.2947, -0.5058, 0.1926
-0.0890, 0.2747, -0.5618, 0.2041
-0.2908, 0.2488, -0.7364, 0.1917
-0.4798, 0.2223, -0.9509, 0.1585
-0.6688, 0.2058, -1.0304, 0.1677
-0.8365, 0.1920, -1.4903, 0.1152
-0.9522, 0.1791, -1.3396, 0.1545
-1.0309, 0.1779, -1.3284, 0.1614
-1.1131, 0.1739, -1.5155, 0.1531
-1.1819, 0.1687, -1.4514, 0.1565
-1.2211, 0.1682, -1.6839, 0.1330
-1.3391, 0.1596, -1.6216, 0.1390
-1.2981, 0.1628, -1.5742, 0.1459
-1.2988, 0.1640, -1.3790, 0.1717
-1.3362, 0.1603, -1.6597, 0.1274
-1.3700, 0.1548, -1.5715, 0.1523
-1.4191, 0.1561, -1.6392, 0.1451
-1.4577, 0.1553, -1.6394, 0.1590
-1.4632, 0.1568, -1.5232, 0.1667
-1.4592, 0.1550, -1.9349, 0.1091
-1.5299, 0.1466, -1.9504, 0.1221
-1.5514, 0.1469, -2.0443, 0.1110
-1.5232, 0.1469, -1.7645, 0.1402
-1.5942, 0.1442, -1.8903, 0.1274
-1.6235, 0.1428, -1.9038, 0.1268
-1.6310, 0.1416, -2.0431, 0.1042
-1.6292, 0.1389, -2.0248, 0.1126
-1.6647, 0.1389, -2.1260, 0.0986
-1.6547, 0.1386, -2.1602, 0.1021
-1.7175, 0.1383, -1.9102, 0.1317
-1.7508, 0.1321, -2.1118, 0.1030
-1.7760, 0.1310, -1.8736, 0.1414
-1.7397, 0.1371, -2.1347, 0.0959
-1.6688, 0.1380, -2.2245, 0.0891
-1.7897, 0.1348, -2.2935, 0.0878
-1.8203, 0.1313, -2.0709, 0.1190
-1.8089, 0.1326, -1.9149, 0.1187
-1.6644, 0.1361, -2.0725, 0.1111
-1.6629, 0.1362, -2.1192, 0.0943
-1.7755, 0.1294, -1.9810, 0.1233
-1.8250, 0.1309, -2.2159, 0.1049
-1.9003, 0.1253, -2.2846, 0.0983
-1.9837, 0.1200, -2.4406, 0.0839
-1.9957, 0.1202, -2.3765, 0.1032
-2.0669, 0.1187, -2.6564, 0.0744
-2.0533, 0.1164, -2.6475, 0.0776
-2.1376, 0.1157, -2.6757, 0.0728
-2.1337, 0.1151, -2.7602, 0.0731
-2.2245, 0.1110, -2.7421, 0.0754
-2.0816, 0.1200, -2.7650, 0.0704
-2.1445, 0.1131, -2.7256, 0.0753
-2.2074, 0.1139, -2.7328, 0.0806
-2.1634, 0.1165, -2.7258, 0.0734
-2.2149, 0.1114, -2.6259, 0.0870
-2.2206, 0.1120, -2.7047, 0.0779
-2.2588, 0.1105, -2.6358, 0.0932
-2.2409, 0.1106, -2.6079, 0.0913
-2.3487, 0.1076, -2.9007, 0.0700
-2.2457, 0.1108, -2.7202, 0.0808
-2.2800, 0.1069, -2.7880, 0.0795
-2.3343, 0.1058, -2.7995, 0.0782
-2.3629, 0.1081, -2.7309, 0.0855
-2.4599, 0.1008, -2.8487, 0.0829
-2.3907, 0.1046, -2.7815, 0.0789
-2.3895, 0.1039, -2.9090, 0.0708
-2.4275, 0.1009, -2.7709, 0.0841
