train running loss, train running l2 error, val loss, val l2 error
1.5992, 0.1309, -1.4743, 0.1890
-1.1975, 0.2098, -1.0930, 0.2212
-1.3903, 0.1900, -1.6588, 0.1472
-1.8079, 0.1302, -2.0344, 0.1099
-2.0048, 0.1255, -2.2127, 0.1072
-2.2135, 0.1201, -2.4504, 0.1127
-2.4413, 0.1124, -2.5654, 0.1003
-2.6859, 0.0932, -2.8714, 0.0818
-2.8096, 0.0933, -2.9752, 0.0871
-2.9110, 0.0934, -2.9823, 0.0804
-3.0154, 0.0920, -3.1726, 0.0757
-3.1000, 0.0871, -3.1766, 0.0815
-3.1909, 0.0847, -3.2662, 0.0775
-3.2104, 0.0845, -3.3423, 0.0725
-3.2467, 0.0810, -3.0859, 0.0858
-3.2479, 0.0835, -3.3065, 0.0773
-3.3328, 0.0816, -3.3850, 0.0726
-3.3566, 0.0808, -3.3000, 0.0783
-3.4431, 0.0792, -3.3477, 0.0772
-3.4244, 0.0795, -3.1017, 0.0857
-3.2262, 0.0908, -3.1698, 0.0793
-3.4211, 0.0807, -3.1090, 0.0827
-3.5157, 0.0786, -3.3650, 0.0778
-3.4911, 0.0781, -3.2295, 0.0763
-3.5151, 0.0823, -3.3174, 0.0808
-3.5710, 0.0792, -3.3395, 0.0786
-3.6077, 0.0777, -3.1522, 0.0870
-3.6302, 0.0793, -3.3316, 0.0772
-3.6575, 0.0767, -3.1798, 0.0812
-3.5874, 0.0832, -3.4860, 0.0751
-3.6447, 0.0758, -3.3635, 0.0887
-3.6873, 0.0775, -3.5547, 0.0766
-3.7215, 0.0782, -3.4876, 0.0826
-3.8093, 0.0727, -3.3901, 0.0847
-3.5038, 0.0812, -2.8328, 0.0916
-3.5253, 0.0840, -2.6169, 0.0909
-3.5524, 0.0772, -2.7097, 0.0866
-3.6399, 0.0800, -3.0498, 0.0818
-3.7417, 0.0803, -3.2439, 0.0856
-3.7129, 0.0795, -3.3453, 0.0901
-3.6984, 0.0807, -3.3947, 0.0916
-3.6536, 0.0849, -3.5651, 0.0816
-3.7348, 0.0784, -3.4168, 0.0943
-3.7931, 0.0817, -3.5113, 0.0862
-3.7779, 0.0797, -3.1900, 0.0955
-3.7000, 0.0791, -3.1480, 0.0890
-3.6822, 0.0806, -2.9513, 0.0946
-3.7291, 0.0846, -3.0983, 0.0892
-3.7919, 0.0807, -2.9090, 0.0926
-3.8266, 0.0817, -2.7338, 0.0910
-3.8074, 0.0809, -2.6569, 0.0908
-3.8352, 0.0819, -2.4030, 0.1008
-3.6175, 0.0812, -3.2933, 0.0918
-3.7980, 0.0810, -3.6519, 0.0844
-3.8243, 0.0772, -3.6461, 0.0925
-3.8269, 0.0816, -3.6436, 0.0871
-3.9204, 0.0772, -3.7898, 0.0870
-3.8996, 0.0797, -3.6393, 0.0885
-3.7386, 0.0816, -3.3609, 0.0952
-3.7298, 0.0839, -3.2585, 0.0930
-3.7894, 0.0814, -3.3403, 0.0915
-3.8968, 0.0793, -3.3227, 0.0941
-3.9529, 0.0775, -3.4111, 0.0910
-3.9802, 0.0754, -3.0492, 0.0959
-3.9453, 0.0863, -3.0727, 0.0897
-3.9527, 0.0817, -2.9996, 0.0926
-3.9815, 0.0836, -2.8571, 0.0978
-4.0681, 0.0805, -2.8272, 0.0939
-4.0406, 0.0797, -2.6992, 0.0990
-3.9641, 0.0857, -2.9590, 0.0979
-4.0158, 0.0822, -3.0990, 0.0924
-4.0173, 0.0833, -2.9767, 0.0986
-4.0289, 0.0821, -2.9036, 0.0972
-4.0257, 0.0820, -2.4467, 0.1037
-3.9548, 0.0827, -2.5788, 0.0962
-3.9885, 0.0773, -2.8923, 0.0969
-4.0891, 0.0789, -3.2225, 0.0976
-3.4269, 0.0892, -2.5759, 0.1113
-3.4336, 0.0873, -2.7420, 0.0995
-3.4289, 0.0894, -2.6854, 0.1008
-3.6520, 0.0876, -2.9971, 0.0946
-3.8976, 0.0817, -3.1019, 0.0950
-3.9256, 0.0808, -3.0299, 0.0966
-3.9808, 0.0801, -2.7154, 0.0979
-3.9877, 0.0798, -2.8066, 0.0969
-4.0095, 0.0830, -2.8064, 0.0940
-4.0867, 0.0796, -2.7866, 0.0973
-4.0634, 0.0825, -2.6896, 0.1001
-4.1223, 0.0805, -2.7048, 0.0928
-4.1352, 0.0788, -2.4444, 0.1012
-3.7111, 0.0894, -2.8068, 0.1016
-3.8588, 0.0784, -3.4194, 0.1043
-3.8764, 0.0858, -3.7869, 0.0934
-4.0372, 0.0808, -3.9528, 0.0921
-4.0199, 0.0796, -3.5994, 0.1039
-3.9936, 0.0818, -3.7348, 0.0920
-4.0573, 0.0828, -3.7337, 0.0983
-4.0704, 0.0801, -3.8283, 0.0913
-4.1069, 0.0814, -3.7204, 0.0963
-4.0979, 0.0767, -3.5728, 0.0968
