train running loss, train running l2 error, val loss, val l2 error
8.7407, 0.9710, 1.2609, 0.3134
1.7167, 0.5354, 1.8737, 0.5995
1.7714, 0.5699, 1.3315, 0.4227
1.3951, 0.4397, 1.1923, 0.4006
1.0255, 0.3899, 0.5641, 0.3144
0.6033, 0.3607, -0.0188, 0.2722
0.1804, 0.3081, -0.2991, 0.2568
-0.1775, 0.2759, -0.3352, 0.2783
-0.3865, 0.2654, -1.0352, 0.2022
-0.4806, 0.2419, -0.7555, 0.2350
-0.7430, 0.2230, -1.2065, 0.1879
-0.8863, 0.2126, -1.2953, 0.1748
-1.1053, 0.1951, -1.4801, 0.1776
-1.2071, 0.1993, -1.5523, 0.1769
-1.2804, 0.1902, -1.6298, 0.1673
-1.3645, 0.1874, -1.7580, 0.1519
-1.4280, 0.1732, -1.7641, 0.1493
-1.4744, 0.1753, -1.7927, 0.1562
-1.5039, 0.1690, -1.8746, 0.1457
-1.5835, 0.1689, -1.8598, 0.1492
-1.6242, 0.1644, -1.9152, 0.1401
-1.7067, 0.1608, -2.0701, 0.1330
-1.7056, 0.1535, -1.9655, 0.1395
-1.6794, 0.1574, -1.9394, 0.1271
-1.7703, 0.1433, -2.1631, 0.1205
-1.9027, 0.1421, -2.3373, 0.1186
-1.9482, 0.1386, -2.3562, 0.1246
-1.9252, 0.1373, -2.2686, 0.1175
-1.9407, 0.1322, -2.2632, 0.1202
-1.9399, 0.1368, -2.3758, 0.1063
-2.0269, 0.1282, -2.4005, 0.1026
-2.1284, 0.1247, -2.4771, 0.1052
-2.1800, 0.1224, -2.6593, 0.0942
-2.2111, 0.1191, -2.7027, 0.0900
-2.2754, 0.1152, -2.6465, 0.0981
-2.2968, 0.1158, -2.7809, 0.0960
-2.3413, 0.1143, -2.6310, 0.0935
-2.2641, 0.1137, -2.6797, 0.0888
-2.3306, 0.1098, -2.7562, 0.0784
-2.4245, 0.1060, -2.8437, 0.0863
-2.4540, 0.1046, -3.0114, 0.0768
-2.4642, 0.1010, -2.9146, 0.0886
-2.4250, 0.1071, -2.9805, 0.0730
-2.5000, 0.1024, -2.7926, 0.0917
-2.4968, 0.1025, -3.0193, 0.0713
-2.5583, 0.1011, -2.9419, 0.0858
-2.6112, 0.0976, -3.1592, 0.0619
-2.5426, 0.1025, -2.8588, 0.1007
-2.5373, 0.1005, -2.8727, 0.0794
-2.5884, 0.0963, -3.0102, 0.0824
-2.6848, 0.0939, -3.1931, 0.0680
-2.7170, 0.0941, -3.1812, 0.0755
-2.7747, 0.0896, -3.2906, 0.0601
-2.7559, 0.0923, -3.1537, 0.0815
-2.7234, 0.0904, -3.1523, 0.0627
-2.7756, 0.0896, -3.2085, 0.0725
-2.8855, 0.0872, -3.2678, 0.0635
-2.5953, 0.0913, -2.9604, 0.0762
-2.5544, 0.0963, -2.6945, 0.0833
-2.6290, 0.0921, -3.0671, 0.0756
-2.7275, 0.0904, -3.2473, 0.0673
-2.8253, 0.0896, -3.3270, 0.0702
-2.8516, 0.0895, -3.3075, 0.0626
-2.8667, 0.0857, -3.2664, 0.0693
-2.8805, 0.0861, -3.2411, 0.0716
-2.9126, 0.0872, -3.3218, 0.0669
-2.9297, 0.0832, -3.3439, 0.0600
-2.9590, 0.0824, -3.3958, 0.0729
-2.9864, 0.0835, -3.4536, 0.0635
-2.9977, 0.0829, -3.3721, 0.0722
-3.0469, 0.0817, -3.4768, 0.0602
-3.0826, 0.0802, -3.5420, 0.0677
-3.0887, 0.0826, -3.5681, 0.0539
-3.0776, 0.0829, -3.4650, 0.0708
-3.0761, 0.0823, -3.5315, 0.0643
-3.1162, 0.0834, -3.5635, 0.0729
-3.0453, 0.0843, -3.3546, 0.0652
-3.0780, 0.0817, -3.3758, 0.0710
-3.0979, 0.0791, -3.5206, 0.0611
-3.0453, 0.0819, -3.5170, 0.0727
-3.1078, 0.0850, -3.4707, 0.0789
-3.0858, 0.0827, -3.4946, 0.0739
-3.0638, 0.0836, -3.5699, 0.0589
-3.1933, 0.0794, -3.5396, 0.0749
-3.1823, 0.0810, -3.6255, 0.0610
-3.1599, 0.0850, -3.5197, 0.0717
-3.1432, 0.0820, -3.6890, 0.0548
-3.1189, 0.0816, -3.5115, 0.0799
-3.1033, 0.0852, -3.4612, 0.0710
-3.1651, 0.0823, -3.5596, 0.0616
-3.0724, 0.0867, -3.5012, 0.0653
-3.1602, 0.0813, -3.6184, 0.0665
-3.2187, 0.0811, -3.7576, 0.0611
-3.2385, 0.0773, -3.7633, 0.0598
-3.2872, 0.0799, -3.6656, 0.0677
-3.2701, 0.0781, -3.8039, 0.0546
-3.1410, 0.0798, -3.3967, 0.0823
-3.0134, 0.0829, -3.2490, 0.0782
-2.9369, 0.0841, -3.2557, 0.0730
-3.1169, 0.0869, -3.6646, 0.0625
-3.1472, 0.0804, -3.6168, 0.0661
-3.2163, 0.0792, -3.6210, 0.0660
-3.2629, 0.0783, -3.7753, 0.0575
-3.3110, 0.0781, -3.6799, 0.0723
-3.2570, 0.0779, -3.7061, 0.0621
-3.3278, 0.0779, -3.7192, 0.0582
-3.3199, 0.0748, -3.7933, 0.0612
-3.3556, 0.0754, -3.8204, 0.0595
-3.3957, 0.0755, -3.8678, 0.0639
-3.3862, 0.0732, -3.9025, 0.0615
-3.4141, 0.0754, -3.9072, 0.0595
-3.4952, 0.0708, -3.8441, 0.0730
-3.3859, 0.0795, -3.8252, 0.0575
-3.2825, 0.0754, -3.6168, 0.0736
-3.2999, 0.0796, -3.7801, 0.0578
-3.3911, 0.0769, -3.7675, 0.0776
-3.3638, 0.0781, -3.8746, 0.0609
-3.3717, 0.0738, -3.7654, 0.0748
-3.3951, 0.0788, -3.8560, 0.0586
-3.3752, 0.0753, -3.7549, 0.0713
-3.3388, 0.0756, -3.8243, 0.0572
-3.4365, 0.0729, -3.8274, 0.0668
-3.4099, 0.0764, -3.9261, 0.0607
-3.4706, 0.0747, -3.9661, 0.0631
-3.4687, 0.0748, -3.9672, 0.0583
-3.4786, 0.0749, -3.8838, 0.0589
-3.4493, 0.0760, -3.8962, 0.0609
-3.4653, 0.0747, -3.9676, 0.0613
-3.4840, 0.0751, -3.9258, 0.0667
-3.5180, 0.0732, -3.9226, 0.0664
-3.4971, 0.0733, -3.9761, 0.0669
-3.5072, 0.0732, -3.9463, 0.0685
-3.5282, 0.0742, -3.9691, 0.0663
-3.4735, 0.0740, -4.0011, 0.0674
-3.4979, 0.0753, -3.9974, 0.0646
-3.5092, 0.0746, -4.0598, 0.0606
-3.5103, 0.0739, -4.0075, 0.0604
-3.5468, 0.0745, -4.0651, 0.0646
-3.5684, 0.0729, -4.1368, 0.0532
-3.5867, 0.0718, -4.0539, 0.0642
-3.6048, 0.0718, -4.1043, 0.0609
-3.5294, 0.0738, -3.9999, 0.0736
-3.5508, 0.0745, -4.0159, 0.0645
-3.5715, 0.0716, -4.0478, 0.0607
-3.5890, 0.0730, -4.0993, 0.0655
-3.5642, 0.0723, -4.0655, 0.0583
-3.5838, 0.0708, -4.1154, 0.0647
-3.6097, 0.0735, -4.1069, 0.0643
-3.6229, 0.0716, -4.1160, 0.0648
-3.5616, 0.0736, -4.0247, 0.0644
-3.6224, 0.0738, -4.0865, 0.0690
-3.5252, 0.0746, -4.0496, 0.0649
-3.5782, 0.0744, -4.0649, 0.0631
-3.5581, 0.0741, -4.0771, 0.0564
-3.5021, 0.0768, -3.9326, 0.0709
-3.5571, 0.0737, -4.1683, 0.0568
-3.5733, 0.0728, -3.9999, 0.0767
-3.5648, 0.0762, -4.0567, 0.0633
-3.6372, 0.0725, -4.1475, 0.0644
-3.5791, 0.0737, -4.0707, 0.0652
-3.5032, 0.0738, -4.0015, 0.0614
-3.5474, 0.0720, -4.0616, 0.0576
-3.6380, 0.0718, -4.1188, 0.0618
-3.6260, 0.0728, -4.2049, 0.0573
-3.6245, 0.0722, -4.1477, 0.0564
-3.6455, 0.0715, -4.0388, 0.0664
-3.6081, 0.0727, -4.1534, 0.0556
-3.6534, 0.0728, -4.2155, 0.0647
-3.6348, 0.0713, -4.0886, 0.0649
-3.6441, 0.0721, -4.1725, 0.0554
-3.6425, 0.0724, -4.2034, 0.0627
-3.5880, 0.0714, -4.1568, 0.0512
-3.6258, 0.0727, -4.0546, 0.0656
-3.6411, 0.0732, -4.2232, 0.0546
-3.6983, 0.0712, -4.3443, 0.0545
-3.6556, 0.0710, -4.0630, 0.0692
-3.5446, 0.0746, -4.0918, 0.0550
-3.6269, 0.0707, -4.1163, 0.0656
-3.6273, 0.0716, -4.1882, 0.0604
-3.6641, 0.0726, -4.2120, 0.0574
-3.6326, 0.0738, -4.1351, 0.0634
-3.6442, 0.0725, -4.1475, 0.0621
-3.6830, 0.0716, -4.2161, 0.0533
-3.5184, 0.0734, -3.8960, 0.0660
-3.5311, 0.0743, -4.0755, 0.0468
-3.6252, 0.0707, -4.1945, 0.0673
-3.7031, 0.0695, -4.3604, 0.0510
-3.6463, 0.0698, -4.1019, 0.0614
-3.5887, 0.0740, -4.0736, 0.0600
-3.6642, 0.0698, -4.2147, 0.0604
-3.6858, 0.0732, -4.2457, 0.0624
-3.7449, 0.0696, -4.3254, 0.0574
-3.6873, 0.0693, -4.1323, 0.0606
-3.6664, 0.0702, -4.1832, 0.0637
-3.7419, 0.0713, -4.3687, 0.0567
-3.7416, 0.0708, -4.2745, 0.0601
-3.7075, 0.0703, -4.2747, 0.0506
-3.6460, 0.0721, -4.2452, 0.0475
-3.6040, 0.0709, -3.9874, 0.0619
-3.6122, 0.0717, -4.0402, 0.0615
