train running loss, train running l2 error, val loss, val l2 error
-0.4193, 0.1344, -2.4549, 0.1108
-2.2317, 0.1203, -2.4935, 0.1045
-2.4500, 0.1145, -2.8436, 0.0837
-2.7346, 0.1019, -3.1436, 0.0659
-3.0145, 0.0907, -3.4576, 0.0513
-3.1900, 0.0839, -3.6634, 0.0501
-3.3615, 0.0780, -3.9588, 0.0480
-3.4657, 0.0784, -4.0243, 0.0454
-3.5517, 0.0772, -4.0096, 0.0484
-3.5584, 0.0766, -4.2357, 0.0373
-3.6471, 0.0755, -4.3155, 0.0373
-3.7073, 0.0741, -4.3634, 0.0319
-3.7616, 0.0733, -4.4205, 0.0345
-3.6530, 0.0746, -4.2448, 0.0382
-3.7132, 0.0747, -4.4299, 0.0300
-3.7921, 0.0728, -4.5087, 0.0271
-3.7456, 0.0746, -4.4116, 0.0351
-3.7237, 0.0742, -4.3191, 0.0362
-3.7842, 0.0728, -4.4134, 0.0296
-3.8370, 0.0714, -4.5550, 0.0344
-3.7664, 0.0725, -4.3918, 0.0390
-3.7757, 0.0728, -4.3707, 0.0403
-3.7970, 0.0715, -4.4653, 0.0289
-3.8409, 0.0716, -4.5544, 0.0321
-3.7588, 0.0737, -4.5541, 0.0262
-3.8067, 0.0720, -4.4401, 0.0321
-3.8011, 0.0711, -4.4300, 0.0280
-3.8423, 0.0722, -4.5659, 0.0246
-3.8576, 0.0722, -4.5654, 0.0269
-3.8631, 0.0718, -4.4288, 0.0390
-3.8475, 0.0708, -4.4452, 0.0325
-3.8437, 0.0717, -4.5489, 0.0332
-3.8830, 0.0711, -4.6098, 0.0333
-3.8721, 0.0725, -4.5080, 0.0280
-3.8820, 0.0728, -4.4901, 0.0269
-3.7443, 0.0730, -4.3850, 0.0271
-3.7482, 0.0737, -4.4658, 0.0272
-3.8456, 0.0716, -4.5304, 0.0298
-3.8027, 0.0739, -4.5835, 0.0251
-3.7922, 0.0742, -4.5069, 0.0255
-3.8481, 0.0733, -4.5254, 0.0264
-3.8157, 0.0731, -4.4948, 0.0264
-3.8090, 0.0726, -4.5037, 0.0305
-3.8637, 0.0734, -4.5391, 0.0424
-3.8365, 0.0732, -4.5258, 0.0327
-3.8651, 0.0714, -4.5411, 0.0283
-3.7565, 0.0750, -4.3824, 0.0299
-3.8489, 0.0728, -4.5394, 0.0281
-3.8433, 0.0748, -4.6190, 0.0255
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
nan, nan, nan, nan
