train running loss, train running l2 error, val loss, val l2 error
-3.7971, 0.0520, -5.2639, 0.0216
-5.2290, 0.0272, -6.0911, 0.0170
-5.5996, 0.0253, -6.3250, 0.0154
-5.8566, 0.0239, -6.5441, 0.0171
-5.9462, 0.0234, -6.6621, 0.0159
-6.1222, 0.0227, -6.5221, 0.0175
-6.2161, 0.0224, -6.8034, 0.0139
-6.2836, 0.0220, -6.2347, 0.0201
-6.3447, 0.0215, -7.0750, 0.0129
-6.3831, 0.0213, -6.9166, 0.0134
-6.5083, 0.0209, -6.9728, 0.0138
-6.5138, 0.0206, -7.2566, 0.0116
-6.5892, 0.0203, -7.4372, 0.0126
-6.6377, 0.0201, -7.3619, 0.0115
-6.6897, 0.0199, -7.4479, 0.0136
-6.7156, 0.0197, -7.3166, 0.0128
-6.7249, 0.0196, -7.4464, 0.0111
-6.7061, 0.0195, -7.2024, 0.0116
-6.7710, 0.0193, -7.3583, 0.0116
-6.8103, 0.0191, -7.1035, 0.0109
-6.7787, 0.0190, -7.5724, 0.0108
-6.8449, 0.0190, -7.1831, 0.0107
-6.8368, 0.0189, -7.3510, 0.0102
-6.8601, 0.0187, -7.4845, 0.0115
-6.8883, 0.0188, -7.6801, 0.0100
-6.8834, 0.0186, -7.1828, 0.0100
-6.9070, 0.0184, -7.6999, 0.0099
-6.9311, 0.0184, -7.7674, 0.0099
-6.9554, 0.0183, -7.6887, 0.0091
-6.9281, 0.0183, -7.6005, 0.0108
