train running loss, train running l2 error, val loss, val l2 error
-3.8668, 0.0488, -5.5995, 0.0226
-5.2042, 0.0277, -6.0129, 0.0228
-5.5295, 0.0258, -5.6610, 0.0203
-5.7583, 0.0245, -6.3659, 0.0181
-5.9362, 0.0236, -6.6836, 0.0153
-6.0797, 0.0231, -6.7192, 0.0185
-6.1700, 0.0227, -6.3697, 0.0204
-6.3035, 0.0221, -6.8839, 0.0163
-6.3517, 0.0218, -6.8688, 0.0153
-6.4618, 0.0214, -7.0978, 0.0150
-6.4939, 0.0211, -7.1112, 0.0136
-6.5735, 0.0208, -7.2699, 0.0144
-6.6143, 0.0206, -7.1024, 0.0138
-6.6477, 0.0204, -7.0592, 0.0137
-6.6819, 0.0203, -7.3172, 0.0127
-6.6915, 0.0201, -7.2782, 0.0129
-6.6909, 0.0201, -7.3722, 0.0124
-6.7274, 0.0202, -7.3947, 0.0120
-6.7325, 0.0200, -7.3859, 0.0123
-6.7732, 0.0198, -7.4940, 0.0117
-6.8170, 0.0197, -7.5430, 0.0120
-6.8207, 0.0196, -7.3665, 0.0119
-6.8038, 0.0197, -7.3025, 0.0142
-6.8395, 0.0195, -7.3104, 0.0115
-6.8640, 0.0194, -7.5086, 0.0118
-6.8793, 0.0193, -7.2715, 0.0118
-6.8774, 0.0193, -7.6572, 0.0115
-6.8860, 0.0192, -7.5516, 0.0124
-6.9097, 0.0193, -7.5449, 0.0120
-6.8859, 0.0192, -7.1856, 0.0116
