train running loss, train running l2 error, val loss, val l2 error
0.6818, 0.2633, -0.4251, 0.0972
-0.6556, 0.1619, -1.5034, 0.0958
-1.3941, 0.1176, -1.7676, 0.1062
-1.7184, 0.1082, -2.2941, 0.0971
-1.9341, 0.0983, -2.5805, 0.0862
-2.2217, 0.0857, -3.0042, 0.0674
-2.5264, 0.0752, -3.0736, 0.0634
-2.7787, 0.0669, -3.4006, 0.0534
-2.9652, 0.0619, -3.4258, 0.0594
-3.0902, 0.0581, -3.5228, 0.0430
-3.2280, 0.0550, -3.6922, 0.0487
-3.2927, 0.0529, -3.8105, 0.0431
-3.4386, 0.0501, -3.8144, 0.0469
-3.5628, 0.0485, -3.9063, 0.0426
-3.6394, 0.0475, -4.1732, 0.0385
-3.6778, 0.0462, -4.1993, 0.0376
-3.7550, 0.0451, -4.4248, 0.0348
-3.8332, 0.0437, -4.3157, 0.0399
-3.9659, 0.0427, -4.4450, 0.0359
-4.0764, 0.0413, -4.4842, 0.0328
-4.0781, 0.0402, -4.5879, 0.0316
-4.2050, 0.0385, -4.7196, 0.0295
-4.2723, 0.0381, -4.8157, 0.0278
-4.3012, 0.0372, -4.7663, 0.0307
-4.2668, 0.0379, -4.8902, 0.0289
-4.3151, 0.0376, -4.8678, 0.0321
-4.3931, 0.0371, -4.9963, 0.0278
-4.3791, 0.0366, -4.9497, 0.0315
-4.4105, 0.0367, -4.8862, 0.0283
-4.4058, 0.0365, -4.8323, 0.0284
-4.5030, 0.0356, -5.0408, 0.0271
-4.4497, 0.0359, -5.0364, 0.0268
-4.5157, 0.0358, -5.1782, 0.0257
-4.5607, 0.0359, -5.1664, 0.0261
-4.5891, 0.0358, -5.2463, 0.0279
-4.6362, 0.0352, -5.2013, 0.0266
-4.6476, 0.0354, -5.1089, 0.0279
-4.6710, 0.0352, -5.2194, 0.0266
-4.6832, 0.0350, -5.1567, 0.0277
-4.6690, 0.0352, -5.1972, 0.0277
-4.6965, 0.0347, -5.2638, 0.0264
-4.7180, 0.0346, -5.3475, 0.0273
-4.7454, 0.0348, -5.2621, 0.0267
-4.7395, 0.0342, -5.2605, 0.0249
-4.7960, 0.0346, -5.3746, 0.0247
-4.6966, 0.0347, -5.4592, 0.0277
-4.7321, 0.0349, -5.1471, 0.0295
-4.8043, 0.0344, -5.3073, 0.0276
-4.8559, 0.0343, -5.3691, 0.0272
-4.7903, 0.0342, -5.4422, 0.0229
-4.8295, 0.0342, -5.2615, 0.0261
-4.8505, 0.0341, -5.3681, 0.0267
-4.8270, 0.0341, -5.3659, 0.0261
-4.8439, 0.0337, -5.4087, 0.0263
-4.9126, 0.0339, -5.5390, 0.0238
-4.8900, 0.0339, -5.4984, 0.0251
-4.8499, 0.0339, -5.3504, 0.0286
-4.9265, 0.0336, -5.5205, 0.0243
-4.9407, 0.0337, -5.4602, 0.0263
-4.9806, 0.0335, -5.6347, 0.0229
-4.8996, 0.0334, -4.9829, 0.0279
-4.8843, 0.0335, -5.5646, 0.0228
-5.0090, 0.0336, -5.5547, 0.0252
-4.9776, 0.0333, -5.5607, 0.0264
-5.0683, 0.0329, -5.5541, 0.0252
-5.0048, 0.0338, -5.3078, 0.0254
-4.9516, 0.0332, -5.1726, 0.0257
-4.9514, 0.0331, -5.4907, 0.0259
-5.0460, 0.0329, -5.5184, 0.0263
-5.0379, 0.0332, -5.5642, 0.0242
-5.0125, 0.0329, -5.5507, 0.0250
-5.0455, 0.0339, -5.5756, 0.0238
-5.0997, 0.0329, -5.5254, 0.0267
-5.1096, 0.0327, -5.6465, 0.0237
-5.1190, 0.0328, -5.6023, 0.0250
-5.0905, 0.0324, -5.6306, 0.0252
-5.1402, 0.0325, -5.6684, 0.0224
-5.1580, 0.0324, -5.7252, 0.0253
-5.1514, 0.0323, -5.6998, 0.0249
-5.2058, 0.0321, -5.6877, 0.0240
-5.2288, 0.0320, -5.6922, 0.0224
-5.1778, 0.0323, -5.7046, 0.0229
-5.1958, 0.0326, -5.8898, 0.0213
-5.1560, 0.0319, -5.7466, 0.0259
-5.2546, 0.0320, -5.7323, 0.0239
-5.2512, 0.0325, -5.6349, 0.0261
