train running loss, train running l2 error, val loss, val l2 error
-0.6494, 0.2035, 0.3192, 0.2042
-1.3955, 0.1751, -1.2241, 0.1483
-1.5395, 0.1700, 0.2405, 0.2530
-1.5380, 0.1653, 1.0664, 0.2447
-1.8144, 0.1472, 5.2940, 0.2773
-2.0204, 0.1468, 8.8357, 0.2345
-1.7566, 0.1613, 2.8996, 0.2815
-2.3943, 0.1371, 11.6939, 0.2822
-2.5332, 0.1401, 9.3058, 0.2538
-2.7064, 0.1215, 8.4107, 0.2364
-2.6930, 0.0990, -0.3407, 0.1896
-3.3410, 0.0588, 8.6517, 0.1789
-2.9288, 0.0645, -1.1343, 0.1698
-3.2890, 0.0535, 4.5357, 0.2746
-3.4032, 0.0390, 12.3661, 0.2012
-4.5389, 0.0287, 11.5835, 0.2114
-5.1324, 0.0220, 15.4246, 0.2411
-3.7860, 0.0389, -0.8809, 0.1952
-4.0215, 0.0381, 14.5231, 0.2157
-4.1927, 0.0306, 14.9430, 0.1973
