train running loss, train running l2 error, val loss, val l2 error
-0.7754, 0.2326, -2.4268, 0.0758
-2.1215, 0.1319, -2.8332, 0.0815
-2.2774, 0.1245, -2.7365, 0.0917
-2.4041, 0.1178, -3.0514, 0.0743
-2.4832, 0.1140, -3.2621, 0.0562
-2.6069, 0.1097, -3.3442, 0.0457
-2.6733, 0.1101, -3.3243, 0.0504
-2.7468, 0.1110, -3.4696, 0.0473
-2.8399, 0.1120, -3.8165, 0.0365
-2.9227, 0.1098, -3.7295, 0.0309
-2.9477, 0.1107, -3.6423, 0.0454
-3.0070, 0.1094, -3.6691, 0.0395
-3.0188, 0.1088, -3.5986, 0.0407
-3.0414, 0.1073, -3.5478, 0.0495
-3.0573, 0.1072, -3.7555, 0.0362
-3.0786, 0.1066, -3.8722, 0.0441
-3.0935, 0.1059, -3.8886, 0.0341
-3.1068, 0.1049, -3.7280, 0.0332
-3.1118, 0.1058, -3.6935, 0.0388
-3.1146, 0.1048, -3.7426, 0.0490
-3.1363, 0.1052, -3.7218, 0.0461
-3.1254, 0.1060, -3.7632, 0.0442
-3.1035, 0.1058, -3.9085, 0.0338
-3.1505, 0.1053, -3.8201, 0.0475
-3.1395, 0.1062, -3.8953, 0.0376
-3.1475, 0.1070, -3.8651, 0.0349
-3.1087, 0.1069, -3.8743, 0.0287
-3.1236, 0.1045, -3.7295, 0.0390
-3.1291, 0.1058, -3.8331, 0.0356
-3.1427, 0.1071, -3.8313, 0.0391
-3.1554, 0.1056, -3.9462, 0.0333
-3.1557, 0.1044, -3.9490, 0.0375
-3.1546, 0.1051, -3.8553, 0.0507
-3.1445, 0.1060, -3.8692, 0.0419
-3.1588, 0.1056, -3.9097, 0.0345
-3.1679, 0.1039, -3.9345, 0.0418
-3.1683, 0.1047, -4.0018, 0.0326
-3.1571, 0.1048, -3.8598, 0.0271
-3.1587, 0.1050, -3.9346, 0.0264
-3.1643, 0.1054, -3.8518, 0.0464
-3.1708, 0.1065, -3.7639, 0.0633
-3.1720, 0.1038, -3.7986, 0.0431
-3.1511, 0.1051, -3.7643, 0.0512
-3.1538, 0.1035, -3.8510, 0.0379
-3.0743, 0.1051, -3.7676, 0.0490
-3.0702, 0.1077, -3.2205, 0.0425
-3.0342, 0.1074, -3.7851, 0.0317
-3.0743, 0.1073, -3.6999, 0.0429
-3.1106, 0.1066, -3.8846, 0.0456
-3.1204, 0.1064, -3.9375, 0.0494
