train running loss, train running l2 error, val loss, val l2 error
1.7745, 0.5608, 0.8629, 0.2573
0.9369, 0.3872, 0.5602, 0.3279
0.5222, 0.3343, 0.3863, 0.2987
0.2594, 0.3027, 0.0285, 0.2810
0.0653, 0.2859, -0.0348, 0.2709
-0.0932, 0.2641, -0.1502, 0.2740
-0.2651, 0.2493, -0.4501, 0.2415
-0.4725, 0.2310, -0.8513, 0.1974
-0.6063, 0.2162, -1.0439, 0.1649
-0.7190, 0.2050, -1.0380, 0.1764
-0.8836, 0.1966, -1.1302, 0.1767
-0.9691, 0.1935, -1.0467, 0.1897
-1.0297, 0.1870, -1.2327, 0.1655
-1.0863, 0.1862, -1.1769, 0.1869
-1.1238, 0.1840, -1.4338, 0.1498
-1.2069, 0.1809, -1.3885, 0.1572
-1.2550, 0.1785, -1.4847, 0.1495
-1.3072, 0.1747, -1.4421, 0.1539
-1.3647, 0.1711, -1.4340, 0.1544
-1.4298, 0.1660, -1.5921, 0.1353
-1.4287, 0.1640, -1.5282, 0.1597
-1.5217, 0.1654, -1.5127, 0.1491
-1.5182, 0.1596, -1.7630, 0.1100
-1.6315, 0.1554, -1.7638, 0.1215
-1.5733, 0.1518, -1.6458, 0.1345
-1.7054, 0.1520, -1.8056, 0.1282
-1.7222, 0.1486, -1.7017, 0.1207
-1.7665, 0.1460, -1.8884, 0.1127
-1.7873, 0.1432, -1.8119, 0.1201
-1.8466, 0.1422, -1.8782, 0.1141
-1.9006, 0.1394, -1.8348, 0.1168
-1.9867, 0.1375, -1.9443, 0.1093
-1.9563, 0.1352, -1.9023, 0.1117
-1.9501, 0.1349, -1.8170, 0.1271
-1.9885, 0.1367, -1.9451, 0.1145
-2.0194, 0.1277, -1.9250, 0.1045
-1.9999, 0.1326, -1.9879, 0.1059
-2.0654, 0.1308, -1.9036, 0.1119
-2.1045, 0.1275, -1.9793, 0.1017
-2.1703, 0.1223, -2.0057, 0.0964
-2.2122, 0.1217, -2.0974, 0.1030
-2.2246, 0.1222, -1.9858, 0.1026
-2.2234, 0.1199, -2.0551, 0.0948
-2.2886, 0.1160, -2.1506, 0.0873
-2.3113, 0.1182, -2.1416, 0.0845
-2.2998, 0.1197, -2.0693, 0.0941
-2.3303, 0.1135, -2.1600, 0.0930
-2.3679, 0.1150, -1.9959, 0.0964
-2.3740, 0.1132, -2.1773, 0.0888
-2.3791, 0.1130, -2.1674, 0.0867
-2.4478, 0.1105, -2.1770, 0.0837
-2.4409, 0.1115, -2.1760, 0.0871
-2.5119, 0.1085, -2.2087, 0.0870
-2.5455, 0.1077, -2.0677, 0.0939
-2.5200, 0.1065, -2.1406, 0.0926
-2.5356, 0.1073, -2.1774, 0.0920
-2.5290, 0.1081, -2.1613, 0.0811
-2.5631, 0.1050, -2.2162, 0.0845
-2.5794, 0.1049, -2.3104, 0.0797
-2.5586, 0.1050, -2.3234, 0.0744
-2.6195, 0.1011, -2.3472, 0.0761
-2.6414, 0.1006, -2.2292, 0.0773
-2.6250, 0.1013, -2.1133, 0.0820
-2.6809, 0.0980, -2.3604, 0.0885
-2.6859, 0.1013, -2.2565, 0.0784
-2.6921, 0.1000, -2.2039, 0.0762
-2.7371, 0.0980, -2.3706, 0.0759
-2.7404, 0.0974, -2.2019, 0.0713
-2.7818, 0.0968, -2.1363, 0.0854
-2.7899, 0.0950, -2.2012, 0.0843
-2.7486, 0.0968, -2.1181, 0.0839
-2.7519, 0.0946, -2.1319, 0.0875
-2.8050, 0.0941, -2.2687, 0.0735
-2.8077, 0.0931, -2.4747, 0.0689
-2.8327, 0.0934, -2.4737, 0.0644
-2.8419, 0.0927, -2.3055, 0.0634
-2.8368, 0.0931, -2.3598, 0.0754
-2.9098, 0.0907, -2.3497, 0.0670
-2.9369, 0.0907, -2.2398, 0.0706
-2.8823, 0.0898, -2.5479, 0.0728
-2.9126, 0.0888, -2.1826, 0.0713
-2.9339, 0.0899, -2.3587, 0.0639
-2.9369, 0.0892, -2.2147, 0.0668
-2.9150, 0.0886, -2.3557, 0.0603
-2.8989, 0.0897, -2.1570, 0.0648
-2.9662, 0.0866, -2.2870, 0.0612
-3.0064, 0.0873, -2.1649, 0.0680
-3.0102, 0.0873, -2.1595, 0.0661
-3.0191, 0.0874, -2.0169, 0.0733
-3.0066, 0.0867, -2.0230, 0.0684
-3.0501, 0.0848, -1.8157, 0.0697
-3.0335, 0.0847, -1.6252, 0.0661
-3.0140, 0.0850, -1.9892, 0.0657
-2.9937, 0.0859, -2.0625, 0.0684
-2.9569, 0.0860, -2.0355, 0.0691
-2.9402, 0.0855, -2.0107, 0.0803
-2.9597, 0.0907, -1.9819, 0.0804
-3.0231, 0.0858, -1.8784, 0.0693
-3.0644, 0.0853, -2.0305, 0.0644
-3.1248, 0.0824, -2.1304, 0.0700
-3.1356, 0.0822, -1.7115, 0.0684
-3.1526, 0.0836, -1.9697, 0.0671
-3.1460, 0.0835, -1.8857, 0.0632
-3.1232, 0.0822, -2.1134, 0.0786
-3.1689, 0.0821, -1.9541, 0.0614
-3.1648, 0.0828, -1.7880, 0.0660
-3.1583, 0.0808, -2.2210, 0.0620
-3.1624, 0.0804, -1.9702, 0.0642
-3.1732, 0.0819, -1.9285, 0.0667
-3.1781, 0.0821, -1.7638, 0.0612
-3.1951, 0.0811, -1.9174, 0.0638
-3.1852, 0.0813, -1.8267, 0.0649
-3.1907, 0.0831, -1.6292, 0.0644
-3.1840, 0.0798, -1.8224, 0.0691
-3.1474, 0.0824, -1.4961, 0.0750
-3.1597, 0.0824, -1.9338, 0.0672
-3.1721, 0.0791, -2.1120, 0.0555
-3.1192, 0.0815, -1.9165, 0.0584
-3.1972, 0.0799, -1.8860, 0.0640
-3.2215, 0.0818, -1.5156, 0.0600
-3.2389, 0.0800, -1.9440, 0.0618
-3.2738, 0.0784, -1.7906, 0.0689
-3.2291, 0.0804, -1.3546, 0.0684
-3.2135, 0.0799, -2.1110, 0.0755
-3.2197, 0.0808, -1.9627, 0.0662
-3.2379, 0.0796, -1.9088, 0.0638
-3.2753, 0.0795, -1.7592, 0.0709
-3.2457, 0.0796, -1.7844, 0.0673
-3.3101, 0.0784, -1.7740, 0.0617
-3.2993, 0.0790, -1.8449, 0.0673
-3.2194, 0.0800, -1.9653, 0.0704
-3.2744, 0.0779, -1.6452, 0.0621
-3.2779, 0.0794, -1.6637, 0.0658
-3.3136, 0.0767, -2.0207, 0.0621
-3.3256, 0.0782, -1.8716, 0.0684
-3.3458, 0.0792, -1.4271, 0.0614
-3.2798, 0.0784, -1.7348, 0.0620
-3.3318, 0.0781, -1.5333, 0.0658
-3.3602, 0.0775, -1.5656, 0.0674
-3.3440, 0.0775, -2.1778, 0.0762
-3.2619, 0.0809, -1.8550, 0.0716
-3.3220, 0.0782, -1.8287, 0.0612
-3.3477, 0.0773, -2.2435, 0.0662
-3.3440, 0.0782, -1.6955, 0.0604
-3.3330, 0.0765, -1.6154, 0.0677
-3.3253, 0.0791, -1.5836, 0.0699
-3.3665, 0.0777, -1.3312, 0.0693
-3.3973, 0.0771, -1.4020, 0.0662
-3.3840, 0.0778, -1.8244, 0.0614
-3.4081, 0.0758, -1.7339, 0.0637
-3.4006, 0.0772, -2.0400, 0.0628
-3.4255, 0.0748, -1.8555, 0.0632
-3.3746, 0.0768, -1.7455, 0.0635
-3.3525, 0.0776, -1.4869, 0.0635
-3.4016, 0.0791, -1.3923, 0.0605
-3.4003, 0.0775, -1.5780, 0.0631
-3.4011, 0.0767, -1.6511, 0.0642
-3.4148, 0.0767, -1.3378, 0.0616
-3.4071, 0.0758, -1.7274, 0.0663
-3.3917, 0.0771, -1.5088, 0.0685
-3.3787, 0.0778, -1.3204, 0.0659
-3.4627, 0.0770, -1.1875, 0.0711
-3.4226, 0.0766, -1.4122, 0.0687
-3.4369, 0.0755, -1.3862, 0.0656
-3.4617, 0.0769, -0.9959, 0.0734
-3.4322, 0.0771, -1.5281, 0.0680
-3.4232, 0.0778, -1.5434, 0.0686
-3.4406, 0.0761, -1.9134, 0.0649
-3.4183, 0.0754, -1.5644, 0.0698
-3.4477, 0.0774, -1.4047, 0.0727
-3.4689, 0.0762, -1.3597, 0.0680
-3.5013, 0.0754, -1.4643, 0.0690
-3.4397, 0.0769, -1.6327, 0.0700
-3.4420, 0.0766, -1.3554, 0.0740
-3.4252, 0.0753, -1.6718, 0.0641
-3.4457, 0.0758, -1.7951, 0.0696
-3.4545, 0.0734, -1.6148, 0.0620
-3.5389, 0.0757, -1.3576, 0.0714
-3.4601, 0.0751, -1.5606, 0.0735
-3.4968, 0.0762, -1.2969, 0.0717
-3.5001, 0.0756, -1.3062, 0.0645
-3.5162, 0.0751, -1.5458, 0.0640
-3.4706, 0.0779, -1.5660, 0.0673
-3.4965, 0.0745, -1.3770, 0.0650
-3.5148, 0.0742, -1.4614, 0.0659
-3.5248, 0.0740, -1.6680, 0.0667
-3.5257, 0.0744, -1.7175, 0.0735
-3.4958, 0.0754, -1.7973, 0.0659
-3.5085, 0.0738, -1.3488, 0.0736
-3.5302, 0.0743, -1.3507, 0.0669
-3.5017, 0.0761, -1.5406, 0.0718
-3.5498, 0.0752, -1.5517, 0.0630
-3.6132, 0.0716, -1.2257, 0.0690
-3.5737, 0.0746, -0.7666, 0.0742
-3.5600, 0.0746, -1.2462, 0.0719
-3.5750, 0.0740, -1.3224, 0.0662
-3.5314, 0.0745, -1.2510, 0.0707
-3.5393, 0.0753, -1.1936, 0.0736
-3.5446, 0.0746, -1.1807, 0.0744
-3.5587, 0.0745, -1.5337, 0.0745
