train running loss, train running l2 error, val loss, val l2 error
2.1263, 0.6842, 1.9833, 0.6303
1.7063, 0.5518, 1.1941, 0.4366
0.9509, 0.3612, 0.6224, 0.2633
0.6211, 0.2906, 0.4882, 0.2105
0.4085, 0.2955, 0.0634, 0.2207
0.2107, 0.3050, -0.0090, 0.2575
0.0687, 0.2984, -0.2545, 0.2085
-0.0862, 0.2819, -0.2916, 0.2089
-0.2287, 0.2660, -0.5222, 0.1884
-0.3856, 0.2482, -0.6327, 0.1783
-0.5244, 0.2396, -0.7657, 0.1720
-0.6162, 0.2364, -0.8683, 0.1873
-0.7596, 0.2224, -0.9469, 0.1684
-0.8635, 0.2116, -1.0945, 0.1564
-0.9814, 0.2032, -1.1950, 0.1550
-1.0948, 0.1970, -1.2164, 0.1619
-1.1560, 0.1896, -1.3551, 0.1463
-1.2383, 0.1842, -1.2395, 0.1613
-1.3114, 0.1823, -1.3171, 0.1506
-1.3698, 0.1804, -1.3395, 0.1521
-1.4423, 0.1742, -1.4130, 0.1585
-1.4548, 0.1713, -1.3483, 0.1642
-1.5158, 0.1653, -1.4223, 0.1548
-1.5297, 0.1666, -1.4695, 0.1493
-1.5815, 0.1643, -1.4998, 0.1494
-1.6236, 0.1597, -1.5417, 0.1413
-1.6426, 0.1607, -1.5842, 0.1357
-1.6068, 0.1619, -1.4926, 0.1380
-1.6544, 0.1531, -1.5948, 0.1478
-1.6827, 0.1514, -1.6375, 0.1387
-1.7186, 0.1513, -1.6915, 0.1361
-1.7654, 0.1488, -1.7707, 0.1202
-1.8108, 0.1494, -1.7342, 0.1188
-1.8706, 0.1437, -1.7365, 0.1343
-1.9269, 0.1414, -1.8083, 0.1126
-1.9526, 0.1377, -1.7147, 0.1239
-1.9838, 0.1378, -1.8689, 0.1034
-2.0141, 0.1366, -1.8252, 0.1067
-2.0625, 0.1313, -1.8622, 0.1068
-2.1047, 0.1284, -1.8655, 0.1038
-2.0574, 0.1298, -2.0149, 0.0952
-2.1243, 0.1268, -1.9255, 0.1052
-2.1442, 0.1245, -1.9277, 0.1130
-2.1880, 0.1226, -1.9544, 0.1100
-2.2195, 0.1196, -1.8940, 0.1203
-2.2256, 0.1198, -1.9460, 0.1021
-2.2525, 0.1183, -2.0412, 0.0996
-2.3180, 0.1182, -2.0944, 0.0912
-2.3520, 0.1130, -2.0607, 0.0962
-2.3587, 0.1129, -2.0260, 0.1072
