train running loss, train running l2 error, val loss, val l2 error
1.7394, 0.5376, 0.8006, 0.1827
0.6380, 0.2858, 0.0228, 0.2501
0.1475, 0.2866, -0.1894, 0.2275
-0.1050, 0.2718, -0.5202, 0.2303
-0.3754, 0.2372, -0.8454, 0.1670
-0.6631, 0.2093, -1.1937, 0.1604
-0.8541, 0.1947, -1.3009, 0.1401
-1.0746, 0.1801, -1.5111, 0.1238
-1.2440, 0.1710, -1.6768, 0.1317
-1.4255, 0.1576, -1.7111, 0.1396
-1.5433, 0.1502, -1.8222, 0.1493
-1.7133, 0.1438, -2.0363, 0.1363
-1.7107, 0.1423, -1.9668, 0.1191
-1.8151, 0.1347, -1.9992, 0.1419
-1.9075, 0.1355, -2.2128, 0.1282
-2.0089, 0.1266, -2.2127, 0.1205
-2.0236, 0.1253, -2.1845, 0.1287
-2.0697, 0.1243, -2.5821, 0.0934
-2.2051, 0.1162, -2.6408, 0.1021
-2.2155, 0.1168, -2.6650, 0.0948
-2.3145, 0.1132, -2.6610, 0.0994
-2.3342, 0.1139, -2.6871, 0.0957
-2.3517, 0.1124, -2.9335, 0.0706
-2.3413, 0.1114, -2.6456, 0.1134
-2.3890, 0.1137, -2.6665, 0.1032
-2.4744, 0.1070, -2.8247, 0.0969
-2.5360, 0.1054, -3.0824, 0.0688
-2.4935, 0.1054, -2.9021, 0.0916
-2.5421, 0.1053, -2.9315, 0.0914
-2.5990, 0.1018, -3.0870, 0.0857
-2.5910, 0.1003, -2.9802, 0.0826
-2.6188, 0.0980, -3.0209, 0.0873
-2.6721, 0.0992, -3.1363, 0.0809
-2.6411, 0.0983, -3.0004, 0.0932
-2.6952, 0.0952, -3.1003, 0.0749
-2.7489, 0.0937, -3.1236, 0.0815
-2.7106, 0.0955, -3.0940, 0.0744
-2.7679, 0.0923, -2.8901, 0.1023
-2.7346, 0.0958, -3.0527, 0.0862
-2.8041, 0.0918, -3.3344, 0.0634
-2.8171, 0.0908, -3.2363, 0.0728
-2.9026, 0.0894, -3.2530, 0.0750
-2.9134, 0.0881, -3.5171, 0.0559
-2.8902, 0.0888, -3.3963, 0.0638
-2.9502, 0.0865, -3.3155, 0.0764
-2.9136, 0.0891, -3.3898, 0.0597
-2.9645, 0.0857, -3.4699, 0.0610
-2.9660, 0.0873, -3.1982, 0.0757
-2.9890, 0.0842, -3.4883, 0.0617
-2.9517, 0.0881, -2.9290, 0.0974
