train running loss, train running l2 error, val loss, val l2 error
-4.5295, 0.0526, -5.1904, 0.0428
-4.7809, 0.0582, -5.2777, 0.0342
-4.9605, 0.0517, -5.7269, 0.0184
-5.0492, 0.0508, -5.6761, 0.0255
-5.1131, 0.0491, -5.6672, 0.0223
-5.1078, 0.0502, -5.7797, 0.0201
-5.1216, 0.0492, -5.7618, 0.0236
-5.1374, 0.0495, -5.8097, 0.0196
-5.1388, 0.0507, -5.7998, 0.0238
-5.1843, 0.0491, -5.8114, 0.0229
-5.1281, 0.0505, -5.7927, 0.0219
-5.1583, 0.0499, -5.8127, 0.0242
-5.1174, 0.0510, -5.7549, 0.0241
-5.1380, 0.0496, -5.7807, 0.0249
-5.1348, 0.0511, -5.8306, 0.0199
-5.1442, 0.0501, -5.7643, 0.0249
-5.1356, 0.0504, -5.7896, 0.0265
-5.1304, 0.0504, -5.8001, 0.0222
-5.1358, 0.0493, -5.7858, 0.0217
-5.1336, 0.0503, -5.7425, 0.0222
-5.1230, 0.0504, -5.7010, 0.0286
-5.1174, 0.0501, -5.7283, 0.0235
-5.1154, 0.0506, -5.7981, 0.0221
-5.1431, 0.0502, -5.7756, 0.0214
-5.1428, 0.0496, -5.7831, 0.0277
-5.1392, 0.0505, -5.8013, 0.0206
-5.1645, 0.0489, -5.8348, 0.0248
-5.1066, 0.0507, -5.7620, 0.0241
-5.1649, 0.0494, -5.8079, 0.0239
-5.1649, 0.0493, -5.8266, 0.0213
-5.1527, 0.0503, -5.8262, 0.0271
-5.1428, 0.0502, -5.8266, 0.0212
-5.1448, 0.0511, -5.7707, 0.0237
-5.1345, 0.0509, -5.7912, 0.0220
-5.1464, 0.0501, -5.8190, 0.0225
-5.1213, 0.0492, -5.7283, 0.0242
-5.1114, 0.0505, -5.8301, 0.0237
-5.1877, 0.0504, -5.8013, 0.0179
-5.1349, 0.0499, -5.7917, 0.0243
-5.1172, 0.0498, -5.7518, 0.0256
-5.1342, 0.0507, -5.8279, 0.0191
-5.1544, 0.0495, -5.8167, 0.0260
-5.1278, 0.0495, -5.6914, 0.0238
-5.1026, 0.0508, -5.7436, 0.0220
-5.1047, 0.0507, -5.7502, 0.0264
-5.1470, 0.0499, -5.8267, 0.0198
-5.1363, 0.0505, -5.7933, 0.0219
-5.1022, 0.0514, -5.7020, 0.0249
-5.1014, 0.0511, -5.7332, 0.0212
-5.1599, 0.0501, -5.8145, 0.0252
-5.1470, 0.0494, -5.7983, 0.0217
-5.1416, 0.0503, -5.8026, 0.0238
-5.1263, 0.0502, -5.8436, 0.0212
-5.1425, 0.0505, -5.7669, 0.0249
-5.1417, 0.0497, -5.7668, 0.0216
-5.1495, 0.0494, -5.7570, 0.0239
-5.1471, 0.0500, -5.7449, 0.0215
-5.1694, 0.0497, -5.8311, 0.0205
-5.1500, 0.0503, -5.8382, 0.0229
-5.1144, 0.0519, -5.7789, 0.0212
-5.1444, 0.0493, -5.7699, 0.0238
-5.1359, 0.0493, -5.7768, 0.0206
-5.1286, 0.0501, -5.8015, 0.0224
-5.0917, 0.0506, -5.6961, 0.0282
-5.1214, 0.0504, -5.7965, 0.0266
-5.1471, 0.0500, -5.8174, 0.0215
-5.1285, 0.0508, -5.7392, 0.0194
-5.1195, 0.0506, -5.7384, 0.0261
-5.1380, 0.0502, -5.8115, 0.0215
-5.1356, 0.0496, -5.7700, 0.0247
-5.1258, 0.0507, -5.7895, 0.0195
-5.1740, 0.0501, -5.8394, 0.0245
-5.1622, 0.0497, -5.8196, 0.0203
-5.1575, 0.0500, -5.7903, 0.0245
-5.1598, 0.0483, -5.8258, 0.0188
-5.1325, 0.0504, -5.7725, 0.0253
-5.1076, 0.0505, -5.7632, 0.0242
-5.1547, 0.0496, -5.8296, 0.0200
-5.1397, 0.0499, -5.8068, 0.0232
-5.1455, 0.0511, -5.7765, 0.0229
-5.1498, 0.0498, -5.7932, 0.0247
-5.1478, 0.0496, -5.7991, 0.0203
-5.1647, 0.0500, -5.8130, 0.0227
-5.1074, 0.0511, -5.7836, 0.0232
-5.1562, 0.0495, -5.8108, 0.0206
-5.1722, 0.0487, -5.8231, 0.0221
-5.1290, 0.0497, -5.8092, 0.0222
-5.1107, 0.0503, -5.7114, 0.0244
-5.1380, 0.0490, -5.7381, 0.0263
-5.1719, 0.0496, -5.8867, 0.0185
-5.1572, 0.0498, -5.8337, 0.0230
-5.1253, 0.0498, -5.7648, 0.0236
-5.1211, 0.0512, -5.7508, 0.0257
-5.1365, 0.0511, -5.7569, 0.0240
-5.1451, 0.0503, -5.8427, 0.0238
-5.1554, 0.0499, -5.7978, 0.0221
-5.1351, 0.0511, -5.8241, 0.0229
-5.1182, 0.0505, -5.7926, 0.0240
-5.1671, 0.0496, -5.7762, 0.0243
-5.1347, 0.0500, -5.8058, 0.0243
-5.1835, 0.0499, -5.7686, 0.0200
-5.1312, 0.0497, -5.7982, 0.0204
-5.1266, 0.0509, -5.8015, 0.0228
-5.1788, 0.0497, -5.8162, 0.0243
-5.1628, 0.0499, -5.8118, 0.0215
-5.1519, 0.0501, -5.8220, 0.0206
-5.1230, 0.0509, -5.8564, 0.0214
-5.1667, 0.0498, -5.8108, 0.0233
-5.1232, 0.0507, -5.8221, 0.0228
-5.1516, 0.0499, -5.7656, 0.0260
-5.1015, 0.0514, -5.7456, 0.0211
-5.1237, 0.0500, -5.7253, 0.0219
-5.1440, 0.0494, -5.8140, 0.0207
-5.1424, 0.0509, -5.7999, 0.0241
-5.1629, 0.0507, -5.7934, 0.0212
-5.1718, 0.0510, -5.8406, 0.0229
-5.1291, 0.0498, -5.7601, 0.0239
-5.1686, 0.0501, -5.7975, 0.0212
-5.1699, 0.0498, -5.8706, 0.0203
-5.1775, 0.0498, -5.8184, 0.0202
-5.1620, 0.0498, -5.7989, 0.0237
-5.1789, 0.0504, -5.8399, 0.0230
-5.1381, 0.0497, -5.7770, 0.0223
-5.1173, 0.0494, -5.7434, 0.0238
-5.1488, 0.0504, -5.8170, 0.0227
-5.1547, 0.0499, -5.8384, 0.0184
-5.1618, 0.0501, -5.8258, 0.0248
-5.1645, 0.0497, -5.8418, 0.0227
-5.1769, 0.0493, -5.7866, 0.0239
-5.1506, 0.0494, -5.8114, 0.0239
-5.1501, 0.0511, -5.8301, 0.0206
-5.1857, 0.0502, -5.8886, 0.0211
-5.1652, 0.0492, -5.8084, 0.0197
-5.1570, 0.0501, -5.8057, 0.0247
-5.1570, 0.0495, -5.8025, 0.0223
-5.1515, 0.0496, -5.8056, 0.0250
-5.1420, 0.0495, -5.7735, 0.0208
-5.1616, 0.0483, -5.7838, 0.0201
-5.1332, 0.0514, -5.8203, 0.0211
-5.1763, 0.0503, -5.7917, 0.0232
-5.1492, 0.0496, -5.8112, 0.0223
-5.1850, 0.0500, -5.8210, 0.0224
-5.1803, 0.0496, -5.8091, 0.0223
-5.1550, 0.0493, -5.7518, 0.0258
-5.1837, 0.0491, -5.8287, 0.0223
-5.1992, 0.0511, -5.8791, 0.0183
-5.1845, 0.0494, -5.7535, 0.0279
-5.1672, 0.0502, -5.8168, 0.0200
-5.1362, 0.0511, -5.8052, 0.0230
-5.1695, 0.0501, -5.8080, 0.0241
-5.1490, 0.0503, -5.8437, 0.0201
-5.1960, 0.0489, -5.7979, 0.0231
-5.1761, 0.0494, -5.8235, 0.0222
-5.2003, 0.0489, -5.8025, 0.0235
-5.1939, 0.0502, -5.8440, 0.0251
-5.1891, 0.0496, -5.8473, 0.0181
-5.1553, 0.0500, -5.7905, 0.0241
-5.1617, 0.0509, -5.8440, 0.0249
-5.1419, 0.0502, -5.7776, 0.0203
-5.1781, 0.0499, -5.8150, 0.0257
-5.1743, 0.0500, -5.8571, 0.0210
-5.1705, 0.0496, -5.7922, 0.0228
-5.1649, 0.0500, -5.7832, 0.0245
-5.1879, 0.0498, -5.8791, 0.0212
-5.1797, 0.0502, -5.8315, 0.0217
-5.1460, 0.0502, -5.7977, 0.0222
-5.1425, 0.0506, -5.7663, 0.0209
-5.1680, 0.0505, -5.8245, 0.0230
-5.1778, 0.0505, -5.8443, 0.0191
-5.1526, 0.0494, -5.8237, 0.0236
-5.1688, 0.0498, -5.8143, 0.0213
-5.1490, 0.0509, -5.8206, 0.0178
-5.1532, 0.0503, -5.7966, 0.0250
-5.1428, 0.0506, -5.7896, 0.0229
-5.1202, 0.0514, -5.8364, 0.0232
-5.1710, 0.0494, -5.7925, 0.0197
-5.1426, 0.0496, -5.7908, 0.0229
-5.1738, 0.0490, -5.8215, 0.0203
-5.1419, 0.0505, -5.8608, 0.0219
-5.1734, 0.0488, -5.8035, 0.0228
-5.1927, 0.0489, -5.8211, 0.0235
-5.1657, 0.0506, -5.8134, 0.0224
-5.2065, 0.0496, -5.8603, 0.0189
-5.2010, 0.0501, -5.7963, 0.0250
-5.1631, 0.0504, -5.8555, 0.0224
-5.1374, 0.0507, -5.8210, 0.0185
-5.1989, 0.0486, -5.8382, 0.0251
-5.1670, 0.0503, -5.8519, 0.0206
-5.1706, 0.0499, -5.8635, 0.0201
-5.1980, 0.0500, -5.8272, 0.0253
-5.1449, 0.0495, -5.8284, 0.0205
-5.1075, 0.0506, -5.7601, 0.0222
-5.1571, 0.0500, -5.8192, 0.0218
-5.1391, 0.0498, -5.7721, 0.0244
-5.1619, 0.0501, -5.8313, 0.0207
-5.1959, 0.0496, -5.8478, 0.0180
-5.1618, 0.0493, -5.8238, 0.0207
-5.1627, 0.0506, -5.7908, 0.0228
-5.1698, 0.0503, -5.8520, 0.0214
-5.1912, 0.0503, -5.8652, 0.0197
-5.1446, 0.0501, -5.7666, 0.0220
-5.1730, 0.0493, -5.7890, 0.0213
-5.1887, 0.0500, -5.7940, 0.0229
-5.2005, 0.0498, -5.8882, 0.0218
-5.1614, 0.0497, -5.8462, 0.0214
-5.1852, 0.0495, -5.8624, 0.0213
-5.1659, 0.0501, -5.8523, 0.0203
-5.1513, 0.0511, -5.7919, 0.0252
-5.1641, 0.0497, -5.8030, 0.0193
-5.1590, 0.0504, -5.7677, 0.0241
-5.1823, 0.0498, -5.8389, 0.0195
-5.1781, 0.0495, -5.7947, 0.0212
-5.1708, 0.0507, -5.8676, 0.0216
-5.1600, 0.0495, -5.8208, 0.0212
-5.1578, 0.0487, -5.7317, 0.0224
-5.1823, 0.0497, -5.8898, 0.0207
-5.1915, 0.0505, -5.8683, 0.0191
-5.1709, 0.0506, -5.8669, 0.0217
-5.1691, 0.0495, -5.8017, 0.0216
-5.1944, 0.0490, -5.7599, 0.0241
-5.1636, 0.0493, -5.8338, 0.0231
-5.1755, 0.0497, -5.8483, 0.0206
-5.1451, 0.0502, -5.7772, 0.0237
-5.1967, 0.0490, -5.8480, 0.0224
-5.1616, 0.0499, -5.8711, 0.0213
-5.2034, 0.0491, -5.7760, 0.0265
-5.1932, 0.0493, -5.8472, 0.0194
-5.2023, 0.0489, -5.8629, 0.0197
-5.1795, 0.0496, -5.8156, 0.0261
-5.1593, 0.0505, -5.8057, 0.0247
-5.1799, 0.0506, -5.8659, 0.0211
-5.1864, 0.0497, -5.8089, 0.0214
-5.1644, 0.0498, -5.8130, 0.0240
-5.1756, 0.0497, -5.8552, 0.0209
-5.1609, 0.0495, -5.8018, 0.0227
-5.1810, 0.0494, -5.8668, 0.0218
-5.1606, 0.0501, -5.7984, 0.0218
-5.1942, 0.0494, -5.8468, 0.0203
-5.1757, 0.0502, -5.8015, 0.0236
-5.1798, 0.0495, -5.7616, 0.0262
-5.1764, 0.0498, -5.8922, 0.0151
-5.1987, 0.0503, -5.8966, 0.0217
-5.1958, 0.0502, -5.8236, 0.0232
-5.1934, 0.0504, -5.8376, 0.0206
-5.1993, 0.0492, -5.8556, 0.0208
-5.1853, 0.0499, -5.7836, 0.0239
-5.1689, 0.0495, -5.7430, 0.0242
-5.1801, 0.0495, -5.8057, 0.0228
-5.1506, 0.0489, -5.7933, 0.0168
-5.1517, 0.0503, -5.8131, 0.0169
-5.1594, 0.0493, -5.7895, 0.0238
-5.1786, 0.0495, -5.8626, 0.0188
-5.1862, 0.0499, -5.8608, 0.0205
-5.1914, 0.0503, -5.7777, 0.0212
-5.1713, 0.0491, -5.8132, 0.0214
-5.1910, 0.0503, -5.8404, 0.0219
-5.1949, 0.0496, -5.8350, 0.0242
-5.1741, 0.0495, -5.8609, 0.0199
-5.1739, 0.0503, -5.7891, 0.0213
-5.1993, 0.0490, -5.8426, 0.0205
-5.1577, 0.0506, -5.7893, 0.0220
-5.1634, 0.0501, -5.8356, 0.0250
-5.1699, 0.0500, -5.8784, 0.0195
-5.1881, 0.0501, -5.8029, 0.0240
-5.1797, 0.0503, -5.7990, 0.0227
-5.1606, 0.0496, -5.8719, 0.0194
-5.2051, 0.0489, -5.8008, 0.0226
-5.2074, 0.0500, -5.9030, 0.0196
-5.2119, 0.0493, -5.8514, 0.0201
-5.1876, 0.0496, -5.8448, 0.0263
-5.1811, 0.0511, -5.8565, 0.0194
-5.1707, 0.0503, -5.8256, 0.0210
-5.1925, 0.0501, -5.7956, 0.0248
-5.1736, 0.0497, -5.8464, 0.0213
-5.1764, 0.0501, -5.8349, 0.0222
-5.1670, 0.0510, -5.7954, 0.0211
-5.1688, 0.0508, -5.8406, 0.0229
-5.2029, 0.0497, -5.8809, 0.0204
-5.1830, 0.0498, -5.8155, 0.0225
-5.1697, 0.0505, -5.8365, 0.0212
-5.2169, 0.0492, -5.8938, 0.0213
-5.2199, 0.0485, -5.8670, 0.0209
-5.1974, 0.0494, -5.8670, 0.0222
