train running loss, train running l2 error, val loss, val l2 error
9.9097, 0.4237, -0.9581, 0.2513
-1.1064, 0.2272, -1.8238, 0.1759
-1.6322, 0.1934, -2.0712, 0.1499
-1.7766, 0.1778, -2.1786, 0.1383
-1.8757, 0.1644, -2.3021, 0.1206
-1.9528, 0.1578, -2.3155, 0.1180
-2.0004, 0.1564, -2.3360, 0.1178
-2.0355, 0.1551, -2.3568, 0.1183
-2.0678, 0.1546, -2.3697, 0.1197
-2.0869, 0.1545, -2.4285, 0.1145
-2.1278, 0.1531, -2.3877, 0.1218
-2.1576, 0.1524, -2.3712, 0.1227
-2.1879, 0.1514, -2.3530, 0.1205
-2.2009, 0.1513, -2.3143, 0.1296
-2.2459, 0.1499, -2.3344, 0.1322
-2.2221, 0.1532, -2.3053, 0.1326
-2.2555, 0.1532, -2.2980, 0.1364
-2.2642, 0.1565, -2.2739, 0.1429
-2.2706, 0.1573, -2.2636, 0.1390
-2.2739, 0.1570, -2.2930, 0.1407
-2.2785, 0.1591, -2.2961, 0.1422
-2.2932, 0.1595, -2.2622, 0.1501
-2.3071, 0.1600, -2.2387, 0.1497
-2.2632, 0.1608, -2.2720, 0.1456
-2.2393, 0.1561, -2.2575, 0.1450
-2.2433, 0.1559, -2.2541, 0.1387
-2.2513, 0.1559, -2.3056, 0.1392
-2.2644, 0.1558, -2.2543, 0.1428
-2.2678, 0.1566, -2.2588, 0.1473
-2.3208, 0.1631, -2.1378, 0.1673
-2.2925, 0.1596, -2.1641, 0.1576
-2.3409, 0.1657, -2.1669, 0.1626
-2.2486, 0.1595, -2.2458, 0.1470
-2.3084, 0.1631, -2.1691, 0.1606
-2.3459, 0.1670, -2.1682, 0.1592
-2.3551, 0.1687, -2.1364, 0.1592
-2.3636, 0.1689, -2.0097, 0.1865
-2.4165, 0.1689, -1.8949, 0.1890
-2.3892, 0.1704, -1.9690, 0.1859
-2.4626, 0.1697, -1.8663, 0.1916
-2.4512, 0.1694, -1.9857, 0.1886
-2.4895, 0.1691, -1.8446, 0.1929
-2.4372, 0.1725, -1.9335, 0.1911
-2.4753, 0.1701, -1.8980, 0.1936
-2.4551, 0.1711, -1.9353, 0.1927
-2.5061, 0.1709, -1.8934, 0.1921
-2.4799, 0.1713, -1.8942, 0.1921
-2.5225, 0.1705, -1.9180, 0.1951
-2.4980, 0.1707, -1.9387, 0.1915
-2.5233, 0.1711, -1.8488, 0.1908
