train running loss, train running l2 error, val loss, val l2 error
-1.3238, 0.1897, -2.7236, 0.0759
-2.4342, 0.1111, -3.0529, 0.0641
-2.6443, 0.1038, -3.3234, 0.0475
-2.7603, 0.1001, -3.2229, 0.0712
-2.8169, 0.0991, -3.4396, 0.0511
-2.8578, 0.0997, -3.5145, 0.0412
-2.9117, 0.0992, -3.6114, 0.0454
-2.9522, 0.0992, -3.6498, 0.0443
-2.9697, 0.1005, -3.5069, 0.0543
-2.9839, 0.1014, -3.6033, 0.0516
-3.0247, 0.1003, -3.4825, 0.0620
-3.0426, 0.1012, -3.6394, 0.0512
-3.0964, 0.1007, -3.6002, 0.0581
-3.1120, 0.1012, -3.7300, 0.0467
-3.1359, 0.1015, -3.7855, 0.0616
-3.1442, 0.1025, -3.6311, 0.0608
-3.1603, 0.1021, -3.5740, 0.0828
-3.1552, 0.1028, -3.5883, 0.0677
-3.1335, 0.1040, -3.5393, 0.0871
-3.1491, 0.1033, -3.8210, 0.0584
