train running loss, train running l2 error, val loss, val l2 error
-3.0227, 0.0550, -3.1285, 0.0506
-3.0340, 0.0536, -3.6018, 0.0509
-3.0014, 0.0569, -3.5652, 0.0509
-3.1090, 0.0561, -3.5525, 0.0553
-3.1881, 0.0561, -3.5834, 0.0517
-3.3395, 0.0547, -3.6524, 0.0543
-3.2508, 0.0578, -3.6922, 0.0520
-3.4019, 0.0539, -3.8161, 0.0478
-3.2885, 0.0518, -3.9090, 0.0480
-3.3379, 0.0512, -3.8348, 0.0483
-3.4749, 0.0517, -3.7960, 0.0500
-3.3996, 0.0528, -3.8105, 0.0492
-3.4159, 0.0526, -3.8562, 0.0487
-3.5349, 0.0510, -3.9561, 0.0485
-3.4644, 0.0495, -4.0500, 0.0453
-3.4729, 0.0492, -3.8658, 0.0470
-3.4669, 0.0515, -3.7062, 0.0486
-3.5376, 0.0503, -3.8234, 0.0474
-3.5102, 0.0507, -4.0795, 0.0454
-3.4740, 0.0515, -4.1654, 0.0448
-3.3533, 0.0497, -3.8965, 0.0466
-3.4864, 0.0511, -3.6143, 0.0492
-3.4122, 0.0508, -3.6319, 0.0495
-3.4397, 0.0512, -3.8298, 0.0481
-3.4844, 0.0508, -3.9955, 0.0466
-3.5980, 0.0488, -4.0347, 0.0463
-3.5142, 0.0499, -4.0325, 0.0459
-3.4425, 0.0499, -3.7799, 0.0486
-3.4711, 0.0521, -3.6310, 0.0513
-3.4110, 0.0538, -3.7287, 0.0505
-3.5618, 0.0515, -3.9873, 0.0479
-3.5630, 0.0503, -4.1171, 0.0457
-3.4927, 0.0503, -3.9925, 0.0460
-3.5702, 0.0484, -3.8017, 0.0467
-3.5169, 0.0504, -3.7895, 0.0466
-3.5494, 0.0485, -3.9157, 0.0454
-3.6710, 0.0468, -4.1057, 0.0442
-3.5003, 0.0471, -4.0781, 0.0458
-3.5722, 0.0490, -3.9407, 0.0485
-3.5915, 0.0509, -3.9572, 0.0480
-3.5419, 0.0504, -3.9887, 0.0470
-3.6486, 0.0487, -3.9933, 0.0465
-3.5777, 0.0488, -3.9807, 0.0468
-3.5845, 0.0493, -3.9840, 0.0470
-3.5126, 0.0501, -4.0212, 0.0467
-3.5639, 0.0487, -4.0376, 0.0463
-3.4725, 0.0497, -3.9477, 0.0470
-3.5712, 0.0491, -3.9050, 0.0469
-3.5341, 0.0491, -3.9477, 0.0460
-3.5602, 0.0475, -4.0188, 0.0455
-3.6636, 0.0479, -4.0243, 0.0458
-3.5823, 0.0489, -4.0118, 0.0448
-3.6331, 0.0459, -4.0045, 0.0451
-3.5409, 0.0482, -3.9520, 0.0452
-3.6687, 0.0486, -3.8701, 0.0478
-3.6547, 0.0493, -3.8953, 0.0481
-3.7106, 0.0476, -4.0701, 0.0470
-3.7506, 0.0468, -4.2348, 0.0450
-3.5760, 0.0481, -4.1559, 0.0453
-3.7242, 0.0483, -3.9909, 0.0473
-3.7251, 0.0482, -4.0459, 0.0466
-3.7514, 0.0473, -4.2680, 0.0430
-3.3993, 0.0456, -4.1664, 0.0417
-3.6090, 0.0474, -3.8388, 0.0440
-3.4931, 0.0490, -3.6437, 0.0466
-3.4562, 0.0501, -3.7839, 0.0453
-3.6307, 0.0477, -3.9949, 0.0431
-3.6606, 0.0470, -4.1070, 0.0437
-3.5609, 0.0464, -4.0348, 0.0441
-3.6422, 0.0477, -3.9627, 0.0445
-3.6543, 0.0486, -3.9408, 0.0443
-3.6248, 0.0474, -4.0500, 0.0428
-3.7868, 0.0453, -4.2384, 0.0400
-3.7239, 0.0456, -4.3175, 0.0404
-3.6328, 0.0463, -4.2219, 0.0432
-3.7320, 0.0479, -4.0686, 0.0465
-3.7776, 0.0493, -4.0655, 0.0462
-3.7618, 0.0494, -4.2203, 0.0429
-3.8370, 0.0463, -4.3678, 0.0398
-3.6617, 0.0452, -4.3161, 0.0394
-3.7761, 0.0463, -4.1691, 0.0419
-3.7992, 0.0464, -4.0122, 0.0439
-3.7264, 0.0476, -3.9968, 0.0462
-3.6910, 0.0490, -4.1497, 0.0435
-3.7922, 0.0469, -4.2554, 0.0415
-3.7000, 0.0459, -4.2342, 0.0422
-3.8083, 0.0469, -4.1222, 0.0452
-3.7993, 0.0479, -4.1477, 0.0465
-3.8253, 0.0482, -4.2541, 0.0444
-3.9468, 0.0463, -4.3052, 0.0425
-3.6720, 0.0478, -4.2759, 0.0406
-3.7714, 0.0468, -4.1700, 0.0407
-3.7796, 0.0445, -4.1149, 0.0406
-3.7389, 0.0462, -4.1393, 0.0402
-3.8518, 0.0454, -4.2400, 0.0392
-3.7446, 0.0464, -4.2730, 0.0401
-3.8263, 0.0462, -4.2837, 0.0404
-3.7865, 0.0461, -4.2022, 0.0407
-3.8326, 0.0462, -4.1450, 0.0429
-3.8404, 0.0460, -4.1861, 0.0420
-3.6929, 0.0475, -4.2207, 0.0408
-3.7012, 0.0466, -4.2082, 0.0401
-3.8079, 0.0450, -4.1275, 0.0405
-3.7191, 0.0464, -4.0892, 0.0408
-3.7897, 0.0463, -4.1219, 0.0406
-3.7756, 0.0457, -4.1865, 0.0408
-3.8245, 0.0452, -4.2700, 0.0397
-3.7965, 0.0452, -4.2457, 0.0410
-3.9279, 0.0448, -4.1892, 0.0412
-3.8718, 0.0464, -4.2315, 0.0411
-3.8303, 0.0453, -4.3703, 0.0383
-3.7905, 0.0460, -4.4067, 0.0401
-3.8234, 0.0463, -4.3585, 0.0396
-3.8350, 0.0452, -4.3154, 0.0414
-3.8424, 0.0456, -4.1625, 0.0433
-3.8575, 0.0480, -4.1486, 0.0435
-3.9607, 0.0467, -4.3438, 0.0407
-3.8723, 0.0458, -4.4844, 0.0385
-3.8083, 0.0438, -4.4648, 0.0358
-3.9309, 0.0423, -4.2893, 0.0372
-3.8814, 0.0448, -4.1513, 0.0393
-3.8863, 0.0447, -4.2393, 0.0397
-3.9780, 0.0448, -4.4733, 0.0380
-3.9294, 0.0439, -4.4748, 0.0394
-3.6900, 0.0452, -4.3059, 0.0415
-3.9120, 0.0467, -4.1522, 0.0419
-3.8645, 0.0466, -4.1262, 0.0411
-3.7521, 0.0461, -4.2519, 0.0386
-3.9113, 0.0434, -4.4494, 0.0364
-3.8453, 0.0437, -4.4369, 0.0382
-4.0226, 0.0431, -4.3520, 0.0421
-4.0245, 0.0454, -4.3317, 0.0415
-3.8876, 0.0462, -4.4133, 0.0394
-3.9167, 0.0442, -4.3496, 0.0392
-3.8307, 0.0450, -4.3110, 0.0385
-3.7736, 0.0432, -4.2072, 0.0400
-3.9028, 0.0455, -4.2310, 0.0404
-3.7373, 0.0455, -4.2848, 0.0400
-3.8924, 0.0451, -4.2277, 0.0411
-3.8555, 0.0449, -4.2192, 0.0400
-3.8854, 0.0441, -4.1708, 0.0378
-3.8195, 0.0450, -4.1743, 0.0377
-3.8030, 0.0439, -4.2537, 0.0370
-3.9604, 0.0423, -4.3448, 0.0366
-3.9594, 0.0429, -4.4333, 0.0365
-3.9885, 0.0431, -4.4498, 0.0373
-3.8271, 0.0435, -4.3593, 0.0399
-4.0202, 0.0450, -4.3337, 0.0405
-3.8875, 0.0449, -4.4114, 0.0387
-4.0634, 0.0426, -4.4267, 0.0377
-3.9777, 0.0436, -4.3688, 0.0383
-3.9241, 0.0442, -4.2817, 0.0406
-3.9490, 0.0450, -4.3055, 0.0403
-4.0313, 0.0433, -4.3897, 0.0382
-4.0573, 0.0433, -4.5171, 0.0366
-3.9832, 0.0425, -4.5367, 0.0371
-4.0166, 0.0432, -4.4879, 0.0380
-3.8974, 0.0452, -4.3210, 0.0406
-4.0371, 0.0455, -4.2979, 0.0408
-3.9635, 0.0437, -4.3660, 0.0391
-4.0875, 0.0426, -4.4736, 0.0355
-3.9976, 0.0420, -4.4536, 0.0363
-4.0087, 0.0429, -4.4138, 0.0375
-3.9780, 0.0432, -4.3535, 0.0387
-3.9750, 0.0434, -4.3126, 0.0397
-4.1299, 0.0439, -4.3818, 0.0391
-4.0386, 0.0435, -4.5079, 0.0374
-4.1169, 0.0433, -4.5828, 0.0364
-4.0131, 0.0424, -4.4856, 0.0386
-4.1377, 0.0441, -4.3847, 0.0398
-4.0744, 0.0443, -4.3738, 0.0398
-3.9744, 0.0459, -4.4357, 0.0379
-4.0260, 0.0437, -4.4716, 0.0374
-4.0626, 0.0428, -4.5065, 0.0363
-4.0627, 0.0425, -4.4937, 0.0367
-4.0322, 0.0430, -4.3685, 0.0385
-4.0205, 0.0443, -4.4008, 0.0382
-3.9733, 0.0452, -4.4935, 0.0370
-4.0763, 0.0426, -4.4808, 0.0382
-4.1449, 0.0439, -4.4601, 0.0390
-4.2135, 0.0433, -4.5916, 0.0374
-3.9462, 0.0432, -4.6334, 0.0366
-3.9867, 0.0417, -4.4579, 0.0377
-4.0786, 0.0423, -4.3104, 0.0385
-3.9257, 0.0434, -4.3348, 0.0371
-3.9710, 0.0430, -4.4288, 0.0354
-3.8896, 0.0424, -4.4691, 0.0352
-4.0933, 0.0418, -4.4036, 0.0369
-3.9031, 0.0425, -4.2953, 0.0401
-3.9880, 0.0454, -4.3208, 0.0403
-3.9867, 0.0442, -4.4769, 0.0369
-4.0897, 0.0416, -4.5888, 0.0353
-4.1293, 0.0425, -4.6130, 0.0348
-4.1228, 0.0413, -4.5066, 0.0373
-4.0863, 0.0433, -4.3719, 0.0403
-4.0880, 0.0444, -4.4942, 0.0384
-4.0668, 0.0429, -4.6675, 0.0358
-4.0368, 0.0418, -4.6684, 0.0338
-4.1612, 0.0417, -4.5062, 0.0362
-4.1187, 0.0407, -4.4311, 0.0381
-4.1223, 0.0430, -4.4237, 0.0388
-4.1163, 0.0433, -4.5179, 0.0370
-3.9896, 0.0434, -4.5796, 0.0360
-4.1215, 0.0420, -4.5271, 0.0371
-4.1305, 0.0417, -4.4925, 0.0373
