train running loss, train running l2 error, val loss, val l2 error
0.7784, 0.2571, -0.4685, 0.1084
-0.6568, 0.1572, -1.8140, 0.0797
-1.6732, 0.0936, -2.0198, 0.0881
-2.1279, 0.0805, -2.7262, 0.0746
-2.3762, 0.0722, -2.9561, 0.0662
-2.5614, 0.0668, -2.9968, 0.0614
-2.7601, 0.0634, -3.2830, 0.0597
-2.8957, 0.0582, -3.3987, 0.0521
-2.9991, 0.0561, -3.4870, 0.0509
-3.1649, 0.0525, -3.6084, 0.0450
-3.3084, 0.0501, -3.8125, 0.0404
-3.3547, 0.0490, -3.7641, 0.0419
-3.5714, 0.0458, -4.2928, 0.0381
-3.7094, 0.0443, -4.6019, 0.0324
-3.7740, 0.0430, -4.0115, 0.0401
-3.8921, 0.0416, -4.4652, 0.0324
-3.9207, 0.0410, -4.6706, 0.0314
-4.0808, 0.0389, -4.6778, 0.0293
-4.1763, 0.0380, -4.7077, 0.0293
-4.2237, 0.0380, -4.5606, 0.0286
-4.2933, 0.0375, -4.8006, 0.0299
-4.3690, 0.0363, -5.1887, 0.0275
-4.3640, 0.0362, -4.8812, 0.0288
-4.4262, 0.0357, -5.0855, 0.0273
-4.4759, 0.0362, -4.9946, 0.0281
-4.5228, 0.0346, -5.1406, 0.0255
-4.5148, 0.0348, -4.9935, 0.0268
-4.5895, 0.0343, -5.0748, 0.0281
-4.5597, 0.0345, -5.2724, 0.0269
-4.5940, 0.0340, -5.2717, 0.0264
-4.6762, 0.0339, -5.3332, 0.0261
-4.6464, 0.0340, -5.2007, 0.0277
-4.6752, 0.0338, -5.2185, 0.0246
-4.7059, 0.0332, -5.2937, 0.0267
-4.7480, 0.0334, -5.2873, 0.0251
-4.7351, 0.0335, -5.2697, 0.0263
-4.6837, 0.0333, -5.3990, 0.0218
-4.7502, 0.0329, -4.9969, 0.0271
-4.7174, 0.0333, -5.4389, 0.0224
-4.8383, 0.0327, -5.4421, 0.0256
-4.8256, 0.0334, -5.3951, 0.0240
-4.8209, 0.0327, -5.4890, 0.0237
-4.8111, 0.0330, -5.3819, 0.0228
-4.8891, 0.0327, -5.4601, 0.0267
-4.8420, 0.0328, -5.3872, 0.0255
-4.8723, 0.0326, -5.5215, 0.0252
-4.8782, 0.0323, -5.5151, 0.0228
-4.8604, 0.0327, -5.4636, 0.0240
-4.9395, 0.0322, -5.4985, 0.0244
-4.8921, 0.0327, -5.5274, 0.0224
-4.9131, 0.0324, -5.5838, 0.0227
-4.9227, 0.0322, -5.5787, 0.0247
-4.9274, 0.0323, -5.2966, 0.0243
-4.9738, 0.0317, -5.6271, 0.0230
-4.9802, 0.0322, -5.5189, 0.0246
-4.9118, 0.0320, -5.5589, 0.0247
-5.0284, 0.0319, -5.4843, 0.0244
-5.0190, 0.0324, -5.4632, 0.0234
-4.9377, 0.0329, -5.5883, 0.0256
-5.0666, 0.0319, -5.5825, 0.0221
-4.9277, 0.0319, -5.5628, 0.0246
-5.0783, 0.0316, -5.7310, 0.0217
-5.0480, 0.0316, -5.5314, 0.0257
-5.0460, 0.0313, -5.7026, 0.0243
-5.0635, 0.0316, -5.6581, 0.0245
-5.0617, 0.0317, -5.6002, 0.0239
-5.0954, 0.0312, -5.6205, 0.0234
-5.0518, 0.0315, -5.6811, 0.0232
-5.1268, 0.0313, -5.6933, 0.0216
-5.0887, 0.0314, -5.7016, 0.0251
-5.1361, 0.0311, -5.5690, 0.0244
-5.1507, 0.0311, -5.7297, 0.0213
-5.2079, 0.0310, -5.6716, 0.0233
-5.1574, 0.0313, -5.5284, 0.0229
-5.1461, 0.0311, -5.7386, 0.0213
-5.1775, 0.0312, -5.6887, 0.0226
-5.1794, 0.0313, -5.5716, 0.0216
-5.2209, 0.0310, -5.7210, 0.0238
-5.2186, 0.0310, -5.8495, 0.0232
-5.2170, 0.0310, -5.5460, 0.0238
-5.1701, 0.0312, -5.8551, 0.0223
-5.2516, 0.0311, -5.7800, 0.0248
-5.2272, 0.0311, -5.7684, 0.0206
-5.3029, 0.0309, -5.8184, 0.0231
-5.2818, 0.0309, -5.9201, 0.0218
-5.2387, 0.0310, -5.8447, 0.0238
-5.3319, 0.0305, -5.7892, 0.0229
-5.2821, 0.0306, -5.8148, 0.0210
-5.3066, 0.0311, -5.8233, 0.0226
-5.2885, 0.0307, -5.8797, 0.0227
-5.3063, 0.0309, -5.9105, 0.0247
-5.3062, 0.0309, -5.9876, 0.0205
-5.2658, 0.0307, -5.6666, 0.0243
-5.2779, 0.0309, -5.8559, 0.0227
-5.3354, 0.0307, -5.8613, 0.0207
-5.3562, 0.0303, -5.8322, 0.0235
-5.3566, 0.0304, -5.9819, 0.0224
-5.3828, 0.0305, -5.8555, 0.0209
-5.3898, 0.0306, -5.8857, 0.0224
-5.3801, 0.0303, -5.9787, 0.0220
-5.3726, 0.0305, -5.9437, 0.0219
-5.4251, 0.0305, -6.0560, 0.0200
-5.4126, 0.0304, -5.8367, 0.0231
-5.3953, 0.0306, -5.9788, 0.0222
-5.4050, 0.0303, -6.0346, 0.0225
-5.4625, 0.0300, -5.9979, 0.0210
