train running loss, train running l2 error, val loss, val l2 error
-3.9891, 0.0304, -6.0007, 0.0176
-4.7505, 0.0310, -6.1180, 0.0241
-5.2040, 0.0338, -5.7218, 0.0314
-5.0714, 0.0363, -5.4215, 0.0314
-5.0946, 0.0363, -5.4957, 0.0298
-5.2628, 0.0344, -5.5818, 0.0289
-5.3294, 0.0339, -5.6668, 0.0274
-5.4348, 0.0331, -5.7928, 0.0252
-5.5631, 0.0316, -5.9465, 0.0227
-5.6348, 0.0314, -6.1025, 0.0201
-5.7690, 0.0292, -6.2417, 0.0174
-5.8310, 0.0289, -6.3598, 0.0157
-5.8582, 0.0291, -6.4473, 0.0154
-6.0172, 0.0286, -6.5083, 0.0155
-5.9071, 0.0297, -6.5579, 0.0149
-5.9843, 0.0293, -6.5888, 0.0151
-6.0695, 0.0289, -6.6017, 0.0162
-6.0664, 0.0290, -6.6098, 0.0173
-6.1204, 0.0284, -6.6310, 0.0178
-6.1397, 0.0285, -6.6752, 0.0174
-6.0985, 0.0290, -6.6954, 0.0169
-6.1326, 0.0285, -6.7189, 0.0175
-6.0832, 0.0291, -6.7208, 0.0179
-6.1779, 0.0290, -6.7441, 0.0175
-6.1846, 0.0282, -6.7566, 0.0179
-6.2658, 0.0278, -6.7752, 0.0187
-6.1757, 0.0291, -6.7798, 0.0191
-6.3092, 0.0284, -6.7994, 0.0185
-6.2379, 0.0288, -6.8438, 0.0178
-6.2655, 0.0285, -6.9041, 0.0170
-6.2854, 0.0285, -6.9120, 0.0165
-6.2943, 0.0274, -6.9683, 0.0163
-6.1855, 0.0288, -6.9442, 0.0167
-6.1889, 0.0286, -6.9586, 0.0174
-6.2946, 0.0282, -6.9509, 0.0175
-6.3199, 0.0285, -6.9370, 0.0168
-6.4040, 0.0282, -6.9562, 0.0169
-6.3688, 0.0276, -6.9607, 0.0170
-6.2760, 0.0288, -7.0027, 0.0158
-6.2330, 0.0291, -6.9967, 0.0158
-6.3689, 0.0267, -6.9297, 0.0160
-6.2437, 0.0287, -6.9135, 0.0174
-6.2963, 0.0284, -6.8731, 0.0193
-6.2426, 0.0288, -6.8910, 0.0199
-6.2589, 0.0293, -6.8953, 0.0181
-6.3684, 0.0277, -6.9291, 0.0158
-6.2754, 0.0282, -6.9594, 0.0163
-6.2858, 0.0291, -6.9491, 0.0186
-6.3564, 0.0286, -6.9545, 0.0195
-6.2956, 0.0287, -6.9541, 0.0187
-6.3336, 0.0288, -6.9332, 0.0175
-6.3217, 0.0287, -6.9901, 0.0169
-6.2580, 0.0283, -6.9909, 0.0169
-6.2655, 0.0288, -6.9722, 0.0171
-6.4119, 0.0283, -6.9569, 0.0179
-6.3825, 0.0289, -6.9659, 0.0185
-6.3033, 0.0291, -6.9420, 0.0187
-6.0995, 0.0288, -6.8661, 0.0180
-6.1104, 0.0291, -6.9195, 0.0173
-6.1531, 0.0285, -6.8701, 0.0159
-6.1182, 0.0279, -6.8812, 0.0162
-6.2895, 0.0270, -6.8836, 0.0163
-6.2446, 0.0279, -6.8264, 0.0163
-6.2711, 0.0271, -6.8325, 0.0180
-6.1998, 0.0290, -6.7894, 0.0198
-6.2726, 0.0281, -6.8044, 0.0203
-6.2318, 0.0287, -6.8465, 0.0194
-6.2938, 0.0288, -6.8976, 0.0176
-6.2654, 0.0285, -6.8968, 0.0165
-6.3340, 0.0276, -6.9444, 0.0166
-6.3094, 0.0278, -6.9391, 0.0168
-6.2889, 0.0281, -6.9049, 0.0178
-6.3355, 0.0283, -6.9057, 0.0189
-6.3166, 0.0282, -6.9063, 0.0184
-6.2107, 0.0282, -6.9432, 0.0176
-6.3481, 0.0283, -6.8725, 0.0169
-6.3344, 0.0283, -6.9030, 0.0173
-6.0817, 0.0286, -6.8721, 0.0176
-6.1623, 0.0283, -6.8816, 0.0178
-6.2906, 0.0287, -6.8626, 0.0168
-6.2456, 0.0283, -6.8718, 0.0166
-6.3403, 0.0275, -6.9044, 0.0169
-6.2731, 0.0291, -6.9323, 0.0164
-6.2080, 0.0283, -6.9136, 0.0167
-6.2715, 0.0281, -6.8795, 0.0193
-6.2927, 0.0287, -6.8549, 0.0212
-6.2905, 0.0293, -6.8527, 0.0216
-6.2656, 0.0300, -6.8477, 0.0190
-6.3447, 0.0279, -6.9404, 0.0159
-6.2668, 0.0275, -6.9721, 0.0149
-6.2631, 0.0281, -6.9570, 0.0160
-6.1144, 0.0287, -6.9089, 0.0170
-6.3786, 0.0271, -6.8603, 0.0191
-6.2294, 0.0290, -6.7905, 0.0201
-6.3477, 0.0280, -6.8435, 0.0200
-6.3378, 0.0289, -6.8544, 0.0184
-6.2131, 0.0285, -6.9475, 0.0173
-6.2407, 0.0282, -6.9621, 0.0167
-6.2764, 0.0276, -6.9719, 0.0157
-6.2842, 0.0277, -6.9246, 0.0154
-6.2548, 0.0279, -6.8714, 0.0167
-6.1444, 0.0293, -6.8719, 0.0194
-6.1367, 0.0296, -6.8419, 0.0203
-6.2516, 0.0283, -6.8320, 0.0187
-6.2085, 0.0282, -6.8567, 0.0175
-6.2182, 0.0278, -6.8400, 0.0171
-6.2414, 0.0288, -6.7985, 0.0170
-6.1514, 0.0285, -6.8115, 0.0184
-6.2684, 0.0285, -6.8274, 0.0193
-6.2279, 0.0287, -6.8707, 0.0173
-6.2726, 0.0280, -6.8521, 0.0168
-6.2705, 0.0278, -6.8487, 0.0182
-6.2522, 0.0289, -6.8538, 0.0196
-6.3429, 0.0282, -6.8841, 0.0182
-6.2629, 0.0289, -6.9377, 0.0169
-6.3039, 0.0283, -6.9741, 0.0172
-6.3971, 0.0281, -6.9848, 0.0169
-6.3688, 0.0281, -7.0115, 0.0173
-6.2416, 0.0286, -7.0032, 0.0170
-6.3114, 0.0287, -6.9961, 0.0172
-6.3545, 0.0283, -6.9841, 0.0180
-6.3914, 0.0279, -6.9729, 0.0181
-6.3662, 0.0284, -6.9926, 0.0184
-6.3468, 0.0285, -7.0063, 0.0180
-6.3600, 0.0279, -6.9983, 0.0161
-6.2497, 0.0281, -7.0266, 0.0157
-6.2393, 0.0282, -7.0433, 0.0163
-6.3060, 0.0274, -6.9746, 0.0166
-6.2401, 0.0280, -6.9711, 0.0176
-6.2456, 0.0282, -6.8852, 0.0165
-6.1930, 0.0289, -6.8508, 0.0181
-6.2596, 0.0286, -6.8119, 0.0206
-6.3523, 0.0286, -6.8555, 0.0203
-6.3331, 0.0281, -6.9243, 0.0180
-6.3515, 0.0281, -6.9630, 0.0149
-6.4018, 0.0275, -7.0059, 0.0142
-6.3958, 0.0274, -7.0141, 0.0151
-6.3185, 0.0279, -7.0129, 0.0176
-6.3634, 0.0288, -6.9785, 0.0200
-6.2899, 0.0292, -7.0084, 0.0195
-6.3069, 0.0291, -6.9953, 0.0179
-6.3115, 0.0279, -6.9890, 0.0166
-6.3306, 0.0276, -7.0175, 0.0169
-6.3427, 0.0279, -6.9478, 0.0181
-6.2747, 0.0289, -6.9202, 0.0182
-6.3218, 0.0280, -6.9249, 0.0184
-6.3563, 0.0291, -6.9581, 0.0176
-6.3866, 0.0283, -6.9798, 0.0163
-6.2069, 0.0288, -6.9863, 0.0168
-6.3379, 0.0278, -6.9976, 0.0173
-6.2730, 0.0285, -6.9182, 0.0167
-6.2779, 0.0281, -6.9283, 0.0177
-6.2473, 0.0287, -6.8910, 0.0179
-6.2228, 0.0287, -6.9262, 0.0180
-6.2314, 0.0290, -6.9308, 0.0172
-6.3534, 0.0277, -6.8817, 0.0174
-6.3653, 0.0277, -6.9120, 0.0179
-6.2182, 0.0292, -6.9362, 0.0183
-6.2712, 0.0290, -6.9278, 0.0178
-6.3097, 0.0288, -6.9610, 0.0176
-6.4010, 0.0272, -6.9835, 0.0168
