train running loss, train running l2 error, val loss, val l2 error
-7.0180, 0.0207, -7.5706, 0.0138
-7.1159, 0.0207, -7.6582, 0.0135
-7.1334, 0.0213, -7.7062, 0.0140
-7.2569, 0.0209, -7.7698, 0.0138
-7.2883, 0.0210, -7.8644, 0.0134
-7.3015, 0.0209, -7.8356, 0.0139
-7.3324, 0.0205, -7.8581, 0.0150
-7.2939, 0.0211, -7.9166, 0.0135
-7.3194, 0.0211, -7.9045, 0.0144
-7.2822, 0.0209, -7.8564, 0.0129
-7.2707, 0.0210, -7.8907, 0.0141
-7.2363, 0.0209, -7.8309, 0.0151
-7.2884, 0.0208, -7.8626, 0.0134
-7.3226, 0.0204, -7.8535, 0.0140
-7.2800, 0.0212, -7.9367, 0.0129
-7.3280, 0.0208, -7.9071, 0.0147
-7.2597, 0.0208, -7.8953, 0.0133
-7.2725, 0.0211, -7.8574, 0.0136
-7.2515, 0.0210, -7.8633, 0.0142
-7.2683, 0.0206, -7.8600, 0.0146
-7.3319, 0.0212, -7.9035, 0.0141
-7.3452, 0.0207, -7.8832, 0.0159
-7.3366, 0.0210, -7.9032, 0.0144
-7.2883, 0.0208, -7.9464, 0.0146
-7.1479, 0.0211, -7.8513, 0.0135
-7.3125, 0.0203, -7.9232, 0.0137
-7.3215, 0.0212, -7.9558, 0.0131
-7.3368, 0.0205, -7.9725, 0.0148
-7.1950, 0.0219, -7.7186, 0.0133
-7.1781, 0.0209, -7.8827, 0.0143
-7.3530, 0.0200, -7.8520, 0.0138
-7.2577, 0.0214, -7.8747, 0.0141
-7.3326, 0.0214, -7.8031, 0.0140
-7.2945, 0.0214, -7.9237, 0.0138
-7.3433, 0.0205, -7.9140, 0.0133
-7.2300, 0.0214, -7.8842, 0.0140
-7.3690, 0.0208, -7.8847, 0.0146
-7.3473, 0.0211, -7.9595, 0.0143
-7.4012, 0.0215, -7.9693, 0.0148
-7.3080, 0.0211, -7.9615, 0.0130
-7.3314, 0.0206, -7.9247, 0.0148
-7.3456, 0.0208, -7.9586, 0.0144
-7.2862, 0.0211, -7.9300, 0.0130
-7.3024, 0.0210, -7.9217, 0.0146
-7.2846, 0.0214, -7.9081, 0.0139
-7.3594, 0.0204, -7.9386, 0.0133
-7.2580, 0.0205, -7.9539, 0.0138
-7.3135, 0.0209, -7.8644, 0.0152
-7.3917, 0.0208, -7.9403, 0.0142
-7.4138, 0.0205, -8.0058, 0.0144
-7.3460, 0.0216, -7.9949, 0.0144
-7.2936, 0.0210, -7.9187, 0.0149
-7.3715, 0.0209, -7.9311, 0.0134
-7.3321, 0.0208, -7.9113, 0.0144
-7.2630, 0.0215, -7.9631, 0.0131
-7.2709, 0.0215, -7.9614, 0.0139
-7.3345, 0.0204, -7.9264, 0.0142
-7.2636, 0.0209, -7.7905, 0.0143
-7.3593, 0.0210, -7.9388, 0.0155
-7.3831, 0.0209, -7.9759, 0.0135
-7.3919, 0.0207, -7.9607, 0.0129
-7.2797, 0.0204, -7.9758, 0.0137
-7.3495, 0.0209, -7.9833, 0.0139
-7.4035, 0.0206, -7.9062, 0.0151
-7.1896, 0.0219, -7.9086, 0.0148
-7.3482, 0.0207, -7.8729, 0.0152
-7.3146, 0.0223, -7.8814, 0.0150
-7.3760, 0.0218, -7.9611, 0.0142
-7.3585, 0.0204, -7.9113, 0.0135
-7.3079, 0.0204, -7.9260, 0.0147
-7.4005, 0.0208, -7.9232, 0.0148
-7.3768, 0.0209, -7.9738, 0.0144
-7.3939, 0.0204, -7.9838, 0.0141
-7.3247, 0.0212, -7.9883, 0.0136
-7.4063, 0.0203, -8.0149, 0.0139
-7.3284, 0.0210, -8.0122, 0.0134
-7.2465, 0.0214, -7.9238, 0.0148
-7.3678, 0.0210, -7.9623, 0.0139
-7.2963, 0.0209, -7.9036, 0.0137
-7.2709, 0.0211, -7.7560, 0.0154
-7.2837, 0.0207, -7.8426, 0.0143
-7.3627, 0.0206, -7.8905, 0.0137
-7.3226, 0.0211, -7.9413, 0.0136
-7.4365, 0.0206, -7.9994, 0.0137
-7.4095, 0.0217, -7.9794, 0.0147
-7.4401, 0.0206, -8.0194, 0.0150
-7.4487, 0.0205, -8.0306, 0.0137
-7.4393, 0.0207, -8.0476, 0.0148
-7.3586, 0.0211, -8.0597, 0.0152
-7.3490, 0.0216, -8.0460, 0.0141
-7.3570, 0.0211, -7.9864, 0.0144
-7.2775, 0.0207, -7.9739, 0.0147
-7.3353, 0.0210, -7.9005, 0.0142
-7.3217, 0.0214, -7.9416, 0.0141
-7.3971, 0.0215, -7.9387, 0.0159
