train running loss, train running l2 error, val loss, val l2 error
2.0788, 0.8840, 1.1147, 0.4021
1.1339, 0.4758, 0.5035, 0.2220
0.6869, 0.3951, 0.0422, 0.1956
0.3526, 0.3470, -0.2527, 0.2003
0.1833, 0.3290, -0.2083, 0.2182
-0.0216, 0.3049, -0.5638, 0.2212
-0.1515, 0.2972, -0.4713, 0.2492
-0.2808, 0.2930, -0.6398, 0.2426
-0.3872, 0.2769, -0.7565, 0.2293
-0.4501, 0.2792, -0.8255, 0.2427
-0.5255, 0.2678, -0.7939, 0.2486
-0.5323, 0.2623, -0.8654, 0.2406
-0.6193, 0.2521, -0.6879, 0.2829
-0.6694, 0.2461, -1.1287, 0.2124
-0.7378, 0.2404, -1.0103, 0.2302
-0.6642, 0.2460, -1.0157, 0.2277
-0.7603, 0.2388, -1.0110, 0.2323
-0.7348, 0.2325, -1.0918, 0.2244
-0.8129, 0.2269, -0.9378, 0.2495
-0.7679, 0.2311, -1.1136, 0.2173
-0.8390, 0.2246, -1.1495, 0.2169
-0.9068, 0.2202, -1.2197, 0.2085
-0.9374, 0.2199, -1.3695, 0.1813
-0.9199, 0.2129, -1.2180, 0.2030
-0.9023, 0.2189, -0.8920, 0.2565
-0.9537, 0.2168, -1.1425, 0.2186
-1.0490, 0.2026, -1.3702, 0.1806
-1.0251, 0.2006, -1.4254, 0.1668
-1.0365, 0.2004, -1.3163, 0.1918
-1.0019, 0.1982, -1.4909, 0.1680
-1.0508, 0.2040, -1.1512, 0.2229
-1.1065, 0.1983, -1.2811, 0.2003
-1.2327, 0.1842, -1.6202, 0.1541
-1.1933, 0.1869, -1.7010, 0.1427
-1.1775, 0.1936, -1.6583, 0.1437
-1.2386, 0.1786, -1.6165, 0.1530
-1.3080, 0.1798, -1.6023, 0.1606
-1.2914, 0.1791, -1.5000, 0.1759
-1.2763, 0.1783, -1.5626, 0.1634
-1.3684, 0.1732, -1.6820, 0.1506
-1.2986, 0.1709, -1.5654, 0.1675
-1.4077, 0.1697, -1.7151, 0.1483
-1.3879, 0.1683, -1.8895, 0.1262
-1.4339, 0.1603, -1.7311, 0.1470
-1.4760, 0.1639, -1.7612, 0.1492
-1.4865, 0.1564, -1.7961, 0.1400
-1.5333, 0.1569, -2.0524, 0.1139
-1.5105, 0.1522, -2.0752, 0.1118
-1.5785, 0.1510, -1.7413, 0.1502
-1.5717, 0.1521, -2.0302, 0.1161
-1.5557, 0.1506, -1.8706, 0.1336
-1.6014, 0.1476, -1.8047, 0.1443
-1.5962, 0.1504, -1.9732, 0.1283
-1.7010, 0.1425, -1.9436, 0.1329
-1.7645, 0.1355, -1.8950, 0.1401
-1.8071, 0.1369, -2.1001, 0.1169
-1.8172, 0.1331, -2.1914, 0.1086
-1.8692, 0.1309, -2.3590, 0.0927
-1.8673, 0.1312, -2.3328, 0.0930
-1.8196, 0.1268, -2.0657, 0.1214
-1.8884, 0.1274, -2.2218, 0.1026
-1.9540, 0.1238, -2.3536, 0.0954
-1.9973, 0.1206, -2.3521, 0.0998
-2.0052, 0.1189, -2.5069, 0.0824
-2.0645, 0.1158, -2.4768, 0.0883
-2.0954, 0.1152, -2.3831, 0.1019
-2.0391, 0.1201, -2.4554, 0.0864
-2.1233, 0.1112, -2.5042, 0.0904
-2.1652, 0.1108, -2.6833, 0.0727
-2.1364, 0.1118, -2.5694, 0.0813
-2.1932, 0.1081, -2.6740, 0.0751
-2.2165, 0.1048, -2.5912, 0.0836
-2.2155, 0.1058, -2.6101, 0.0838
-2.2551, 0.1072, -2.7743, 0.0696
-2.3105, 0.0998, -2.7674, 0.0756
-2.2839, 0.1038, -2.6339, 0.0831
-2.3075, 0.1007, -2.8918, 0.0618
-2.3394, 0.1004, -2.6253, 0.0854
-2.3743, 0.0975, -2.6698, 0.0836
-2.4170, 0.0978, -2.7450, 0.0790
-2.4244, 0.0937, -2.7040, 0.0810
-2.4555, 0.0954, -2.8138, 0.0773
-2.4823, 0.0934, -2.8530, 0.0741
-2.5666, 0.0902, -2.9190, 0.0752
-2.4620, 0.0934, -3.0426, 0.0612
-2.5860, 0.0896, -2.9391, 0.0734
-2.5458, 0.0904, -3.0249, 0.0613
-2.6196, 0.0869, -3.1528, 0.0594
-2.6060, 0.0859, -3.0710, 0.0675
-2.6218, 0.0862, -3.0849, 0.0593
-2.7548, 0.0810, -3.2769, 0.0550
-2.7183, 0.0845, -3.2652, 0.0580
-2.6710, 0.0838, -3.2271, 0.0555
-2.7785, 0.0798, -3.2194, 0.0624
-2.7680, 0.0814, -3.2027, 0.0620
-2.8016, 0.0798, -3.3798, 0.0489
-2.8395, 0.0771, -3.2739, 0.0616
-2.9165, 0.0749, -3.3611, 0.0561
-2.9113, 0.0761, -3.3857, 0.0540
-2.9867, 0.0733, -3.4481, 0.0545
-3.0146, 0.0723, -3.3726, 0.0633
-2.9761, 0.0726, -3.4230, 0.0546
-2.9293, 0.0759, -3.6178, 0.0358
-3.0224, 0.0717, -3.6129, 0.0437
-3.0109, 0.0703, -3.4489, 0.0601
-3.0470, 0.0703, -3.4844, 0.0526
-3.1847, 0.0661, -3.7775, 0.0405
-3.1612, 0.0663, -3.6766, 0.0459
-3.2314, 0.0662, -3.7306, 0.0480
-3.2398, 0.0649, -3.8160, 0.0403
-3.2510, 0.0640, -3.7686, 0.0486
-3.1861, 0.0651, -3.7204, 0.0457
-3.2715, 0.0644, -3.7892, 0.0428
-3.2228, 0.0654, -3.8492, 0.0413
-3.3999, 0.0596, -3.8810, 0.0413
-3.3509, 0.0590, -3.8613, 0.0467
-3.4259, 0.0593, -3.8928, 0.0430
-3.4648, 0.0587, -4.0362, 0.0397
-3.4682, 0.0582, -3.9193, 0.0433
-3.4866, 0.0561, -3.9860, 0.0423
-3.4792, 0.0562, -3.8487, 0.0464
-3.5787, 0.0546, -4.1305, 0.0379
-3.6404, 0.0534, -4.0192, 0.0451
-3.5239, 0.0566, -3.9771, 0.0413
-3.6254, 0.0520, -4.1375, 0.0370
-3.5693, 0.0542, -3.8857, 0.0488
-3.6317, 0.0527, -3.9565, 0.0477
-3.5758, 0.0534, -3.9358, 0.0474
-3.6725, 0.0520, -4.0684, 0.0428
-3.7699, 0.0492, -4.2304, 0.0360
-3.6004, 0.0516, -4.1581, 0.0374
-3.6976, 0.0495, -4.1519, 0.0382
-3.6764, 0.0500, -4.2441, 0.0333
-3.8932, 0.0466, -4.4114, 0.0317
-3.8593, 0.0470, -4.4387, 0.0309
-3.8509, 0.0449, -4.2927, 0.0315
-3.9063, 0.0458, -4.4179, 0.0315
-3.8596, 0.0453, -4.5615, 0.0248
-3.8672, 0.0447, -4.3232, 0.0307
-3.9084, 0.0457, -4.2968, 0.0340
-3.9921, 0.0426, -4.4757, 0.0303
-4.0023, 0.0418, -4.3115, 0.0350
-4.0335, 0.0429, -4.5304, 0.0268
-4.0999, 0.0417, -4.6014, 0.0288
-4.1091, 0.0403, -4.4841, 0.0356
-4.0786, 0.0407, -4.5980, 0.0284
-4.1064, 0.0406, -4.6334, 0.0297
-4.1553, 0.0393, -4.6851, 0.0258
-4.2074, 0.0380, -4.7076, 0.0255
-4.2100, 0.0380, -4.6032, 0.0310
-4.2628, 0.0383, -4.7476, 0.0275
-4.3794, 0.0368, -4.8604, 0.0278
-4.3213, 0.0370, -4.8362, 0.0235
-4.1869, 0.0391, -4.6638, 0.0251
-4.3277, 0.0362, -4.6871, 0.0310
-4.4353, 0.0360, -4.9748, 0.0243
-4.3641, 0.0358, -4.8307, 0.0299
-4.3181, 0.0367, -4.6600, 0.0329
-4.4567, 0.0350, -4.9216, 0.0268
-4.4734, 0.0343, -4.9542, 0.0254
-4.5322, 0.0343, -5.0225, 0.0265
-4.5514, 0.0340, -5.0814, 0.0199
-4.5844, 0.0330, -4.9023, 0.0288
-4.6101, 0.0336, -5.1338, 0.0207
-4.6089, 0.0321, -4.8761, 0.0327
-4.4946, 0.0358, -5.0192, 0.0229
-4.6628, 0.0320, -5.2605, 0.0201
-4.6854, 0.0318, -5.1732, 0.0216
-4.7546, 0.0311, -5.4052, 0.0232
-4.6931, 0.0320, -5.2737, 0.0208
-4.8538, 0.0306, -5.4417, 0.0186
-4.7261, 0.0317, -5.1676, 0.0194
-4.7813, 0.0311, -5.1246, 0.0278
-4.8084, 0.0312, -5.3044, 0.0212
-4.8591, 0.0314, -5.1463, 0.0221
-4.8513, 0.0311, -5.4207, 0.0207
-4.9422, 0.0289, -5.3540, 0.0288
-4.9410, 0.0311, -5.5228, 0.0187
-5.0312, 0.0292, -5.6064, 0.0213
-5.0485, 0.0291, -5.5122, 0.0201
-5.0511, 0.0292, -5.6921, 0.0186
-5.1105, 0.0291, -5.6339, 0.0186
-5.1121, 0.0291, -5.7162, 0.0196
-5.2095, 0.0283, -5.6554, 0.0207
-5.2173, 0.0289, -5.7556, 0.0204
-5.1742, 0.0284, -5.6719, 0.0216
-5.2193, 0.0288, -5.6313, 0.0243
-5.1889, 0.0293, -5.8091, 0.0211
-5.3360, 0.0280, -5.7421, 0.0250
-5.2788, 0.0285, -5.7396, 0.0219
-5.2611, 0.0292, -5.7338, 0.0174
-5.3347, 0.0276, -5.8418, 0.0230
-5.3405, 0.0278, -5.7318, 0.0272
-5.3457, 0.0291, -5.9317, 0.0209
-5.3611, 0.0302, -5.7506, 0.0192
-5.2968, 0.0288, -5.9386, 0.0207
-5.3313, 0.0288, -5.9553, 0.0202
-5.5035, 0.0267, -6.0463, 0.0162
-5.6010, 0.0272, -6.1062, 0.0192
-5.5150, 0.0272, -6.0996, 0.0218
-5.5949, 0.0269, -5.9630, 0.0183
-5.5569, 0.0278, -5.8642, 0.0253
-5.5997, 0.0282, -6.1323, 0.0246
-5.5639, 0.0271, -6.0670, 0.0209
-5.5745, 0.0275, -6.1786, 0.0167
-5.6597, 0.0276, -6.2585, 0.0180
-5.7272, 0.0269, -6.2706, 0.0211
-5.6862, 0.0274, -6.2883, 0.0191
-5.7700, 0.0271, -6.3398, 0.0184
-5.6645, 0.0278, -6.0548, 0.0247
-5.6122, 0.0273, -6.1232, 0.0201
-5.6650, 0.0261, -6.2898, 0.0176
-5.8336, 0.0253, -6.5122, 0.0179
-5.7795, 0.0261, -6.2028, 0.0227
-5.5176, 0.0276, -6.0309, 0.0194
-5.7040, 0.0259, -6.3387, 0.0210
-5.6916, 0.0278, -5.8967, 0.0282
-5.4720, 0.0284, -6.0148, 0.0196
-5.7982, 0.0259, -6.3715, 0.0193
-5.8765, 0.0253, -6.4376, 0.0183
-5.8705, 0.0255, -6.1427, 0.0223
-5.6253, 0.0256, -6.1704, 0.0199
-5.7493, 0.0255, -6.4435, 0.0153
-5.8737, 0.0249, -6.4718, 0.0182
-5.9612, 0.0253, -6.5410, 0.0171
-5.9966, 0.0253, -6.7048, 0.0186
-5.7114, 0.0260, -6.1477, 0.0159
-5.6633, 0.0266, -6.1789, 0.0222
-5.9063, 0.0259, -6.6361, 0.0163
-5.8345, 0.0262, -6.5065, 0.0172
-5.9533, 0.0262, -6.4842, 0.0218
-6.0602, 0.0260, -6.4053, 0.0156
-5.7268, 0.0248, -6.3350, 0.0173
-5.9865, 0.0248, -6.5230, 0.0185
-5.9345, 0.0252, -6.2444, 0.0181
-5.6249, 0.0251, -6.1166, 0.0190
-5.8146, 0.0264, -6.4280, 0.0180
-6.0312, 0.0245, -6.7138, 0.0150
-5.9348, 0.0251, -6.4360, 0.0206
-6.0116, 0.0257, -6.6216, 0.0174
-5.8861, 0.0254, -6.5029, 0.0163
-5.9692, 0.0248, -6.3947, 0.0159
-5.9868, 0.0246, -6.5807, 0.0168
-6.1808, 0.0252, -6.8096, 0.0168
-5.9843, 0.0251, -6.6383, 0.0185
-5.9937, 0.0263, -6.3732, 0.0165
-5.8379, 0.0272, -6.4602, 0.0202
-6.0517, 0.0261, -6.6379, 0.0187
-6.2282, 0.0243, -6.8195, 0.0149
-6.1596, 0.0253, -6.7052, 0.0179
-6.1331, 0.0250, -6.7166, 0.0152
-6.2270, 0.0246, -6.8454, 0.0158
-6.1075, 0.0240, -6.5632, 0.0180
-5.5615, 0.0274, -6.0352, 0.0222
-5.8104, 0.0255, -6.3715, 0.0202
-6.0707, 0.0251, -6.6547, 0.0180
