train running loss, train running l2 error, val loss, val l2 error
-3.2210, 0.0873, -2.0966, 0.1138
-3.2475, 0.0913, -2.1987, 0.1074
-3.2648, 0.0910, -1.9231, 0.1199
-3.2751, 0.0905, -1.8767, 0.1165
-3.1999, 0.0899, -2.1886, 0.1133
-3.2104, 0.0922, -2.0920, 0.1181
-3.2597, 0.0927, -2.1095, 0.1143
-3.2779, 0.0919, -2.0494, 0.1160
-3.2857, 0.0890, -2.0561, 0.1130
-3.3288, 0.0891, -1.9726, 0.1180
-3.2581, 0.0961, -1.8496, 0.1208
-3.2746, 0.0902, -1.9778, 0.1114
-3.2565, 0.0912, -1.9479, 0.1206
-3.3725, 0.0857, -2.0432, 0.1137
-3.2779, 0.0926, -1.9091, 0.1151
-3.3356, 0.0898, -1.8144, 0.1184
-3.3103, 0.0913, -2.2143, 0.1085
-3.3426, 0.0878, -1.7352, 0.1255
-3.3894, 0.0848, -1.9389, 0.1157
-3.3183, 0.0934, -1.7371, 0.1204
-3.3277, 0.0929, -1.7742, 0.1187
-3.3473, 0.0908, -2.0631, 0.1122
-3.3026, 0.0901, -1.8444, 0.1165
-3.3718, 0.0889, -1.8965, 0.1129
-3.3632, 0.0891, -1.4837, 0.1237
-3.3121, 0.0927, -1.7644, 0.1129
-3.3445, 0.0920, -1.7260, 0.1158
-3.4259, 0.0839, -1.6127, 0.1186
-3.3784, 0.0885, -1.8013, 0.1171
-3.3158, 0.0945, -1.7259, 0.1155
-3.3858, 0.0896, -1.6599, 0.1196
-3.3769, 0.0901, -1.6922, 0.1172
-3.3793, 0.0921, -1.4807, 0.1258
-3.3746, 0.0932, -1.6712, 0.1196
-3.4022, 0.0894, -1.8337, 0.1172
-3.3412, 0.0922, -1.8668, 0.1120
-3.4152, 0.0910, -1.4671, 0.1232
-3.4237, 0.0906, -1.7138, 0.1142
-3.4120, 0.0914, -1.7101, 0.1152
-3.4177, 0.0911, -1.1381, 0.1244
-3.4284, 0.0903, -1.5834, 0.1158
-3.4360, 0.0901, -1.3874, 0.1230
-3.3957, 0.0951, -1.4712, 0.1159
-3.4409, 0.0909, -1.4964, 0.1226
-3.4111, 0.0910, -1.2967, 0.1234
-3.4201, 0.0905, -1.4332, 0.1189
-3.4202, 0.0948, -1.3646, 0.1192
-3.4366, 0.0930, -1.6401, 0.1119
-3.4785, 0.0877, -1.2799, 0.1210
-3.5107, 0.0898, -1.4239, 0.1153
-3.4708, 0.0898, -1.1941, 0.1191
-3.4667, 0.0888, -1.3363, 0.1203
-3.4821, 0.0933, -1.2307, 0.1212
-3.4775, 0.0893, -1.0284, 0.1196
-3.4138, 0.0967, -1.2773, 0.1206
-3.4910, 0.0895, -1.3129, 0.1154
-3.5109, 0.0886, -1.1926, 0.1176
-3.5026, 0.0929, -1.0471, 0.1216
-3.5161, 0.0884, -1.1809, 0.1233
-3.4778, 0.0948, -1.2054, 0.1204
-3.4811, 0.0939, -0.9023, 0.1222
-3.5621, 0.0914, -0.8459, 0.1167
-3.5170, 0.0919, -1.2293, 0.1160
-3.4710, 0.0921, -1.2285, 0.1141
-3.5182, 0.0891, -1.0695, 0.1196
-3.5273, 0.0878, -1.2134, 0.1174
-3.5517, 0.0885, -1.1197, 0.1167
-3.5629, 0.0905, -0.8610, 0.1193
-3.5302, 0.0938, -0.8908, 0.1218
-3.5430, 0.0953, -0.8322, 0.1181
-3.5673, 0.0915, -0.5563, 0.1201
-3.5810, 0.0921, -0.5156, 0.1203
-3.6217, 0.0867, -0.5904, 0.1226
-3.5761, 0.0930, -0.4896, 0.1252
-3.5621, 0.0907, -0.4009, 0.1228
-3.5335, 0.0948, -0.1902, 0.1272
-3.5490, 0.0926, -0.9271, 0.1184
-3.5713, 0.0905, -0.6305, 0.1214
-3.5712, 0.0919, -0.4233, 0.1155
-3.5907, 0.0940, -0.2649, 0.1216
-3.6147, 0.0926, -0.1877, 0.1239
-3.5909, 0.0947, -0.0880, 0.1251
-3.5903, 0.0896, -0.7289, 0.1189
-3.5433, 0.0943, -0.3974, 0.1211
-3.6432, 0.0917, -0.1165, 0.1215
-3.6388, 0.0907, 0.0612, 0.1238
-3.6120, 0.0931, 0.0168, 0.1240
-3.5962, 0.0927, 0.0502, 0.1255
-3.6412, 0.0967, -0.0141, 0.1200
-3.5922, 0.0919, 0.1856, 0.1274
-3.6429, 0.0914, -0.0512, 0.1218
-3.5960, 0.0957, -0.0258, 0.1236
-3.6422, 0.0934, -0.2002, 0.1215
-3.6685, 0.0939, 0.1923, 0.1229
-3.6159, 0.0964, 0.6593, 0.1272
-3.5896, 0.0968, 0.1483, 0.1203
-3.6926, 0.0893, 0.5871, 0.1299
-3.6655, 0.0936, 0.0047, 0.1231
-3.6581, 0.0927, 0.3547, 0.1255
-3.6039, 0.0951, 0.1755, 0.1266
-3.6881, 0.0908, 0.5169, 0.1217
-3.6678, 0.0934, 0.4429, 0.1254
-3.6994, 0.0950, 0.7739, 0.1252
-3.7499, 0.0892, 0.7287, 0.1240
-3.7448, 0.0905, 0.9693, 0.1234
-3.7405, 0.0914, 1.2232, 0.1304
-3.6920, 0.0943, 0.7518, 0.1192
-3.6889, 0.0925, 0.6689, 0.1225
-3.7306, 0.0949, 1.0776, 0.1246
-3.6952, 0.0971, 0.8906, 0.1208
-3.6532, 0.0990, 1.0312, 0.1228
-3.7078, 0.0980, 0.9577, 0.1223
-3.7236, 0.0960, 1.0815, 0.1233
-3.7793, 0.0888, 1.8851, 0.1295
-3.6881, 0.0943, 1.0552, 0.1260
-3.7338, 0.0944, 0.9117, 0.1224
-3.7282, 0.0927, 1.1433, 0.1225
-3.7497, 0.0921, 1.1291, 0.1213
-3.7286, 0.0936, 1.1613, 0.1258
-3.7778, 0.0898, 1.3831, 0.1232
-3.7258, 0.0967, 1.3932, 0.1262
-3.7765, 0.0937, 1.8019, 0.1280
-3.7122, 0.1004, 1.6015, 0.1280
-3.7154, 0.0967, 1.0278, 0.1189
-3.7657, 0.0966, 1.8711, 0.1268
-3.7812, 0.0919, 2.6915, 0.1265
-3.6553, 0.1001, 1.8091, 0.1227
-3.8162, 0.0909, 1.9502, 0.1244
-3.7490, 0.0929, 1.5220, 0.1239
-3.8003, 0.0925, 1.9441, 0.1245
-3.7900, 0.0928, 2.2401, 0.1247
-3.7933, 0.0910, 2.3386, 0.1254
-3.8110, 0.0947, 2.3972, 0.1222
-3.7994, 0.0936, 2.9014, 0.1317
-3.7942, 0.0924, 1.9296, 0.1234
-3.8064, 0.0959, 2.1096, 0.1249
-3.7787, 0.0990, 2.8341, 0.1246
-3.7882, 0.0964, 2.4902, 0.1245
-3.7572, 0.0951, 2.5628, 0.1305
-3.8253, 0.0954, 2.4820, 0.1265
-3.9025, 0.0904, 2.6570, 0.1259
-3.8451, 0.0943, 2.9382, 0.1253
-3.7868, 0.0970, 2.1266, 0.1245
-3.8239, 0.0952, 2.6687, 0.1228
-3.7646, 0.0975, 2.2188, 0.1240
-3.7792, 0.0976, 2.7782, 0.1254
-3.8229, 0.0957, 2.8583, 0.1259
-3.8388, 0.0988, 3.4051, 0.1248
-3.8865, 0.0928, 3.3139, 0.1292
-3.8345, 0.0992, 3.2554, 0.1242
-3.8843, 0.0908, 2.7960, 0.1227
-3.8135, 0.1002, 3.2782, 0.1266
-3.9002, 0.0924, 2.9774, 0.1252
-3.8163, 0.0973, 3.6770, 0.1284
-3.9127, 0.0901, 3.0671, 0.1276
-3.8359, 0.0958, 3.7416, 0.1339
-3.8462, 0.0991, 3.1745, 0.1267
-3.8782, 0.0951, 4.2822, 0.1250
-3.7668, 0.0977, 3.1327, 0.1288
-3.8106, 0.1014, 3.6742, 0.1281
-3.8740, 0.0961, 3.4549, 0.1250
-3.8088, 0.1054, 4.1824, 0.1274
-3.8504, 0.0951, 3.7900, 0.1277
-3.8413, 0.0967, 4.1008, 0.1239
-3.8383, 0.0989, 3.5891, 0.1244
-3.8621, 0.0957, 3.8546, 0.1249
-3.9277, 0.0920, 4.0986, 0.1289
-3.9239, 0.0917, 4.4308, 0.1230
-3.9311, 0.0912, 4.2336, 0.1255
-3.7789, 0.1057, 3.9176, 0.1311
-3.8468, 0.1001, 3.6154, 0.1270
-3.9504, 0.0878, 4.2766, 0.1275
-3.8838, 0.1001, 4.4101, 0.1276
-3.9057, 0.0922, 4.7582, 0.1253
-3.9037, 0.0976, 4.2543, 0.1248
-3.9359, 0.0924, 4.9482, 0.1290
-3.9033, 0.0957, 4.2684, 0.1266
-3.9258, 0.0946, 5.2378, 0.1285
-3.9718, 0.0919, 5.0019, 0.1277
-3.8926, 0.0984, 5.2626, 0.1335
