train running loss, train running l2 error, val loss, val l2 error
1.9002, 0.7056, 1.8072, 0.6643
1.6881, 0.6102, 1.4982, 0.5252
1.2008, 0.3968, 0.7319, 0.2016
0.3922, 0.2505, -0.2144, 0.1627
-0.1298, 0.2475, -0.7608, 0.1581
-0.3506, 0.2429, -0.8221, 0.1554
-0.4312, 0.2390, -0.9390, 0.1460
-0.5398, 0.2279, -1.0357, 0.1400
-0.6331, 0.2151, -1.1135, 0.1276
-0.7088, 0.2058, -1.1947, 0.1231
-0.7959, 0.2001, -1.3212, 0.1162
-0.9095, 0.1896, -1.4583, 0.1059
-0.9882, 0.1853, -1.5137, 0.1055
-1.0629, 0.1775, -1.6358, 0.0940
-1.1315, 0.1749, -1.7388, 0.0853
-1.1597, 0.1723, -1.7319, 0.0906
-1.2665, 0.1656, -1.8392, 0.0914
-1.2884, 0.1636, -1.8631, 0.0895
-1.3486, 0.1622, -1.8414, 0.1019
-1.3965, 0.1561, -1.9352, 0.0954
-1.4384, 0.1534, -1.9244, 0.1018
-1.4881, 0.1492, -1.8847, 0.1098
-1.5643, 0.1451, -2.1118, 0.0911
-1.5663, 0.1440, -2.0083, 0.1007
-1.6320, 0.1388, -2.1329, 0.0950
-1.6751, 0.1374, -2.1121, 0.0984
-1.7034, 0.1352, -2.0484, 0.1060
-1.7236, 0.1324, -1.9957, 0.1125
-1.7609, 0.1316, -2.1795, 0.0984
-1.8175, 0.1284, -2.0128, 0.1157
-1.7924, 0.1291, -2.2607, 0.0934
-1.8502, 0.1245, -2.1935, 0.1006
-1.8694, 0.1248, -2.0076, 0.1181
-1.9408, 0.1204, -2.2921, 0.0943
-1.9605, 0.1194, -2.1288, 0.1118
-1.9842, 0.1182, -2.2504, 0.1002
-2.0280, 0.1142, -2.2525, 0.0997
-2.0365, 0.1140, -2.3342, 0.0968
-2.0531, 0.1134, -2.3656, 0.0958
-2.1352, 0.1082, -2.2867, 0.1031
-2.1405, 0.1089, -2.4658, 0.0919
-2.1678, 0.1081, -2.2925, 0.1033
-2.2390, 0.1040, -2.3160, 0.1041
-2.2327, 0.1047, -2.7398, 0.0733
-2.2929, 0.1001, -2.3728, 0.1035
-2.3034, 0.1015, -2.5475, 0.0889
-2.3294, 0.0984, -2.5674, 0.0937
-2.3398, 0.0990, -2.3245, 0.1078
-2.3831, 0.0980, -2.5128, 0.0945
-2.4558, 0.0937, -2.7991, 0.0784
-2.4560, 0.0938, -2.6905, 0.0827
-2.4901, 0.0917, -2.6667, 0.0888
-2.5259, 0.0908, -2.6728, 0.0872
-2.5150, 0.0913, -2.6284, 0.0909
-2.5691, 0.0887, -2.5719, 0.0971
-2.5805, 0.0894, -2.7875, 0.0859
-2.6067, 0.0872, -2.4740, 0.1048
-2.6262, 0.0860, -3.0948, 0.0654
-2.6274, 0.0858, -2.7833, 0.0869
-2.6176, 0.0872, -2.5979, 0.0961
-2.6658, 0.0852, -2.9069, 0.0790
-2.6090, 0.0883, -2.6855, 0.0878
-2.6184, 0.0868, -2.8524, 0.0794
-2.6704, 0.0841, -2.7926, 0.0820
-2.7073, 0.0824, -2.7182, 0.0896
-2.6846, 0.0845, -2.8072, 0.0850
-2.7265, 0.0821, -2.6716, 0.0893
-2.7761, 0.0818, -3.1285, 0.0681
-2.7969, 0.0799, -2.7955, 0.0887
-2.8200, 0.0810, -2.9510, 0.0791
-2.8309, 0.0796, -2.9874, 0.0804
-2.8155, 0.0792, -2.8626, 0.0860
-2.8640, 0.0782, -2.8584, 0.0835
-2.8429, 0.0796, -3.1328, 0.0716
-2.8087, 0.0809, -2.7186, 0.0949
-2.8653, 0.0772, -2.9824, 0.0809
-2.9050, 0.0782, -3.1137, 0.0741
-2.8655, 0.0793, -3.0714, 0.0770
-2.8931, 0.0770, -2.9735, 0.0808
-2.8912, 0.0777, -3.0389, 0.0764
-2.9382, 0.0766, -3.0804, 0.0760
-2.9203, 0.0769, -2.9254, 0.0873
-2.9418, 0.0758, -3.0608, 0.0749
-2.9269, 0.0764, -3.1045, 0.0756
-2.9651, 0.0746, -3.0340, 0.0823
-2.9445, 0.0771, -3.0381, 0.0801
-2.9783, 0.0755, -3.0850, 0.0772
-3.0009, 0.0744, -3.1217, 0.0781
-3.0065, 0.0743, -2.9081, 0.0888
-2.9860, 0.0747, -3.1350, 0.0772
-3.0529, 0.0727, -3.0648, 0.0823
-3.0293, 0.0748, -3.1349, 0.0770
-3.0953, 0.0705, -3.1811, 0.0775
-3.0897, 0.0725, -3.0942, 0.0802
-3.0700, 0.0722, -3.2595, 0.0721
-3.0684, 0.0728, -3.3612, 0.0670
-3.0515, 0.0728, -3.0476, 0.0832
-3.0944, 0.0714, -3.2142, 0.0738
-3.1247, 0.0697, -3.0405, 0.0835
-3.1111, 0.0708, -3.1960, 0.0778
-3.0853, 0.0716, -3.2954, 0.0676
-3.1214, 0.0710, -3.3571, 0.0699
-3.1449, 0.0700, -2.8907, 0.0920
-3.1449, 0.0703, -3.2517, 0.0736
-3.0905, 0.0710, -3.0769, 0.0837
-3.1742, 0.0693, -3.2669, 0.0722
-3.0605, 0.0716, -3.2326, 0.0716
-3.1047, 0.0712, -3.2796, 0.0724
-3.1778, 0.0698, -3.3395, 0.0713
-3.1791, 0.0688, -3.2730, 0.0752
-3.2264, 0.0680, -3.0966, 0.0839
-3.1796, 0.0702, -3.3283, 0.0696
-3.1744, 0.0688, -3.3445, 0.0723
-3.1938, 0.0696, -3.3160, 0.0732
-3.2600, 0.0672, -3.2211, 0.0789
-3.1938, 0.0690, -3.1638, 0.0756
-3.1886, 0.0683, -3.2257, 0.0762
-3.2719, 0.0659, -3.3779, 0.0726
-3.2386, 0.0681, -3.2238, 0.0792
-3.2248, 0.0672, -3.2683, 0.0773
-3.2602, 0.0667, -3.3879, 0.0690
-3.2572, 0.0670, -3.0330, 0.0872
-3.2915, 0.0661, -3.4054, 0.0711
-3.2324, 0.0670, -3.2924, 0.0777
-3.2824, 0.0656, -3.3195, 0.0733
-3.2658, 0.0665, -3.4309, 0.0700
-3.2550, 0.0668, -3.3772, 0.0702
-3.3088, 0.0647, -3.2591, 0.0781
-3.2667, 0.0664, -3.2644, 0.0789
-3.2231, 0.0689, -3.5085, 0.0652
-3.3368, 0.0641, -3.4877, 0.0690
-3.2810, 0.0671, -3.2021, 0.0817
-3.2986, 0.0662, -3.7180, 0.0565
-3.3789, 0.0642, -3.4562, 0.0710
-3.3610, 0.0639, -3.3306, 0.0781
-3.3539, 0.0648, -3.4109, 0.0723
-3.3117, 0.0651, -3.4047, 0.0734
-3.3583, 0.0642, -3.4641, 0.0694
-3.3253, 0.0649, -3.5025, 0.0656
-3.3133, 0.0658, -3.2884, 0.0753
-3.3722, 0.0637, -3.4805, 0.0705
-3.3667, 0.0640, -3.5858, 0.0646
-3.3490, 0.0647, -3.6149, 0.0641
-3.3925, 0.0631, -3.4019, 0.0757
-3.3911, 0.0631, -3.5601, 0.0676
-3.3983, 0.0623, -3.5934, 0.0662
-3.3807, 0.0636, -3.6884, 0.0594
-3.3829, 0.0638, -3.6368, 0.0628
-3.3488, 0.0635, -3.4904, 0.0650
-3.3257, 0.0632, -3.4346, 0.0712
-3.3681, 0.0637, -3.5158, 0.0696
-3.4797, 0.0604, -3.7013, 0.0616
-3.4037, 0.0627, -3.5105, 0.0693
-3.4624, 0.0608, -3.6150, 0.0656
-3.4654, 0.0611, -3.4591, 0.0735
-3.4556, 0.0615, -3.4883, 0.0690
-3.4212, 0.0616, -3.6486, 0.0634
-3.4833, 0.0600, -3.5899, 0.0678
-3.4280, 0.0624, -3.5972, 0.0650
-3.4647, 0.0604, -3.7077, 0.0616
-3.4561, 0.0612, -3.6659, 0.0634
-3.4750, 0.0610, -3.6349, 0.0645
-3.4661, 0.0612, -3.5996, 0.0658
-3.4386, 0.0615, -3.4914, 0.0714
-3.4661, 0.0619, -3.6520, 0.0644
-3.4789, 0.0611, -3.5279, 0.0715
-3.4382, 0.0616, -3.7957, 0.0558
-3.5049, 0.0593, -3.5619, 0.0698
-3.4569, 0.0623, -3.8698, 0.0548
-3.5116, 0.0614, -3.5541, 0.0713
-3.5014, 0.0600, -3.6698, 0.0656
-3.4805, 0.0608, -3.7377, 0.0596
-3.5156, 0.0602, -3.8810, 0.0527
-3.5139, 0.0592, -3.6276, 0.0658
-3.5030, 0.0598, -3.8180, 0.0570
-3.4917, 0.0598, -3.5832, 0.0676
-3.5090, 0.0604, -3.8411, 0.0564
-3.5084, 0.0595, -3.7068, 0.0627
-3.5540, 0.0590, -3.5868, 0.0692
-3.5687, 0.0593, -3.7588, 0.0619
-3.5129, 0.0592, -3.8095, 0.0596
-3.5558, 0.0590, -3.7986, 0.0602
-3.5613, 0.0576, -3.8422, 0.0583
-3.6198, 0.0573, -3.7269, 0.0611
-3.5287, 0.0588, -3.7456, 0.0628
-3.5767, 0.0578, -3.7602, 0.0613
-3.5509, 0.0587, -3.8398, 0.0577
-3.5787, 0.0585, -3.7966, 0.0607
-3.5877, 0.0576, -3.6170, 0.0697
-3.5800, 0.0581, -3.7212, 0.0643
-3.5584, 0.0591, -3.8619, 0.0576
-3.5663, 0.0578, -3.8117, 0.0600
-3.5813, 0.0580, -3.8010, 0.0607
-3.6227, 0.0561, -3.8735, 0.0577
-3.5994, 0.0572, -3.7466, 0.0639
-3.6371, 0.0569, -3.8953, 0.0578
-3.6394, 0.0576, -3.7624, 0.0627
-3.6772, 0.0560, -3.6609, 0.0697
-3.6358, 0.0573, -3.7395, 0.0643
-3.6506, 0.0564, -3.8992, 0.0582
