train running loss, train running l2 error, val loss, val l2 error
5.5423, 0.7951, 1.3634, 0.6010
1.4942, 0.7155, 1.2191, 0.7700
1.0791, 0.6848, 0.8193, 0.6150
0.7983, 0.5400, 0.3253, 0.3808
0.2330, 0.3459, -0.0047, 0.2683
-0.0535, 0.3119, -0.6164, 0.2286
-0.2956, 0.3072, -0.1487, 0.3331
-0.3158, 0.2806, -0.1732, 0.3283
-0.3038, 0.3106, -1.0979, 0.1911
-0.7003, 0.2131, -0.9816, 0.1785
-0.9348, 0.1963, -0.8920, 0.2069
-1.0261, 0.1841, -1.0552, 0.2294
-1.1782, 0.1866, -1.4127, 0.1621
-1.3806, 0.1629, -1.6349, 0.1553
-1.4600, 0.1604, -1.3809, 0.1841
-1.5022, 0.1524, -1.4959, 0.1693
-1.5670, 0.1476, -1.3706, 0.2042
-1.6783, 0.1452, -1.6527, 0.1718
-1.7866, 0.1405, -1.9339, 0.1407
-1.8443, 0.1313, -1.8805, 0.1349
-1.8129, 0.1306, -1.9597, 0.1387
-1.7250, 0.1279, -1.4482, 0.1646
-1.7598, 0.1291, -1.5344, 0.1654
-1.8789, 0.1232, -1.5014, 0.1680
-1.8996, 0.1257, -1.6896, 0.1526
-1.9760, 0.1150, -1.9638, 0.1316
-2.0433, 0.1234, -1.9602, 0.1455
-2.0850, 0.1169, -2.0076, 0.1370
-2.1644, 0.1135, -2.2323, 0.1224
-2.2785, 0.1096, -2.2336, 0.1151
-2.0458, 0.1165, -1.9325, 0.1341
-2.0643, 0.1106, -2.2507, 0.1015
-2.2146, 0.1019, -2.2274, 0.1131
-2.3401, 0.1016, -2.3710, 0.1141
-2.4403, 0.1021, -2.7281, 0.0904
-2.4226, 0.1007, -2.0900, 0.1385
-2.3949, 0.1013, -2.7369, 0.0867
-2.5978, 0.0934, -2.6439, 0.0974
-2.6305, 0.0923, -2.7034, 0.1012
-2.6931, 0.0917, -2.8041, 0.0923
-2.6711, 0.0907, -2.6997, 0.1011
-2.7603, 0.0883, -2.8359, 0.0869
-2.7249, 0.0890, -2.7368, 0.0947
-2.7077, 0.0900, -2.9156, 0.0831
-2.8426, 0.0872, -2.8946, 0.0862
-2.7987, 0.0869, -2.8491, 0.0869
-2.8728, 0.0860, -3.0711, 0.0767
-2.8343, 0.0871, -2.9420, 0.0825
-2.9682, 0.0821, -3.0724, 0.0781
-2.9711, 0.0833, -3.1011, 0.0812
-2.8754, 0.0856, -2.8908, 0.0960
-2.9156, 0.0836, -3.0543, 0.0766
-2.9793, 0.0841, -3.1255, 0.0705
-2.9939, 0.0822, -3.0721, 0.0869
-3.0277, 0.0842, -3.3871, 0.0643
-3.0409, 0.0820, -3.0765, 0.0821
-2.9580, 0.0833, -3.0920, 0.0812
-2.9883, 0.0824, -3.1053, 0.0809
-3.0778, 0.0794, -3.2169, 0.0802
-3.0078, 0.0834, -3.1551, 0.0753
-3.0773, 0.0792, -2.9658, 0.0841
-3.0070, 0.0829, -3.1189, 0.0745
-3.0563, 0.0807, -3.1386, 0.0764
-3.1455, 0.0770, -3.1467, 0.0788
-3.1571, 0.0823, -3.3650, 0.0739
-3.1313, 0.0812, -3.0658, 0.0821
-3.1940, 0.0751, -3.1557, 0.0744
-3.1861, 0.0766, -3.3317, 0.0723
-3.1230, 0.0810, -3.1860, 0.0829
-3.2076, 0.0777, -3.2404, 0.0817
-3.2173, 0.0792, -3.2383, 0.0758
-3.1441, 0.0803, -3.1310, 0.0818
-3.2587, 0.0768, -3.2886, 0.0809
-3.2382, 0.0809, -3.2894, 0.0782
-3.1915, 0.0810, -3.1524, 0.0909
-2.9900, 0.0813, -2.8478, 0.0976
-2.8466, 0.0977, -2.8132, 0.0874
-2.9002, 0.0833, -3.0963, 0.0643
-3.0297, 0.0822, -3.1943, 0.0745
-3.1961, 0.0786, -3.4317, 0.0744
-3.3154, 0.0759, -3.5102, 0.0687
-3.2613, 0.0745, -3.1710, 0.0852
-3.2721, 0.0808, -3.4162, 0.0702
-3.3207, 0.0762, -3.3390, 0.0754
-3.2942, 0.0768, -3.2812, 0.0819
-3.2572, 0.0787, -3.1566, 0.0801
-3.3143, 0.0783, -3.3223, 0.0784
-3.4083, 0.0789, -3.3303, 0.0816
-3.3867, 0.0769, -3.3201, 0.0748
-3.4506, 0.0750, -3.4108, 0.0765
-3.5188, 0.0776, -3.3018, 0.0884
-3.5025, 0.0759, -3.6342, 0.0710
-3.3273, 0.0786, -3.1519, 0.0859
-3.3568, 0.0775, -3.2730, 0.0815
-3.4703, 0.0783, -3.4207, 0.0712
-3.4960, 0.0777, -3.5185, 0.0745
-3.2812, 0.0786, -3.0817, 0.0904
-3.3686, 0.0803, -3.2447, 0.0759
-3.3806, 0.0758, -3.2765, 0.0790
-3.4473, 0.0781, -3.4175, 0.0759
