train running loss, train running l2 error, val loss, val l2 error
2.6323, 0.5901, 2.0382, 0.7016
1.8778, 0.6538, 1.0325, 0.3986
0.9434, 0.4147, 0.2756, 0.2950
0.4249, 0.3475, -0.0752, 0.2800
-0.0410, 0.3027, -0.4017, 0.2869
-0.3062, 0.2724, -1.0278, 0.1641
-0.6101, 0.2294, -0.9291, 0.2338
-0.5549, 0.2624, -0.5516, 0.2619
-0.5268, 0.2373, -0.8257, 0.1841
-0.8282, 0.2120, -1.2070, 0.2031
-1.0690, 0.2026, -1.5089, 0.1514
-1.2756, 0.1822, -1.6818, 0.1591
-1.3609, 0.1858, -1.8441, 0.1427
-1.4760, 0.1696, -1.8076, 0.1463
-1.5533, 0.1718, -2.0418, 0.1362
-1.5499, 0.1705, -1.9499, 0.1367
-1.6145, 0.1606, -2.1543, 0.1293
-1.7529, 0.1553, -2.2996, 0.1241
-1.8317, 0.1500, -2.2135, 0.1144
-1.9793, 0.1363, -2.4033, 0.1094
-2.0083, 0.1314, -2.2559, 0.1170
-2.1134, 0.1267, -2.4134, 0.1090
-2.1846, 0.1225, -2.5795, 0.1013
-2.2596, 0.1175, -2.6265, 0.1020
-2.3346, 0.1151, -2.8006, 0.0844
-2.4255, 0.1105, -2.8292, 0.0829
-2.5359, 0.1042, -2.9777, 0.0730
-2.5632, 0.1018, -2.9153, 0.0898
-2.6167, 0.1010, -3.1654, 0.0738
-2.6975, 0.0968, -3.1235, 0.0673
-2.7379, 0.0929, -3.1858, 0.0658
-2.7586, 0.0934, -3.3110, 0.0630
-2.7970, 0.0905, -3.2198, 0.0585
-2.8527, 0.0885, -3.2432, 0.0748
-2.8681, 0.0892, -3.1865, 0.0728
-2.9293, 0.0874, -3.4826, 0.0634
-2.9649, 0.0864, -3.4049, 0.0681
-3.0129, 0.0850, -3.4558, 0.0632
-3.0540, 0.0815, -3.4411, 0.0595
-3.0690, 0.0831, -3.5836, 0.0609
-3.1307, 0.0813, -3.5765, 0.0602
-3.1403, 0.0817, -3.5316, 0.0671
-3.1120, 0.0827, -3.5103, 0.0671
-3.0878, 0.0839, -3.5069, 0.0675
-3.2170, 0.0815, -3.6572, 0.0782
-3.0228, 0.0831, -3.2260, 0.0707
-3.1297, 0.0814, -3.8107, 0.0547
-3.1930, 0.0806, -3.6231, 0.0463
-3.2620, 0.0782, -3.7685, 0.0544
-3.1946, 0.0809, -3.5960, 0.0534
-3.2858, 0.0792, -3.7023, 0.0656
-3.3387, 0.0799, -3.7721, 0.0618
-3.3506, 0.0779, -3.8514, 0.0492
-3.3418, 0.0781, -3.8693, 0.0487
-3.2757, 0.0771, -3.6254, 0.0449
-3.3023, 0.0782, -3.9749, 0.0506
-3.3492, 0.0770, -3.8165, 0.0652
-3.3410, 0.0801, -3.8976, 0.0551
-3.4347, 0.0764, -3.9249, 0.0609
-3.4270, 0.0769, -3.8578, 0.0601
-3.3854, 0.0789, -3.9785, 0.0526
-3.4291, 0.0796, -3.9891, 0.0576
-3.4361, 0.0779, -3.9493, 0.0464
-3.5192, 0.0739, -3.9702, 0.0607
-3.4512, 0.0776, -3.8244, 0.0694
-3.4742, 0.0784, -4.0417, 0.0627
-3.3950, 0.0799, -3.8368, 0.0525
-3.4856, 0.0788, -4.1695, 0.0449
-3.5097, 0.0773, -4.1157, 0.0409
-3.5784, 0.0742, -4.1855, 0.0476
-3.5486, 0.0772, -4.0733, 0.0548
-3.5440, 0.0772, -4.1038, 0.0575
-3.6135, 0.0759, -4.1572, 0.0536
-3.5857, 0.0759, -4.0842, 0.0548
-3.5448, 0.0769, -3.9727, 0.0546
-3.5619, 0.0750, -4.2057, 0.0426
-3.6373, 0.0757, -4.3108, 0.0432
-3.6062, 0.0751, -4.2302, 0.0425
-3.6339, 0.0738, -4.1962, 0.0394
-3.5512, 0.0774, -4.1070, 0.0473
-3.5918, 0.0753, -4.1978, 0.0497
-3.5809, 0.0775, -4.2151, 0.0452
-3.6380, 0.0763, -4.3340, 0.0390
-3.7028, 0.0731, -4.2552, 0.0450
-3.6510, 0.0738, -4.0791, 0.0399
-3.5870, 0.0737, -4.2135, 0.0447
-3.6290, 0.0754, -4.3366, 0.0396
-3.6593, 0.0751, -4.2587, 0.0311
-3.6887, 0.0750, -4.2872, 0.0351
-3.6520, 0.0756, -4.2893, 0.0366
-3.6923, 0.0719, -4.3816, 0.0284
-3.6610, 0.0741, -4.1679, 0.0348
-3.6999, 0.0748, -4.3091, 0.0328
-3.6328, 0.0744, -4.1930, 0.0332
-3.6949, 0.0747, -4.3088, 0.0330
-3.6811, 0.0743, -4.2489, 0.0383
-3.7021, 0.0730, -4.4485, 0.0331
-3.7684, 0.0735, -4.3892, 0.0366
-3.7615, 0.0725, -4.3838, 0.0336
-3.7599, 0.0734, -4.3599, 0.0328
