train running loss, train running l2 error, val loss, val l2 error
1.9837, 0.6915, 1.8510, 0.6239
1.6368, 0.5335, 0.9564, 0.2471
1.0687, 0.3506, 0.7045, 0.2630
0.8211, 0.3622, 0.4686, 0.2825
0.6271, 0.3367, 0.2132, 0.2253
0.4302, 0.3119, 0.0861, 0.2121
0.3319, 0.3087, 0.0618, 0.2519
0.2349, 0.3057, -0.1948, 0.2461
0.0812, 0.2956, -0.2652, 0.2439
-0.0421, 0.2788, -0.3941, 0.2247
-0.1195, 0.2673, -0.4210, 0.2302
-0.2944, 0.2584, -0.6321, 0.2305
-0.3733, 0.2610, -0.6066, 0.2510
-0.4548, 0.2543, -0.6000, 0.2488
-0.5272, 0.2519, -0.9744, 0.2144
-0.6115, 0.2372, -0.7605, 0.2318
-0.6847, 0.2314, -0.9381, 0.2229
-0.7457, 0.2361, -0.9531, 0.2178
-0.8185, 0.2174, -1.0660, 0.2099
-0.8074, 0.2315, -1.1374, 0.2000
-0.8933, 0.2093, -1.1805, 0.1980
-0.8948, 0.2210, -1.1602, 0.2080
-0.9058, 0.2083, -1.1803, 0.1872
-0.9608, 0.2066, -1.3204, 0.1796
-0.9611, 0.2060, -1.2102, 0.2091
-1.0374, 0.2105, -1.5109, 0.1692
-0.9742, 0.2099, -1.2573, 0.1912
-1.0400, 0.1962, -1.3995, 0.1733
-1.0598, 0.2195, -1.2080, 0.2084
-1.1427, 0.2023, -1.6723, 0.1572
-1.0924, 0.1977, -1.2348, 0.2025
-1.1304, 0.2017, -1.6120, 0.1508
-1.1790, 0.1880, -1.4255, 0.1859
-1.2085, 0.2039, -1.5070, 0.1698
-1.2101, 0.1907, -1.4554, 0.1870
-1.2128, 0.2054, -1.6375, 0.1664
-1.2256, 0.1905, -1.5335, 0.1700
-1.2579, 0.1892, -1.5464, 0.1567
-1.2517, 0.1876, -1.6221, 0.1549
-1.3483, 0.1755, -1.6785, 0.1622
-1.3685, 0.1925, -1.8206, 0.1473
-1.4188, 0.1773, -1.7406, 0.1567
-1.4089, 0.1880, -1.8323, 0.1498
-1.4903, 0.1808, -1.9104, 0.1480
-1.4697, 0.1765, -1.7869, 0.1570
-1.4868, 0.1805, -1.9235, 0.1370
-1.5565, 0.1787, -2.0210, 0.1448
-1.6196, 0.1678, -1.8633, 0.1553
-1.6223, 0.1775, -2.1075, 0.1285
-1.6920, 0.1667, -1.9364, 0.1564
-1.7178, 0.1735, -2.2042, 0.1285
-1.7236, 0.1638, -2.1995, 0.1312
-1.7084, 0.1714, -2.1648, 0.1308
-1.7487, 0.1569, -2.2231, 0.1211
-1.6720, 0.1629, -2.1292, 0.1322
-1.7480, 0.1598, -2.1310, 0.1324
-1.7973, 0.1607, -2.3018, 0.1211
-1.7458, 0.1595, -2.0570, 0.1362
-1.7598, 0.1589, -2.2187, 0.1207
-1.7892, 0.1523, -2.0408, 0.1377
-1.8485, 0.1628, -2.4366, 0.1123
-1.8604, 0.1511, -2.2522, 0.1360
-1.8731, 0.1594, -2.2591, 0.1225
-1.8915, 0.1487, -2.2301, 0.1266
-1.8521, 0.1574, -2.2992, 0.1251
-1.9136, 0.1501, -2.3313, 0.1144
-1.9516, 0.1466, -2.3839, 0.1107
-1.9822, 0.1449, -2.3574, 0.1265
-1.9160, 0.1513, -2.4175, 0.1073
-2.0007, 0.1415, -2.3373, 0.1130
-2.0021, 0.1408, -2.5047, 0.1153
-2.0613, 0.1445, -2.4182, 0.1214
-2.0902, 0.1399, -2.5646, 0.0954
-2.0391, 0.1396, -2.3567, 0.1250
-1.9646, 0.1414, -2.4765, 0.1158
-1.9251, 0.1454, -2.2647, 0.1075
-1.9559, 0.1390, -2.4284, 0.0970
-1.9985, 0.1385, -2.5036, 0.1091
