train running loss, train running l2 error, val loss, val l2 error
2.3775, 0.9296, 2.1797, 0.8312
2.0420, 0.7682, 1.7481, 0.6275
1.6158, 0.6148, 1.2258, 0.4639
1.3121, 0.5527, 0.9600, 0.4361
1.0557, 0.4997, 0.7884, 0.4346
0.8411, 0.4755, 0.5478, 0.4333
0.5674, 0.4377, 0.2449, 0.3890
0.3809, 0.4028, 0.0316, 0.3649
0.3207, 0.3796, 0.0553, 0.3707
0.1535, 0.3653, -0.1201, 0.3508
0.0584, 0.3518, -0.2199, 0.3381
-0.0126, 0.3485, -0.2330, 0.3406
-0.1164, 0.3349, -0.3604, 0.3277
-0.1673, 0.3268, -0.4411, 0.3094
-0.2847, 0.3075, -0.5043, 0.2952
-0.3305, 0.3016, -0.6163, 0.2846
-0.3567, 0.2941, -0.5120, 0.2988
-0.4220, 0.2949, -0.7335, 0.2715
-0.4833, 0.2816, -0.6414, 0.2777
-0.5578, 0.2754, -0.9160, 0.2527
-0.5853, 0.2703, -0.7635, 0.2695
-0.5954, 0.2722, -0.8711, 0.2525
-0.6993, 0.2545, -0.9489, 0.2373
-0.6896, 0.2465, -0.8774, 0.2408
-0.7421, 0.2518, -0.9819, 0.2329
-0.7871, 0.2433, -1.0330, 0.2214
-0.8700, 0.2402, -1.0728, 0.2192
-0.8444, 0.2379, -1.0010, 0.2296
-0.9033, 0.2381, -1.1222, 0.2155
-0.9470, 0.2298, -1.1107, 0.2143
-0.9537, 0.2277, -1.1190, 0.2119
-0.9948, 0.2252, -1.1835, 0.2113
-1.0008, 0.2227, -1.1701, 0.2071
-1.0346, 0.2181, -1.2301, 0.1983
-1.0437, 0.2142, -1.2152, 0.2051
-1.0616, 0.2146, -1.2707, 0.2022
-1.0701, 0.2103, -1.2276, 0.1998
-1.1042, 0.2058, -1.2777, 0.1990
-1.1357, 0.2073, -1.2875, 0.1963
-1.1600, 0.2034, -1.3517, 0.1922
-1.1849, 0.1996, -1.3428, 0.1923
-1.2008, 0.1995, -1.4152, 0.1864
-1.2425, 0.1911, -1.3872, 0.1920
-1.1828, 0.1955, -1.4142, 0.1893
-1.2314, 0.1952, -1.4296, 0.1726
-1.3147, 0.1871, -1.5448, 0.1669
-1.3339, 0.1817, -1.4752, 0.1753
-1.3671, 0.1826, -1.5282, 0.1696
-1.3612, 0.1800, -1.5538, 0.1729
-1.3725, 0.1826, -1.5996, 0.1575
-1.3639, 0.1775, -1.5538, 0.1701
-1.4063, 0.1779, -1.5922, 0.1707
-1.3967, 0.1830, -1.5390, 0.1700
-1.3771, 0.1850, -1.5889, 0.1708
-1.4368, 0.1783, -1.6483, 0.1619
-1.4747, 0.1759, -1.5745, 0.1750
-1.4525, 0.1798, -1.6785, 0.1616
-1.4971, 0.1742, -1.6316, 0.1660
-1.4811, 0.1806, -1.6438, 0.1648
