train running loss, train running l2 error, val loss, val l2 error
2.0199, 0.6431, 1.8343, 0.5778
1.5804, 0.4677, 0.8381, 0.2194
0.9312, 0.3203, 0.6302, 0.2308
0.7472, 0.3015, 0.4676, 0.2636
0.4675, 0.3068, -0.1441, 0.2083
0.3103, 0.3121, 0.0034, 0.2612
0.1430, 0.2973, -0.4104, 0.2139
0.0193, 0.2825, -0.3557, 0.2179
-0.1250, 0.2572, -0.5123, 0.1846
-0.2342, 0.2379, -0.7500, 0.1476
-0.3846, 0.2216, -0.8163, 0.1638
-0.4932, 0.2157, -1.0522, 0.1341
-0.6358, 0.2036, -1.0755, 0.1419
-0.7587, 0.1916, -1.4000, 0.1130
-0.7868, 0.1952, -1.2966, 0.1263
-0.8463, 0.1837, -1.0055, 0.1833
-0.9215, 0.1806, -1.3858, 0.1492
-0.9458, 0.1861, -1.3848, 0.1291
-1.0678, 0.1675, -1.3906, 0.1574
-1.0973, 0.1712, -1.5762, 0.1291
-1.1482, 0.1713, -1.6133, 0.1311
-1.2574, 0.1580, -1.5982, 0.1350
-1.3141, 0.1570, -1.7626, 0.1178
-1.3084, 0.1613, -1.7625, 0.1342
-1.3443, 0.1539, -1.7205, 0.1408
-1.4202, 0.1519, -1.9232, 0.1098
-1.4559, 0.1485, -1.8455, 0.1311
-1.5338, 0.1397, -1.8275, 0.1365
-1.4951, 0.1487, -1.8925, 0.1293
-1.5808, 0.1407, -2.0190, 0.1133
-1.6404, 0.1397, -2.2194, 0.0979
-1.6030, 0.1393, -1.8871, 0.1331
-1.6501, 0.1355, -2.0368, 0.1207
-1.6963, 0.1390, -2.2871, 0.0948
-1.7190, 0.1334, -2.0093, 0.1256
-1.7229, 0.1307, -1.8687, 0.1424
-1.6657, 0.1392, -2.1977, 0.1045
-1.7485, 0.1360, -2.1916, 0.1130
-1.7568, 0.1269, -2.1190, 0.1269
-1.7448, 0.1330, -2.2456, 0.0915
-1.8584, 0.1255, -2.3383, 0.1050
-1.8922, 0.1265, -2.2449, 0.1302
-1.8828, 0.1316, -2.4847, 0.0951
-1.9251, 0.1219, -2.3793, 0.1034
-1.9462, 0.1192, -2.2160, 0.1194
-1.9292, 0.1289, -2.6322, 0.0753
-1.9720, 0.1180, -2.1622, 0.1237
-1.9700, 0.1250, -2.4918, 0.0962
-2.0277, 0.1207, -2.6614, 0.0877
-2.0442, 0.1173, -2.1885, 0.1321
-2.0054, 0.1212, -2.6348, 0.0864
-2.0234, 0.1196, -2.4159, 0.0984
-2.1016, 0.1138, -2.5122, 0.0957
-2.0979, 0.1187, -2.7141, 0.0867
-2.0481, 0.1158, -2.5443, 0.0991
-2.1586, 0.1127, -2.5532, 0.0923
-2.1169, 0.1186, -2.6717, 0.0863
-2.1846, 0.1116, -2.8378, 0.0796
-2.2147, 0.1126, -2.6102, 0.0991
-2.2569, 0.1118, -2.8008, 0.0814
-2.2557, 0.1111, -2.6857, 0.0870
-2.2801, 0.1077, -2.8286, 0.0884
-2.3260, 0.1105, -3.0437, 0.0627
-2.2630, 0.1117, -2.6784, 0.0996
-2.3244, 0.1092, -3.0157, 0.0643
-2.2703, 0.1103, -2.5097, 0.1048
-2.2681, 0.1122, -2.9593, 0.0713
-2.3651, 0.1055, -2.7001, 0.0940
-2.3477, 0.1056, -3.0107, 0.0717
-2.3954, 0.1060, -2.8304, 0.0796
-2.3572, 0.1079, -2.8731, 0.0836
-2.4172, 0.1039, -2.9472, 0.0769
-2.4274, 0.1085, -2.9545, 0.0804
-2.4382, 0.1031, -2.8251, 0.0930
-2.4701, 0.1086, -3.2013, 0.0540
-2.4512, 0.1015, -2.7911, 0.0936
-2.4963, 0.1047, -3.2829, 0.0566
-2.4434, 0.1029, -2.8747, 0.0859
-2.4665, 0.1042, -3.1256, 0.0638
-2.4652, 0.1038, -3.0475, 0.0689
-2.5619, 0.1004, -3.0707, 0.0728
-2.5517, 0.1020, -3.0439, 0.0746
-2.4932, 0.1031, -2.9950, 0.0857
-2.5473, 0.1002, -2.9409, 0.0761
-2.4562, 0.1064, -3.0661, 0.0722
-2.5115, 0.0954, -3.0766, 0.0722
-2.5556, 0.1043, -3.1962, 0.0677
-2.6352, 0.0968, -3.0911, 0.0798
-2.6549, 0.1000, -3.2841, 0.0617
-2.6441, 0.0984, -2.9967, 0.0904
-2.6424, 0.1012, -3.3781, 0.0573
-2.6125, 0.0966, -2.9627, 0.0828
-2.6225, 0.1021, -3.2924, 0.0588
-2.6033, 0.0944, -2.9783, 0.0853
-2.6353, 0.1013, -3.2926, 0.0595
-2.6942, 0.0952, -3.2398, 0.0663
-2.6891, 0.0955, -3.2192, 0.0714
-2.6390, 0.0991, -3.2354, 0.0680
-2.7076, 0.0933, -3.2157, 0.0700
-2.7034, 0.0960, -3.3961, 0.0562
-2.7731, 0.0930, -3.2140, 0.0756
-2.7241, 0.0978, -3.3530, 0.0664
-2.7759, 0.0920, -3.3275, 0.0635
-2.8161, 0.0931, -3.4256, 0.0582
-2.7713, 0.0885, -3.2351, 0.0707
-2.7730, 0.0940, -3.4198, 0.0579
-2.8655, 0.0872, -3.2671, 0.0768
-2.7882, 0.0929, -3.3644, 0.0670
-2.8294, 0.0917, -3.4533, 0.0570
-2.8894, 0.0865, -3.4056, 0.0632
-2.8038, 0.0880, -3.2648, 0.0617
-2.7658, 0.0942, -3.4486, 0.0574
-2.8158, 0.0872, -3.3148, 0.0653
-2.7939, 0.0941, -3.3698, 0.0597
-2.8656, 0.0842, -3.3626, 0.0692
-2.8343, 0.0932, -3.3594, 0.0644
-2.8322, 0.0896, -3.4311, 0.0672
-2.8619, 0.0885, -3.3233, 0.0654
-2.9097, 0.0879, -3.5206, 0.0555
-2.9286, 0.0833, -3.4614, 0.0618
-2.9262, 0.0887, -3.5462, 0.0578
-3.0152, 0.0820, -3.6262, 0.0552
-2.9334, 0.0894, -3.5019, 0.0622
-3.0288, 0.0810, -3.5302, 0.0572
-2.9564, 0.0887, -3.5467, 0.0601
-2.9855, 0.0815, -3.5745, 0.0582
-2.9843, 0.0900, -3.5144, 0.0622
-3.0106, 0.0831, -3.6139, 0.0594
-3.0210, 0.0840, -3.5856, 0.0537
-3.0615, 0.0808, -3.6821, 0.0545
-3.0794, 0.0815, -3.7190, 0.0528
-3.0618, 0.0810, -3.5686, 0.0611
-3.0496, 0.0837, -3.6684, 0.0551
-3.0850, 0.0790, -3.6786, 0.0479
-3.0311, 0.0828, -3.5375, 0.0650
-3.1055, 0.0823, -3.8096, 0.0476
-3.1160, 0.0800, -3.6536, 0.0609
-3.1162, 0.0850, -3.7011, 0.0539
-3.1389, 0.0784, -3.7589, 0.0548
-3.0932, 0.0845, -3.5800, 0.0623
-3.1247, 0.0809, -3.7717, 0.0437
-3.1098, 0.0803, -3.6315, 0.0569
-3.1359, 0.0802, -3.8045, 0.0481
-3.1681, 0.0789, -3.6993, 0.0550
-3.1834, 0.0801, -3.7567, 0.0539
-3.1820, 0.0766, -3.8437, 0.0476
-3.1789, 0.0802, -3.6838, 0.0591
-3.1833, 0.0784, -3.8751, 0.0468
-3.1838, 0.0791, -3.6838, 0.0605
-3.1999, 0.0789, -3.8661, 0.0428
-3.2064, 0.0752, -3.6906, 0.0552
-3.1568, 0.0793, -3.7593, 0.0548
-3.2149, 0.0781, -3.9231, 0.0461
-3.2188, 0.0773, -3.7777, 0.0530
-3.2237, 0.0778, -3.8349, 0.0496
-3.2449, 0.0761, -3.7464, 0.0522
-3.2490, 0.0779, -3.8689, 0.0480
-3.2231, 0.0775, -3.8625, 0.0523
-3.2250, 0.0750, -3.7831, 0.0522
-3.1985, 0.0798, -3.6882, 0.0577
-3.2702, 0.0757, -3.9708, 0.0440
-3.3045, 0.0735, -3.8275, 0.0544
-3.2907, 0.0750, -3.8704, 0.0470
-3.2838, 0.0755, -3.8692, 0.0548
-3.2942, 0.0749, -3.9749, 0.0442
-3.3129, 0.0750, -3.7778, 0.0536
-3.2447, 0.0754, -3.8554, 0.0480
-3.2416, 0.0759, -3.8492, 0.0481
-3.3163, 0.0727, -3.9658, 0.0454
-3.3366, 0.0753, -3.9190, 0.0550
-3.3511, 0.0746, -4.0101, 0.0432
-3.3779, 0.0736, -3.9241, 0.0544
-3.3964, 0.0729, -3.9971, 0.0423
-3.3407, 0.0739, -3.8998, 0.0537
-3.3426, 0.0729, -4.0940, 0.0364
-3.3624, 0.0719, -3.8534, 0.0550
-3.4214, 0.0723, -4.1675, 0.0381
-3.3899, 0.0708, -3.9045, 0.0534
-3.3284, 0.0759, -3.9312, 0.0508
-3.4529, 0.0714, -4.1174, 0.0391
-3.3894, 0.0728, -4.0032, 0.0456
-3.4404, 0.0722, -4.0334, 0.0467
-3.3811, 0.0726, -3.9614, 0.0507
-3.3901, 0.0765, -4.0746, 0.0439
-3.4034, 0.0717, -4.1081, 0.0390
-3.4446, 0.0688, -4.0879, 0.0413
-3.4255, 0.0723, -4.0061, 0.0491
-3.5060, 0.0691, -4.1436, 0.0389
-3.4581, 0.0704, -4.0667, 0.0494
-3.4478, 0.0716, -4.0756, 0.0509
-3.4658, 0.0713, -4.0218, 0.0448
-3.4995, 0.0689, -4.0523, 0.0451
-3.4993, 0.0699, -4.1168, 0.0450
-3.5083, 0.0695, -4.2129, 0.0379
-3.4589, 0.0709, -4.0149, 0.0503
-3.5042, 0.0709, -4.1196, 0.0427
-3.5014, 0.0687, -4.1331, 0.0439
-3.5217, 0.0700, -4.1447, 0.0481
-3.5138, 0.0701, -4.2402, 0.0368
-3.5011, 0.0680, -3.9806, 0.0509
