train running loss, train running l2 error, val loss, val l2 error
1.9839, 0.6725, 1.4876, 0.5628
1.3771, 0.5297, 0.8485, 0.4190
1.2126, 0.4656, 0.9070, 0.4178
0.9634, 0.4348, 0.6671, 0.3808
0.8057, 0.4121, 0.4282, 0.3778
0.5375, 0.3942, 0.3179, 0.3963
0.4513, 0.3852, 0.2071, 0.3893
0.3561, 0.3882, 0.2783, 0.3958
0.2881, 0.3715, -0.0195, 0.3454
0.1900, 0.3490, 0.1173, 0.3674
0.1631, 0.3581, -0.0571, 0.3488
0.0768, 0.3430, -0.1403, 0.3451
0.0211, 0.3407, -0.1773, 0.3429
-0.0650, 0.3283, -0.2931, 0.3293
-0.1063, 0.3249, -0.3057, 0.3294
-0.1497, 0.3247, -0.3268, 0.3297
-0.2234, 0.3158, -0.4292, 0.3196
-0.2245, 0.3189, -0.3453, 0.3273
-0.2590, 0.3174, -0.4526, 0.3198
-0.3144, 0.3103, -0.5155, 0.3173
-0.3036, 0.3109, -0.4228, 0.3224
-0.3295, 0.3137, -0.5332, 0.3155
-0.3702, 0.3056, -0.5708, 0.3133
-0.3862, 0.3068, -0.5143, 0.3158
-0.4171, 0.3051, -0.5869, 0.3083
-0.4493, 0.2998, -0.6255, 0.3065
-0.4655, 0.3000, -0.5997, 0.3069
-0.4713, 0.3013, -0.6339, 0.3066
-0.5073, 0.3009, -0.6995, 0.3006
-0.5258, 0.2942, -0.6989, 0.2993
-0.5556, 0.2939, -0.6964, 0.2971
-0.5938, 0.2907, -0.7783, 0.2910
-0.6127, 0.2869, -0.7688, 0.2902
-0.6357, 0.2867, -0.7914, 0.2834
-0.6904, 0.2784, -0.8888, 0.2721
-0.6947, 0.2738, -0.8758, 0.2714
-0.7192, 0.2741, -0.8876, 0.2723
-0.7835, 0.2659, -0.9755, 0.2627
-0.8222, 0.2562, -0.9787, 0.2581
-0.7922, 0.2615, -0.9770, 0.2554
-0.8121, 0.2576, -0.9609, 0.2540
-0.8088, 0.2587, -0.9961, 0.2514
-0.8411, 0.2546, -0.9547, 0.2538
-0.8224, 0.2589, -0.9953, 0.2522
-0.8482, 0.2583, -0.9773, 0.2539
-0.8535, 0.2559, -1.0021, 0.2537
-0.8611, 0.2564, -0.9940, 0.2540
-0.8669, 0.2573, -1.0297, 0.2493
-0.9147, 0.2492, -1.0152, 0.2533
-0.8961, 0.2539, -0.9821, 0.2565
